"","kTotal","kWithin","kOut","kDiff"
"ENSXMAG00000000235",649.501470542715,446.000248959217,203.501221583497,242.49902737572
"ENSXMAG00000000268",565.532782490553,433.728635481596,131.804147008957,301.924488472639
"ENSXMAG00000000294",735.884917094991,567.418718844813,168.466198250178,398.952520594635
"ENSXMAG00000000306",601.480316648845,482.570282062601,118.910034586245,363.660247476356
"ENSXMAG00000000324",611.205689314191,354.111528994591,257.0941603196,97.0173686749918
"ENSXMAG00000000350",809.26369188055,579.380397061562,229.883294818988,349.497102242573
"ENSXMAG00000000369",736.220090836913,468.453256794546,267.766834042367,200.686422752179
"ENSXMAG00000000419",684.810233905471,458.090329126589,226.719904778882,231.370424347706
"ENSXMAG00000000440",573.728403365339,425.187535040224,148.540868325115,276.646666715109
"ENSXMAG00000000549",568.921431316831,381.663195585257,187.258235731575,194.404959853682
"ENSXMAG00000000572",850.083169343157,534.094336245694,315.988833097464,218.10550314823
"ENSXMAG00000000586",679.934532627467,522.169079472397,157.76545315507,364.403626317327
"ENSXMAG00000000669",507.455700377153,427.935567739832,79.5201326373212,348.415435102511
"ENSXMAG00000000683",512.541325596936,368.110812771559,144.430512825377,223.680299946182
"ENSXMAG00000000693",571.050372387578,381.302637854486,189.747734533093,191.554903321393
"ENSXMAG00000000712",613.939891125139,379.932157799314,234.007733325825,145.92442447349
"ENSXMAG00000000726",595.649215538397,383.069072645792,212.580142892605,170.488929753186
"ENSXMAG00000000790",856.091132201203,543.693063667043,312.39806853416,231.294995132884
"ENSXMAG00000000810",560.835814357481,377.850228031758,182.985586325723,194.864641706036
"ENSXMAG00000000815",579.465342401944,380.272498482349,199.192843919595,181.079654562754
"ENSXMAG00000000869",551.151682932469,433.71676039282,117.434922539649,316.281837853171
"ENSXMAG00000000870",727.507558897934,507.08124211704,220.426316780893,286.654925336147
"ENSXMAG00000000897",641.202303475319,446.213824076055,194.988479399265,251.22534467679
"ENSXMAG00000000913",595.297257173786,375.026467277396,220.27078989639,154.755677381007
"ENSXMAG00000000924",611.093379572872,395.606489561147,215.486890011725,180.119599549422
"ENSXMAG00000000935",552.015048003675,391.916113460442,160.098934543233,231.817178917209
"ENSXMAG00000000945",430.116257181681,298.759142122328,131.357115059353,167.402027062974
"ENSXMAG00000000958",637.117136042951,369.991601849817,267.125534193133,102.866067656684
"ENSXMAG00000000997",580.003123219764,394.374313462419,185.628809757345,208.745503705074
"ENSXMAG00000001010",649.187826561239,326.717295624578,322.470530936661,4.24676468791733
"ENSXMAG00000001084",729.856046526605,541.059160567756,188.796885958849,352.262274608907
"ENSXMAG00000001131",492.714136083555,371.81415768293,120.899978400624,250.914179282306
"ENSXMAG00000001136",720.124823327256,521.384633708566,198.74018961869,322.644444089875
"ENSXMAG00000001195",550.580840570671,397.979921456161,152.60091911451,245.379002341652
"ENSXMAG00000001251",596.010190883929,426.370834736219,169.63935614771,256.731478588509
"ENSXMAG00000001255",566.20926087416,420.332838001176,145.876422872983,274.456415128193
"ENSXMAG00000001273",548.230396650589,404.466002823261,143.764393827327,260.701608995934
"ENSXMAG00000001278",607.379893038533,411.272306274672,196.107586763861,215.164719510811
"ENSXMAG00000001298",789.022560185309,556.781086419685,232.241473765624,324.53961265406
"ENSXMAG00000001329",740.71535477236,547.896547718379,192.818807053981,355.077740664397
"ENSXMAG00000001373",609.354792181821,423.102747229749,186.252044952072,236.850702277677
"ENSXMAG00000001386",684.409535540548,537.087806029549,147.321729510998,389.766076518551
"ENSXMAG00000001424",614.204280988326,403.905716733277,210.29856425505,193.607152478227
"ENSXMAG00000001436",667.763226946753,422.245617624493,245.517609322259,176.728008302234
"ENSXMAG00000001453",639.365075400662,403.201086343251,236.163989057411,167.037097285841
"ENSXMAG00000001495",769.524921154853,501.902415070184,267.62250608467,234.279908985514
"ENSXMAG00000001512",609.703035905517,437.619823909139,172.083211996378,265.536611912761
"ENSXMAG00000001519",586.91337675205,375.358223621058,211.555153130992,163.803070490067
"ENSXMAG00000001583",754.604374172674,483.626588154159,270.977786018515,212.648802135645
"ENSXMAG00000001605",564.507836155521,417.178866622863,147.328969532658,269.849897090205
"ENSXMAG00000001615",578.908726390166,415.20597402411,163.702752366055,251.503221658055
"ENSXMAG00000001677",498.507677639061,372.260141957541,126.24753568152,246.012606276021
"ENSXMAG00000001697",619.587907714716,442.554305888156,177.03360182656,265.520704061596
"ENSXMAG00000001711",726.547343249291,487.297567836622,239.249775412668,248.047792423954
"ENSXMAG00000001714",683.749348904191,508.652625914172,175.096722990019,333.555902924153
"ENSXMAG00000001734",636.219668321365,474.727024565413,161.492643755952,313.234380809461
"ENSXMAG00000001739",731.035017699499,467.760094318364,263.274923381135,204.485170937229
"ENSXMAG00000001833",418.94858577726,337.772266136217,81.1763196410425,256.595946495175
"ENSXMAG00000001886",511.360603047526,388.903680698913,122.456922348613,266.446758350301
"ENSXMAG00000001898",502.862360390587,365.601850696342,137.260509694246,228.341341002096
"ENSXMAG00000001910",487.029701351063,405.706318409935,81.3233829411279,324.382935468807
"ENSXMAG00000001932",719.911490364892,507.981145755129,211.930344609763,296.050801145367
"ENSXMAG00000001942",456.830468439849,373.114251787932,83.7162166519171,289.398035136015
"ENSXMAG00000001984",671.892599225732,410.11636560415,261.776233621582,148.340131982569
"ENSXMAG00000002007",746.682328782408,437.670232160554,309.012096621854,128.6581355387
"ENSXMAG00000002017",589.496607775891,424.946425143356,164.550182632534,260.396242510822
"ENSXMAG00000002065",527.041352493139,440.262795055398,86.7785574377414,353.484237617657
"ENSXMAG00000002110",581.052433114246,384.125555229151,196.926877885094,187.198677344057
"ENSXMAG00000002169",570.303929243893,402.801094298462,167.502834945431,235.298259353031
"ENSXMAG00000002209",651.175062747346,370.191677573466,280.98338517388,89.2082923995854
"ENSXMAG00000002240",663.096651586481,442.737113791108,220.359537795373,222.377575995735
"ENSXMAG00000002241",630.873520093226,491.710232929779,139.163287163447,352.546945766332
"ENSXMAG00000002312",483.049310351047,393.001956623089,90.047353727959,302.95460289513
"ENSXMAG00000002359",771.938189422217,523.44036076176,248.497828660457,274.942532101302
"ENSXMAG00000002364",676.001648009205,469.065016374467,206.936631634739,262.128384739728
"ENSXMAG00000002402",515.694581543504,404.020069909018,111.674511634486,292.345558274533
"ENSXMAG00000002404",485.31273636993,345.225851489897,140.086884880034,205.138966609863
"ENSXMAG00000002408",730.575975350627,512.853792077832,217.722183272794,295.131608805038
"ENSXMAG00000002433",621.887825237863,451.398971044541,170.488854193323,280.910116851218
"ENSXMAG00000002443",866.458991173975,591.85417867707,274.604812496905,317.249366180165
"ENSXMAG00000002586",536.61175483486,399.034611146802,137.577143688059,261.457467458743
"ENSXMAG00000002662",443.875306923969,337.558330658963,106.316976265006,231.241354393958
"ENSXMAG00000002689",771.5182903896,571.436708463448,200.081581926151,371.355126537297
"ENSXMAG00000002690",637.71674248388,372.026982588989,265.68975989489,106.337222694099
"ENSXMAG00000002710",418.439373429346,323.19117922963,95.2481941997167,227.942985029913
"ENSXMAG00000002745",672.915648495712,445.937947002344,226.977701493368,218.960245508976
"ENSXMAG00000002752",773.244253308499,531.496470114951,241.747783193548,289.748686921403
