"","kTotal","kWithin","kOut","kDiff"
"ENSXMAG00000000015",361.932594950046,239.789195582117,122.14339936793,117.645796214187
"ENSXMAG00000000016",370.861312512959,121.595869426497,249.265443086462,-127.669573659964
"ENSXMAG00000000020",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000000027",359.623961048653,86.1759849221507,273.447976126502,-187.271991204352
"ENSXMAG00000000056",407.423996051014,97.248505105558,310.175490945456,-212.926985839898
"ENSXMAG00000000190",461.746339000586,81.2194485748843,380.526890425701,-299.307441850817
"ENSXMAG00000000214",426.148580669739,263.977377089642,162.171203580096,101.806173509546
"ENSXMAG00000000249",421.672223057487,116.988756916131,304.683466141357,-187.694709225226
"ENSXMAG00000000314",454.253701476605,322.248470126809,132.005231349795,190.243238777014
"ENSXMAG00000000324",384.212354685203,137.413997712399,246.798356972804,-109.384359260405
"ENSXMAG00000000365",409.083145877003,173.430350420765,235.652795456237,-62.2224450354718
"ENSXMAG00000000393",405.196729370173,140.507898421963,264.68883094821,-124.180932526248
"ENSXMAG00000000472",497.599725945417,176.550911289103,321.048814656314,-144.497903367211
"ENSXMAG00000000513",411.412332009729,153.307793476263,258.104538533466,-104.796745057204
"ENSXMAG00000000555",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000000556",424.307257385448,107.723944398472,316.583312986976,-208.859368588504
"ENSXMAG00000000577",387.581807733077,111.912459343389,275.669348389688,-163.756889046298
"ENSXMAG00000000591",459.392047656107,103.731989415268,355.660058240839,-251.92806882557
"ENSXMAG00000000594",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000000666",389.480660502852,100.742211559777,288.738448943075,-187.996237383298
"ENSXMAG00000000736",412.579612541742,99.5898495071218,312.98976303462,-213.399913527498
"ENSXMAG00000000753",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000000791",406.765457710197,88.97097277202,317.794484938177,-228.823512166157
"ENSXMAG00000000856",356.569527108311,203.570458203154,152.999068905157,50.5713892979978
"ENSXMAG00000000935",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000000947",369.46850362713,158.637772392058,210.830731235072,-52.1929588430137
"ENSXMAG00000000961",426.348182897017,138.693704398932,287.654478498086,-148.960774099154
"ENSXMAG00000000988",382.944339386574,112.808358497102,270.135980889471,-157.327622392369
"ENSXMAG00000001022",386.72020858457,178.0842126638,208.63599592077,-30.5517832569705
"ENSXMAG00000001057",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001083",370.301395907312,43.1796290042653,327.121766903047,-283.942137898781
"ENSXMAG00000001084",389.166668763955,145.68081375637,243.485855007586,-97.8050412512159
"ENSXMAG00000001114",458.022527620941,140.789384111895,317.233143509045,-176.44375939715
"ENSXMAG00000001135",396.685232505544,108.83519258724,287.850039918304,-179.014847331065
"ENSXMAG00000001171",366.918337890957,246.279191780327,120.639146110631,125.640045669696
"ENSXMAG00000001180",398.865682792079,146.879098435607,251.986584356472,-105.107485920865
"ENSXMAG00000001183",452.155337606551,122.263211927747,329.892125678804,-207.628913751058
"ENSXMAG00000001188",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
