"","kTotal","kWithin","kOut","kDiff"
"ENSXMAG00000000004",270.093651506209,142.19632499951,127.897326506698,14.2989984928121
"ENSXMAG00000000015",361.932594950046,239.789195582117,122.14339936793,117.645796214187
"ENSXMAG00000000020",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000000034",299.935663398768,146.882902048081,153.052761350686,-6.169859302605
"ENSXMAG00000000076",324.669609875271,141.395373378472,183.274236496799,-41.8788631183267
"ENSXMAG00000000095",305.007101147943,197.691667488218,107.315433659725,90.3762338284933
"ENSXMAG00000000097",347.41718835486,200.376996109265,147.040192245595,53.3368038636708
"ENSXMAG00000000118",307.142322097512,244.883077963873,62.2592441336387,182.623833830234
"ENSXMAG00000000214",426.148580669739,263.977377089642,162.171203580096,101.806173509546
"ENSXMAG00000000240",307.357484739256,143.061863965424,164.295620773832,-21.2337568084078
"ENSXMAG00000000266",338.753461105087,260.841805576238,77.9116555288484,182.93015004739
"ENSXMAG00000000282",270.365471303027,142.004497968294,128.360973334733,13.643524633561
"ENSXMAG00000000314",454.253701476605,322.248470126809,132.005231349795,190.243238777014
"ENSXMAG00000000365",409.083145877003,173.430350420765,235.652795456237,-62.2224450354718
"ENSXMAG00000000367",336.426305562678,249.133736577343,87.2925689853352,161.841167592008
"ENSXMAG00000000386",295.298344737003,143.417878535517,151.880466201486,-8.46258766596912
"ENSXMAG00000000390",316.89702432239,146.038757194473,170.858267127918,-24.819509933445
"ENSXMAG00000000393",405.196729370173,140.507898421963,264.68883094821,-124.180932526248
"ENSXMAG00000000472",497.599725945417,176.550911289103,321.048814656314,-144.497903367211
"ENSXMAG00000000513",411.412332009729,153.307793476263,258.104538533466,-104.796745057204
"ENSXMAG00000000546",289.842250295813,145.970539476004,143.871710819809,2.09882865619562
"ENSXMAG00000000555",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000000594",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000000598",336.95504461157,194.567945620631,142.38709899094,52.1808466296907
"ENSXMAG00000000753",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000000856",356.569527108311,203.570458203154,152.999068905157,50.5713892979978
"ENSXMAG00000000935",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000000947",369.46850362713,158.637772392058,210.830731235072,-52.1929588430137
"ENSXMAG00000001012",341.319711305711,190.838637089459,150.481074216252,40.3575628732064
"ENSXMAG00000001022",386.72020858457,178.0842126638,208.63599592077,-30.5517832569705
"ENSXMAG00000001031",291.349412564325,173.341929017111,118.007483547213,55.3344454698979
"ENSXMAG00000001057",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001084",389.166668763955,145.68081375637,243.485855007586,-97.8050412512159
"ENSXMAG00000001114",458.022527620941,140.789384111895,317.233143509045,-176.44375939715
"ENSXMAG00000001133",324.384315753175,153.450918064034,170.933397689141,-17.4824796251067
"ENSXMAG00000001144",350.104185138939,142.733483267445,207.370701871494,-64.6372186040487
"ENSXMAG00000001171",366.918337890957,246.279191780327,120.639146110631,125.640045669696
"ENSXMAG00000001180",398.865682792079,146.879098435607,251.986584356472,-105.107485920865
"ENSXMAG00000001188",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001217",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001223",319.02830269931,177.438698147066,141.589604552244,35.8490935948219
"ENSXMAG00000001225",348.807893315242,149.894733631566,198.913159683675,-49.0184260521091
"ENSXMAG00000001227",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001234",404.240125645831,182.432912588588,221.807213057243,-39.3743004686543
"ENSXMAG00000001249",331.739905645271,225.087945714264,106.651959931007,118.435985783258
"ENSXMAG00000001282",293.737369012689,175.54091171576,118.196457296929,57.3444544188317
"ENSXMAG00000001302",390.04055282968,152.180015597287,237.860537232393,-85.6805216351067
"ENSXMAG00000001310",321.700029604024,149.546613762333,172.153415841691,-22.6068020793585
"ENSXMAG00000001327",350.081143157922,191.337880834876,158.743262323046,32.5946185118294
"ENSXMAG00000001352",321.459007085839,224.129278015068,97.3297290707711,126.799548944297
