target_id	length	eff_length	est_counts	tpm
g1.t1	945	736.535	2	0.246073
g2.t1	759	550.97	91	14.9672
g3.t1	597	390.052	334	77.5982
g4.t1	1695	1486.54	327	19.9343
g5.t1	4182	3973.54	67	1.52801
g6.t1	1749	1540.54	274	16.1178
g7.t1	1863	1654.54	226	12.3783
g10.t1	732	524.076	14	2.42082
g11.t1	1302	1093.54	42	3.48052
g12.t1	777	568.915	73	11.628
g13.t1	1758	1549.54	271	15.8488
g15.t1	1350	1141.54	208	16.5121
g16.t1	963	754.535	23	2.76234
g17.t1	1830	1621.54	143	7.99167
g18.t1	429	229.486	629	248.383
g19.t1	1395	1186.54	178	13.5946
g20.t1	3411	3202.54	573	16.2139
g21.t1	579	372.551	4	0.972975
g22.t1	450	248.633	6	2.18685
g23.t1	465	262.722	95	32.7684
g25.t1	1650	1441.54	365	22.9454
g27.t1	420	221.087	3	1.22967
g28.t1	225	67.5193	189	253.666
g29.t1	1092	883.535	2916	299.083
g30.t1	2463	2254.54	412	16.5603
g32.t1	1362	1153.54	55.862	4.38847
g33.t1	2235	2026.54	142	6.34983
g36.t1	1251	1042.54	49	4.25925
g38.t1	2406	2197.54	243	10.0207
g39.t1	1992	1783.54	82	4.16639
g40.t1	2148	1939.54	275	12.8488
g42.t1	750	541.97	96	16.0518
g43.t1	486	282.839	76	24.3502
g44.t1	1815	1606.54	194	10.9431
g48.t1	1656	1447.54	15	0.939053
g50.t1	597	390.052	32	7.43456
g52.t1	645	437.683	0	0
g53.t1	777	568.915	57	9.07937
g54.t1	1548	1339.54	24	1.62362
g55.t1	843	634.798	197	28.1228
g56.t1	1257	1048.54	305	26.36
g62.t1	1047	838.535	0	0
g69.t1	594	387.208	0	0
g70.t1	438	237.6	2	0.762801
g75.t1	786	577.858	1	0.156822
g79.t1	411	212.646	3	1.27848
g81.t1	294	115.397	10	7.85297
g84.t1	1224	1015.54	8	0.713876
g85.t1	939	730.535	101	12.5288
g89.t1	1050	841.535	155	16.6912
g92.t1	783	574.858	138	21.7544
g95.t1	735	527.023	1	0.171949
g96.t1	1515	1306.54	206	14.2881
g97.t1	2211	2002.54	386	17.4677
g98.t1	327	141.293	769	493.212
g100.t1	726	518.128	5	0.874502
g105.t1	1590	1381.54	117	7.67453
g106.t1	1890	1681.54	19	1.02394
g108.t1	621	413.893	68	14.8884
g111.t1	1800	1591.54	453	25.7935
g112.t1	1146	937.535	1455	140.638
g113.t1	1821	1612.54	0	0
g114.t1	678	470.276	0	0
g115.t1	531	325.885	6	1.66846
g116.t1	1026	817.535	29	3.21455
g117.t1	1530	1321.54	187	12.823
g119.t1	3897	3688.54	52	1.27755
g123.t1	846	637.798	509.58	72.4031
g124.t1	969	760.535	88	10.4856
g125.t1	681	473.276	66	12.6374
g126.t1	1473	1264.54	207	14.8343
g127.t1	612	404.893	126	28.2006
g128.t1	1665	1456.54	32	1.99093
g129.t1	1473	1264.54	518	37.1216
g130.t1	1272	1063.54	564	48.0569
g131.t1	5982	5773.54	433	6.79633
g132.t1	3195	2986.54	524	15.8998
g134.t1	393	196.747	2	0.921193
g136.t1	2820	2611.54	1117	38.7601
g137.t1	684	476.228	16	3.04462
g138.t1	1824	1615.54	21	1.17796
g139.t1	486	282.839	0	0
g141.t1	2490	2281.54	313	12.4321
g144.t1	594	387.208	11	2.5744
g148.t1	2163	1954.54	56	2.59641
g149.t1	1239	1030.54	189	16.6198
g150.t1	513	308.588	3	0.880989
g155.t1	666	458.323	27	5.33851
g156.t1	696	488.228	84	15.5914
g157.t1	813	604.798	2	0.299673
g158.t1	1473	1264.54	55	3.94148
g159.t1	7320	7111.54	2651	33.7812
g162.t1	5631	5422.54	782	13.0687
g164.t1	2895	2686.54	485	16.3598
g165.t1	1758	1549.54	147	8.59694
g166.t1	1902	1693.54	582	31.1427
g167.t1	513	308.588	27	7.9289
g169.t1	4161	3952.54	613	14.0544
g171.t1	384	188.859	265	127.156
g172.t1	1854	1645.54	248	13.6575
g174.t1	1656	1447.54	88	5.50911
g175.t1	405	207.298	477	208.522
g176.t1	2262	2053.54	22	0.970842
g177.t1	1011	802.535	1.00392	0.11336
g178.t1	1011	802.535	9	1.01626
g179.t1	2424	2215.54	680	27.8137
g180.t1	1770	1561.54	388	22.5169
g181.t1	1557	1348.54	377.266	25.3521
g183.t1	852	643.734	359	50.5378
g184.t1	1953	1744.54	277	14.3889
g185.t1	1257	1048.54	0	0
g186.t1	5715	5506.54	130	2.1394
g187.t1	1644	1435.54	3263	205.983
g188.t1	2079	1870.54	1107	53.6302
g189.t1	1467	1258.54	642.974	46.2974
g190.t1	3507	3298.54	22.0258	0.605116
g191.t1	1323	1114.54	1	0.0813082
g193.t1	390	194.154	627	292.65
g196.t1	1011	802.535	488	55.1041
g197.t1	336	148.584	727	443.395
g199.t1	567	360.92	81	20.3377
g200.t1	1251	1042.54	144	12.517
g201.t1	1404	1195.54	2	0.151599
g202.t1	2133	1924.54	330	15.5388
g203.t1	1365	1156.54	60	4.70133
g204.t1	7209	7000.54	3068	39.7148
g205.t1	1290	1081.54	287	24.0475
g206.t1	1467	1258.54	139	10.0087
g208.t1	4614	4405.54	682	14.0286
g211.t1	714	506.179	82	14.6804
g213.t1	852	643.734	294	41.3875
g216.t1	576	369.626	270	66.1956
g217.t1	222	65.6882	499.137	688.59
g222.t1	3093	2884.54	509	15.9908
g223.t1	3201	2992.54	73	2.21061
g225.t1	1677	1468.54	7	0.431958
g226.t1	402	204.597	31	13.7306
g227.t1	2058	1849.54	313	15.3359
g228.t1	3093	2884.54	692	21.7399
g229.t1	1812	1603.54	192	10.8505
g230.t1	1497	1288.54	89	6.25924
g231.t1	891	682.535	859	114.05
g232.t1	477	274.177	0	0
g233.t1	3396	3187.54	981	27.8896
g234.t1	1347	1138.54	98	7.80023
g235.t1	846	637.798	5	0.710419
g237.t1	4554	4345.54	79	1.64745
g241.t1	1632	1423.54	37	2.35538
g243.t1	1305	1096.54	639	52.8088
g244.t1	1056	847.535	4	0.427691
g245.t1	825	616.798	90	13.2229
