target_id	length	eff_length	est_counts	tpm
g1.t1	945	783.532	9	0.601677
g2.t1	759	597.592	49	4.29506
g3.t1	597	435.698	89	10.7
g4.t1	1695	1533.53	235	8.02699
g5.t1	4182	4020.53	165	2.1497
g6.t1	1749	1587.53	80	2.63964
g7.t1	1863	1701.53	72	2.21651
g10.t1	732	570.592	1	0.0918021
g11.t1	1302	1140.53	40	1.83709
g12.t1	777	615.532	72	6.12717
g13.t1	1758	1596.53	140	4.59334
g15.t1	1350	1188.53	13205	581.977
g16.t1	963	801.532	729.401	47.6676
g17.t1	1830	1668.53	36	1.13018
g18.t1	429	270.288	223	43.2171
g19.t1	1395	1233.53	221	9.38469
g20.t1	3411	3249.53	223	3.59469
g21.t1	579	417.698	13	1.63027
g22.t1	450	290.473	1	0.180332
g23.t1	465	305.262	38	6.52061
g25.t1	1650	1488.53	188	6.61573
g27.t1	420	261.61	0	0
g28.t1	225	91.9037	149	84.9241
g29.t1	1092	930.532	3899	219.482
g30.t1	2463	2301.53	518	11.7894
g32.t1	1362	1200.53	4.03888	0.176224
g33.t1	2235	2073.53	68	1.71781
g36.t1	1251	1089.53	0	0
g38.t1	2406	2244.53	0	0
g39.t1	1992	1830.53	22	0.62954
g40.t1	2148	1986.53	375	9.88812
g42.t1	750	588.592	46	4.09375
g43.t1	486	325.821	45	7.23454
g44.t1	1815	1653.53	122	3.86478
g48.t1	1656	1494.53	49	1.71739
g50.t1	597	435.698	1	0.120224
g52.t1	645	483.698	420	45.4834
g53.t1	777	615.532	17	1.44669
g54.t1	1548	1386.53	1	0.0377788
g55.t1	843	681.532	98	7.53213
g56.t1	1257	1095.53	157	7.50676
g62.t1	1047	885.532	3	0.177458
g69.t1	594	432.698	0	0
g70.t1	438	278.873	0	0
g75.t1	786	624.532	6	0.503239
g79.t1	411	252.922	2	0.414211
g81.t1	294	145.814	0	0
g84.t1	1224	1062.53	1	0.0492988
g85.t1	939	777.532	2	0.134738
g89.t1	1050	888.532	4	0.235811
g92.t1	783	621.532	3	0.252834
g95.t1	735	573.592	2	0.182644
g96.t1	1515	1353.53	184	7.12077
g97.t1	2211	2049.53	47	1.20122
g98.t1	327	174.599	103	30.901
g100.t1	726	564.649	0	0
g105.t1	1590	1428.53	0	0
g106.t1	1890	1728.53	113	3.42436
g108.t1	621	459.698	2	0.227895
g111.t1	1800	1638.53	1	0.0319686
g112.t1	1146	984.532	1115	59.323
g113.t1	1821	1659.53	0	0
g114.t1	678	516.649	2	0.202774
g115.t1	531	370.129	17	2.40588
g116.t1	1026	864.532	2	0.121179
g117.t1	1530	1368.53	306	11.7124
g119.t1	3897	3735.53	366	5.13224
g123.t1	846	684.532	172.623	13.2094
g124.t1	969	807.532	5	0.324331
g125.t1	681	519.649	145	14.6163
g126.t1	1473	1311.53	374	14.9373
g127.t1	612	450.698	78	9.0654
g128.t1	1665	1503.53	8	0.278712
g129.t1	1473	1311.53	47	1.87714
g130.t1	1272	1110.53	920	43.3945
g131.t1	5982	5820.53	320	2.87982
g132.t1	3195	3033.53	660	11.3965
g134.t1	393	235.683	0	0
g136.t1	2820	2658.53	1	0.0197032
g137.t1	684	522.649	0	0
