target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2314.36	121.93	2.52754
ENSXMAT00000000002	3108	2911.36	868	14.3035
ENSXMAT00000000006	7272	7075.36	1237	8.38766
ENSXMAT00000000004	5150	4953.36	123.07	1.19199
ENSXMAT00000000005	1251	1054.36	54	2.4571
ENSXMAT00000000007	348	167.035	75	21.5413
ENSXMAT00000000009	3432	3235.36	173	2.56533
ENSXMAT00000000008	336	156.881	672	205.503
ENSXMAT00000000010	1533	1336.36	54.0331	1.93979
ENSXMAT00000000011	3366	3169.36	75	1.1353
ENSXMAT00000000012	9969	9772.36	11530	56.6042
ENSXMAT00000000013	975	778.363	75	4.62274
ENSXMAT00000000014	3772	3575.36	1970	26.4342
ENSXMAT00000000017	4496	4299.36	167.466	1.86871
ENSXMAT00000000015	987	790.363	223	13.5363
ENSXMAT00000000016	1472	1275.36	5	0.188086
ENSXMAT00000000018	1947	1750.36	204	5.59142
ENSXMAT00000000019	2277	2080.36	1120	25.8285
ENSXMAT00000000020	848	651.363	9	0.662887
ENSXMAT00000000021	6069	5872.36	75	0.612729
ENSXMAT00000000022	3435	3238.36	2598	38.4887
ENSXMAT00000000023	726	529.541	592	53.6342
ENSXMAT00000000024	1635	1438.36	1591	53.0667
ENSXMAT00000000025	4570	4373.36	1044.22	11.4551
ENSXMAT00000000026	4160	3963.36	669.778	8.1075
ENSXMAT00000000027	2559	2362.36	495	10.0526
ENSXMAT00000000028	773	576.541	272	22.6338
ENSXMAT00000000029	1148	951.363	232	11.6994
ENSXMAT00000000030	2729	2532.36	1024	19.3997
ENSXMAT00000000031	2611	2414.36	10	0.198709
ENSXMAT00000000032	2055	1858.36	49	1.26499
ENSXMAT00000000033	1413	1216.36	293	11.5565
ENSXMAT00000000034	6015	5818.36	124	1.02245
ENSXMAT00000000035	1636	1439.36	2455	81.8279
ENSXMAT00000000036	621	425.624	2	0.225436
ENSXMAT00000000037	3883	3686.36	113	1.47062
ENSXMAT00000000038	1008	811.363	111	6.56339
ENSXMAT00000000039	1918	1721.36	12169	339.158
ENSXMAT00000000040	978	781.363	2	0.1228
ENSXMAT00000000041	2388	2191.36	2456	53.7693
ENSXMAT00000000042	4069	3872.36	220.716	2.7345
ENSXMAT00000000043	3803	3606.36	31.2835	0.416166
ENSXMAT00000000044	2503	2306.36	343	7.13488
ENSXMAT00000000045	3957	3760.36	462	5.8943
ENSXMAT00000000046	801	604.424	13	1.03186
ENSXMAT00000000047	1814	1617.36	27	0.800896
ENSXMAT00000000048	4501	4304.36	48	0.534998
ENSXMAT00000000049	2517	2320.36	55.4517	1.14651
ENSXMAT00000000050	1982	1785.36	38	1.02112
ENSXMAT00000000051	3813	3616.36	420.298	5.57577
ENSXMAT00000000053	6759	6562.36	2055	15.0235
ENSXMAT00000000054	2992	2795.36	287	4.92565
ENSXMAT00000000058	5618	5421.36	97	0.858387
ENSXMAT00000000059	4949	4752.36	34	0.343233
ENSXMAT00000000061	879	682.363	247	17.3661
ENSXMAT00000000083	882	685.363	17	1.19
ENSXMAT00000000067	3968	3771.36	545	6.93295
ENSXMAT00000000060	993	796.363	0	0
ENSXMAT00000000126	2619	2422.36	2	0.0396105
ENSXMAT00000000062	204	60.4329	122	96.8515
ENSXMAT00000000069	3788	3591.36	329	4.39498
ENSXMAT00000000065	2550	2353.36	24.5007	0.499471
ENSXMAT00000000090	4851	4654.36	409	4.21583
ENSXMAT00000000068	743	546.541	11	0.965583
ENSXMAT00000000070	3031	2834.36	466	7.8877
ENSXMAT00000000071	2226	2029.36	522	12.3404
ENSXMAT00000000073	2121	1924.36	0	0
ENSXMAT00000000089	2327	2130.36	390	8.78276
ENSXMAT00000000078	1147	950.363	570	28.7743
ENSXMAT00000000074	600	404.875	270	31.9936
ENSXMAT00000000093	1856	1659.36	905	26.1654
ENSXMAT00000000085	3427	3230.36	3828	56.8513
ENSXMAT00000000110	5551	5354.36	2975.94	26.6646
ENSXMAT00000000077	975	778.363	146	8.99893
ENSXMAT00000000099	5005	4808.36	417	4.16063
ENSXMAT00000000080	3153	2956.36	1400	22.7191
ENSXMAT00000000101	1794	1597.36	685	20.5734
ENSXMAT00000000079	666	469.993	1241	126.678
ENSXMAT00000000082	1401	1204.36	33	1.31455
ENSXMAT00000000100	9733	9536.36	7353.33	36.9932
ENSXMAT00000000102	4564	4367.36	769	8.44748
ENSXMAT00000000084	1344	1147.36	1	0.0418138
ENSXMAT00000000092	2825	2628.36	26.4354	0.482525
ENSXMAT00000000096	2822	2625.36	35.5646	0.649904
ENSXMAT00000000086	1494	1297.36	7.8243	0.289337
ENSXMAT00000000087	3157	2960.36	45	0.729269
ENSXMAT00000000088	3236	3039.36	8	0.126278
ENSXMAT00000000097	1365	1168.36	173	7.10376
ENSXMAT00000000091	1240	1043.36	98	4.5062
ENSXMAT00000000095	537	343.258	62	8.66544
ENSXMAT00000000094	760	563.541	64	5.44847
ENSXMAT00000000111	5186	4989.36	91	0.875016
ENSXMAT00000000103	3290	3093.36	800	12.4074
ENSXMAT00000000098	681	484.897	20	1.97879
ENSXMAT00000000106	1651	1454.36	77	2.54002
ENSXMAT00000000104	540	346.154	143.291	19.8595
ENSXMAT00000000113	3263	3066.36	35	0.547601
ENSXMAT00000000112	6614	6417.36	900	6.72831
ENSXMAT00000000108	1656	1459.36	10	0.328743
ENSXMAT00000000118	2568	2371.36	73	1.47688
ENSXMAT00000000115	1513	1316.36	1644	59.9165
ENSXMAT00000000105	1240	1043.36	113.709	5.22854
ENSXMAT00000000109	618	422.709	904	102.6
ENSXMAT00000000107	174	44.1322	1	1.08709
ENSXMAT00000000132	1697	1500.36	8	0.255808
ENSXMAT00000000116	3607	3410.36	16	0.225081
ENSXMAT00000000124	3744	3547.36	4899	66.2555
ENSXMAT00000000114	6226	6029.36	458.154	3.64553
ENSXMAT00000000123	1173	976.363	9	0.442233
ENSXMAT00000000119	1290	1093.36	155	6.80123
ENSXMAT00000000122	3776	3579.36	619	8.29669
ENSXMAT00000000121	3270	3073.36	3	0.0468303
ENSXMAT00000000125	2850	2653.36	70	1.26567
ENSXMAT00000000142	1769	1572.36	219	6.68207
ENSXMAT00000000127	4057	3860.36	714	8.8734
ENSXMAT00000000129	630	434.538	4	0.441624
ENSXMAT00000000128	1605	1408.36	133	4.53061
ENSXMAT00000000133	3430	3233.36	270.859	4.01891
ENSXMAT00000000131	3752	3555.36	130	1.7542
ENSXMAT00000000184	3120	2923.36	1	0.0164111
ENSXMAT00000000144	2586	2389.36	357	7.16813
ENSXMAT00000000135	2426	2229.36	325	6.99395
ENSXMAT00000000130	2627	2430.36	1125	22.2076
ENSXMAT00000000143	2901	2704.36	6292	111.62
ENSXMAT00000000134	4226	4029.36	303	3.60766
ENSXMAT00000000136	1965	1768.36	417	11.3132
ENSXMAT00000000137	1523	1326.36	166	6.00435
ENSXMAT00000000153	5549	5352.36	216	1.9361
ENSXMAT00000000138	1308	1111.36	197	8.50414
ENSXMAT00000000139	1251	1054.36	1	0.0455019
ENSXMAT00000000145	939	742.363	705	45.561
ENSXMAT00000000149	2170	1973.36	1161	28.2257
ENSXMAT00000000140	855	658.363	308	22.4443
ENSXMAT00000000141	1353	1156.36	0	0
ENSXMAT00000000156	2479	2282.36	614.164	12.9098
ENSXMAT00000000150	2556	2359.36	4	0.0813365
ENSXMAT00000000154	1230	1033.36	332	15.4136
ENSXMAT00000000148	723	526.647	85	7.74318
ENSXMAT00000000147	2204	2007.36	5	0.119499
ENSXMAT00000000146	1035	838.363	42	2.40346
ENSXMAT00000000155	1740	1543.36	264	8.20646
ENSXMAT00000000160	1398	1201.36	166	6.62909
