target_id	length	eff_length	est_counts	tpm
g1.t1	945	779.66	20	1.22637
g2.t1	759	593.844	289	23.266
g3.t1	597	432.474	649	71.7432
g4.t1	1695	1529.66	888	27.7533
g5.t1	4182	4016.66	346	4.1182
g6.t1	1749	1583.66	611	18.4449
g7.t1	1863	1697.66	447	12.5879
g10.t1	732	566.844	24	2.02416
g11.t1	1302	1136.66	126	5.29952
g12.t1	777	611.785	133	10.3932
g13.t1	1758	1592.66	452	13.5679
g15.t1	1350	1184.66	365	14.7298
g16.t1	963	797.66	20.2231	1.21207
g17.t1	1830	1664.66	358	10.2814
g18.t1	429	267.954	1697	302.774
g19.t1	1395	1229.66	336	13.0632
g20.t1	3411	3245.66	1079	15.8933
g21.t1	579	414.687	19	2.19043
g22.t1	450	288.031	3	0.497942
g23.t1	465	302.821	195	30.7854
g25.t1	1650	1484.66	719	23.1525
g27.t1	420	259.3	13	2.39684
g28.t1	225	89.9581	347	184.411
g29.t1	1092	926.66	8080	416.858
g30.t1	2463	2297.66	951	19.7875
g32.t1	1362	1196.66	196.78	7.86154
g33.t1	2235	2069.66	376	8.68531
g36.t1	1251	1085.66	237	10.4364
g38.t1	2406	2240.66	568	12.1191
g39.t1	1992	1826.66	330	8.6368
g40.t1	2148	1982.66	558	13.455
g42.t1	750	584.844	157	12.8338
g43.t1	486	323.222	144	21.299
g44.t1	1815	1649.66	416	12.0558
g48.t1	1656	1490.66	30	0.962142
g50.t1	597	432.474	84	9.28572
g52.t1	645	480.207	1	0.0995562
g53.t1	777	611.785	177	13.8316
g54.t1	1548	1382.66	141	4.87529
g55.t1	843	677.66	378	26.6672
g56.t1	1257	1091.66	658	28.8161
g62.t1	1047	881.66	2	0.108449
g69.t1	594	429.518	1	0.111305
g70.t1	438	276.514	3	0.518681
g75.t1	786	620.723	2	0.154038
g79.t1	411	250.634	3	0.572239
g81.t1	294	144.626	55	18.1808
g84.t1	1224	1058.66	32	1.44507
g85.t1	939	773.66	270	16.6844
g89.t1	1050	884.66	336	18.1576
g92.t1	783	617.785	247	19.1142
g95.t1	735	569.844	5	0.419479
g96.t1	1515	1349.66	470	16.6483
g97.t1	2211	2045.66	783	18.2989
g98.t1	327	173.033	1960	541.531
g100.t1	726	560.844	12	1.02291
g105.t1	1590	1424.66	195	6.54365
g106.t1	1890	1724.66	18	0.49896
g108.t1	621	456.207	134	14.0424
g111.t1	1800	1634.66	755	22.0809
g112.t1	1146	980.66	3640	177.451
g113.t1	1821	1655.66	0	0
g114.t1	678	513.106	3	0.279519
g115.t1	531	367.079	3	0.390714
g116.t1	1026	860.66	85	4.72154
g117.t1	1530	1364.66	437	15.3092
g119.t1	3897	3731.66	186	2.38291
g123.t1	846	680.66	797.178	55.9915
g124.t1	969	803.66	213	12.6708
g125.t1	681	516.055	135	12.5065
g126.t1	1473	1307.66	710	25.9573
g127.t1	612	447.342	377	40.2901
g128.t1	1665	1499.66	70	2.23153
g129.t1	1473	1307.66	1331	48.6609
g130.t1	1272	1106.66	1039	44.8847
g131.t1	5982	5816.66	1055	8.67112
g132.t1	3195	3029.66	1143	18.0364
g134.t1	393	233.494	3	0.614246
g136.t1	2820	2654.66	2418	43.5456
g137.t1	684	518.951	18	1.65822
g138.t1	1824	1658.66	30	0.86469
g139.t1	486	323.222	1	0.147909
g141.t1	2490	2324.66	588	12.0925
g144.t1	594	429.518	16	1.78088
g148.t1	2163	1997.66	174	4.16413
g149.t1	1239	1073.66	437	19.4586
g150.t1	513	349.547	4	0.54708
g155.t1	666	501.157	54	5.1513
g156.t1	696	530.951	200	18.0083
g157.t1	813	647.66	2	0.147632
g158.t1	1473	1307.66	67	2.4495
g159.t1	7320	7154.66	5573	37.2389
g162.t1	5631	5465.66	1551	13.5664
g164.t1	2895	2729.66	824	14.4316
g165.t1	1758	1592.66	308	9.24537
g166.t1	1902	1736.66	1203	33.1167
g167.t1	513	349.547	74	10.121
g169.t1	4161	3995.66	1211	14.4895
g171.t1	384	225.147	401	85.148
g172.t1	1854	1688.66	478	13.5326
g174.t1	1656	1490.66	185	5.93321
g175.t1	405	244.91	1094	213.553
g176.t1	2262	2096.66	24	0.547243
g177.t1	1011	845.66	4.7066	0.266078
g178.t1	1011	845.66	9	0.508796
g179.t1	2424	2258.66	1350	28.5746
g180.t1	1770	1604.66	618	18.4121
g181.t1	1557	1391.66	918.982	31.5697
g183.t1	852	686.66	676	47.0654
g184.t1	1953	1787.66	511	13.6657
g185.t1	1257	1091.66	0	0
g186.t1	5715	5549.66	310	2.6705
g187.t1	1644	1478.66	6196	200.327
g188.t1	2079	1913.66	2088	52.163
g189.t1	1467	1301.66	3363.71	123.543
g190.t1	3507	3341.66	114.287	1.63506
g191.t1	1323	1157.66	3	0.12389
g193.t1	390	230.682	1260	261.128
g196.t1	1011	845.66	1256	71.0053
g197.t1	336	181.074	1426.47	376.618
g199.t1	567	402.729	224	26.5908
g200.t1	1251	1085.66	245	10.7887
g201.t1	1404	1238.66	163	6.29118
g202.t1	2133	1967.66	653	15.8657
g203.t1	1365	1199.66	142	5.65883
g204.t1	7209	7043.66	5751	39.0339
g205.t1	1290	1124.66	436	18.5337
g206.t1	1467	1301.66	289	10.6144
g208.t1	4614	4448.66	1610	17.3019
g211.t1	714	548.844	157	13.6756
g213.t1	852	686.66	594	41.3563
g216.t1	576	411.729	638	74.0809
g217.t1	222	87.6656	1125.71	613.893
g222.t1	3093	2927.66	949	15.4968
g223.t1	3201	3035.66	247	3.88992
g225.t1	1677	1511.66	13	0.411136
g226.t1	402	242.083	102	20.1434
g227.t1	2058	1892.66	561	14.1706
g228.t1	3093	2927.66	1558	25.4415
g229.t1	1812	1646.66	345	10.0164
g230.t1	1497	1331.66	113	4.05678
g231.t1	891	725.66	1610	106.069
g232.t1	477	314.542	1	0.151991
g233.t1	3396	3230.66	1618	23.9433
g234.t1	1347	1181.66	213	8.61755
g235.t1	846	680.66	9	0.632134
g237.t1	4554	4388.66	132	1.43793
g241.t1	1632	1466.66	78	2.54251
g243.t1	1305	1139.66	1338	56.1277
g244.t1	1056	890.66	48	2.57648
g245.t1	825	659.66	302	21.8869
g246.t1	2901	2735.66	3362	58.7533
g248.t1	1107	941.66	801	40.6663
g252.t1	3654	3488.66	2486	34.0674
g253.t1	429	267.954	13	2.31942
g254.t1	804	638.66	23	1.72169
g255.t1	2526	2360.66	841	17.0317
g256.t1	1017	851.66	450.801	25.3055
g258.t1	363	205.677	5	1.1622
g259.t1	1971	1805.66	703	18.613
g260.t1	2268	2102.66	1515	34.4461
g261.t1	999	833.66	984	56.4291
g262.t1	6501	6335.66	6065	45.7652
g263.t1	900	734.66	38	2.47283
g264.t1	1239	1073.66	106	4.71993
g265.t1	2889	2723.66	5	0.0877635
g266.t1	2829	2663.66	17	0.305117
g267.t1	2067	1901.66	3280	82.4589
g269.t1	657	492.207	22	2.13684
g270.t1	309	157.662	770.499	233.636
g271.t1	1494	1328.66	7400	266.265
g272.t1	588	423.603	533	60.1541
g273.t1	717	551.844	170	14.7275
g274.t1	1206	1040.66	292	13.4144
g275.t1	351	194.833	151	37.052
g276.t1	1968	1802.66	108	2.86422
g277.t1	354	197.57	48	11.6149
g278.t1	3267	3101.66	294	4.53158
g279.t1	1401	1235.66	660	25.5353
g280.t1	3195	3029.66	569	8.97873
g282.t1	1140	974.66	108	5.29746
g283.t1	1245	1079.66	3	0.132841
g285.t1	915	749.66	80	5.10179
g286.t1	2898	2732.66	305	5.33594
g287.t1	2352	2186.66	163	3.56372
g288.t1	4266	4100.66	1021	11.9033
g290.t1	1266	1100.66	22	0.955578
g291.t1	696	530.951	10484	943.993
g292.t1	3837	3671.66	2083	27.1221
g294.t1	426	265.035	90	16.2344
g296.t1	2607	2441.66	306	5.99146
g298.t1	1233	1067.66	570.621	25.5512
g300.t1	3099	2933.66	267	4.35109
g301.t1	357	200.324	1082	258.22
g302.t1	1308	1142.66	604	25.2707
g303.t1	2235	2069.66	373	8.61602
g304.t1	720	554.844	8	0.689312
g306.t1	6183	6017.66	1999	15.8811
g307.t1	1968	1802.66	532	14.1089
g308.t1	1809	1643.66	217	6.31167
g309.t1	2043	1877.66	47	1.19668
g310.t1	825	659.66	40	2.89892
g311.t1	489	326.124	311	45.5905
g312.t1	1884	1718.66	8973	249.6
g313.t1	1455	1289.66	919	34.0672
g314.t1	2760	2594.66	267	4.91957
g316.t1	1128	962.66	754	37.4451
g317.t1	3672	3506.66	1351	18.4187
g319.t1	231	94.2099	27	13.7014
g320.t1	1746	1580.66	0	0
g321.t1	4086	3920.66	43	0.524331
g322.t1	300	149.838	4	1.27625
g323.t1	483	320.287	122	18.2103
g324.t1	396	236.351	3	0.606822
g325.t1	10704	10538.7	6617	30.0174
g327.t1	813	647.66	1352	99.799
g328.t1	906	740.66	0	0
g329.t1	459	296.942	630	101.43
g330.t1	2208	2042.66	356	8.33203
g331.t1	744	578.844	262	21.639
g332.t1	771	605.785	478	37.723
g336.t1	777	611.785	903	70.5644
g337.t1	1089	923.66	2	0.103518
g338.t1	483	320.287	179	26.7184
g340.t1	2133	1967.66	6533	158.73
g341.t1	3099	2933.66	374	6.09479
g342.t1	1071	905.66	286	15.0972
g343.t1	1494	1328.66	472	16.9834
g344.t1	1515	1349.66	427	15.1252
g345.t1	1302	1136.66	7	0.294418
g346.t1	1104	938.66	6	0.30559
g347.t1	1665	1499.66	31	0.988247
g348.t1	426	265.035	2667	481.079
g349.t1	2370	2204.66	23	0.49875
g350.t1	1740	1574.66	19	0.576851
g351.t1	3426	3260.66	85	1.24626
g353.t1	1386	1220.66	8035	314.694
g354.t1	1137	971.66	893	43.9374
g355.t1	693	527.951	3073	278.269
g356.t1	987	821.66	340	19.7826
g357.t1	672	507.106	0	0
g358.t1	1422	1256.66	1769	67.2987
g359.t1	1350	1184.66	690	27.8453
g361.t1	849	683.66	74	5.17474
g362.t1	1956	1790.66	252	6.72797
g363.t1	1377	1211.66	146	5.76061
g364.t1	4887	4721.66	73	0.739137
g365.t1	1863	1697.66	178	5.01263
g366.t1	5619	5453.66	2403	21.065
g367.t1	405	244.91	34	6.63694
g368.t1	840	674.66	17.7219	1.2558
g369.t1	828	662.66	2	0.14429
g370.t1	1278	1112.66	4	0.171868
g371.t1	2595	2429.66	10	0.196767
g372.t1	1032	866.66	8	0.441304
g373.t1	2442	2276.66	1820	38.2182
g374.t1	2838	2672.66	192	3.43443
g375.t1	2430	2264.66	1980	41.7983
g376.t1	948	782.66	2	0.122167
g377.t1	3183	3017.66	608	9.6323
g379.t1	1638	1472.66	624	20.2572
g380.t1	4455	4289.66	1520	16.9402
g381.t1	3519	3353.66	28	0.39915
g382.t1	495	331.991	3365	484.568
g383.t1	339	183.81	462	120.163
g384.t1	5466	5300.66	98	0.883879
g385.t1	5223	5057.66	65	0.614413
g386.t1	1086	920.66	3454	179.358
g387.t1	3387	3221.66	349	5.17896
g388.t1	1506	1340.66	478	17.0454
g389.t1	3006	2840.66	98	1.64931
g390.t1	1875	1709.66	2248	62.8613
g391.t1	1248	1082.66	141	6.22621
g392.t1	1791	1625.66	46	1.35277
g393.t1	774	608.785	164	12.8788
g394.t1	888	722.66	1206	79.7829
g395.t1	705	539.898	28	2.47938
g396.t1	3195	3029.66	2267	35.7729
g397.t1	300	149.838	21	6.7003
g398.t1	237	98.4516	460	223.374
g399.t1	1176	1010.66	95	4.49382
g400.t1	1098	932.66	82	4.20327
g401.t1	1743	1577.66	9267	280.816
g402.t1	3264	3098.66	227	3.50226
g403.t1	2316	2150.66	718	15.9606
g404.t1	1557	1391.66	32	1.09929
g405.t1	2496	2330.66	28	0.574349
g406.t1	714	548.844	599	52.1764
g408.t1	1758	1592.66	1746	52.4104
g409.t1	1245	1079.66	249	11.0258
g410.t1	1467	1301.66	191	7.01508
g411.t1	1410	1244.66	528	20.2806
g412.t1	2628	2462.66	2.87023	0.0557198
g413.t1	846	680.66	6	0.421423
g414.t1	912	746.66	1.12977	0.0723374
g415.t1	2016	1850.66	6	0.154996
g416.t1	4839	4673.66	20	0.204583
g417.t1	1731	1565.66	203	6.19862
