target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2303.64	108	2.44718
ENSXMAT00000000002	3108	2900.64	121	2.17746
ENSXMAT00000000006	7272	7064.65	481	3.55397
ENSXMAT00000000004	5150	4942.65	129	1.36235
ENSXMAT00000000005	1251	1043.64	1	0.0500156
ENSXMAT00000000007	348	156.945	21	6.98444
ENSXMAT00000000009	3432	3224.64	28	0.453247
ENSXMAT00000000008	336	146.99	0	0
ENSXMAT00000000010	1533	1325.64	50	1.9688
ENSXMAT00000000011	3366	3158.64	63	1.04111
ENSXMAT00000000012	9969	9761.65	312	1.66836
ENSXMAT00000000013	975	767.645	18	1.22397
ENSXMAT00000000014	3772	3564.64	1964	28.7597
ENSXMAT00000000017	4496	4288.65	73.155	0.890395
ENSXMAT00000000015	987	779.645	33	2.20941
ENSXMAT00000000016	1472	1264.64	0	0
ENSXMAT00000000018	1947	1739.64	0	0
ENSXMAT00000000019	2277	2069.64	612	15.4353
ENSXMAT00000000020	848	640.712	0	0
ENSXMAT00000000021	6069	5861.65	0	0
ENSXMAT00000000022	3435	3227.64	538	8.70072
ENSXMAT00000000023	726	518.997	10	1.00576
ENSXMAT00000000024	1635	1427.64	2121	77.5495
ENSXMAT00000000025	4570	4362.65	198.383	2.37364
ENSXMAT00000000026	4160	3952.64	55.6166	0.734472
ENSXMAT00000000027	2559	2351.64	113	2.50822
ENSXMAT00000000028	773	565.891	45	4.15086
ENSXMAT00000000029	1148	940.645	36	1.99772
ENSXMAT00000000030	2729	2521.64	179	3.70534
ENSXMAT00000000031	2611	2403.64	1	0.0217164
ENSXMAT00000000032	2055	1847.64	0	0
ENSXMAT00000000033	1413	1205.64	24	1.03908
ENSXMAT00000000034	6015	5807.65	3277	29.4534
ENSXMAT00000000035	1636	1428.64	18	0.657668
ENSXMAT00000000036	621	414.416	0	0
ENSXMAT00000000037	3883	3675.64	0	0
ENSXMAT00000000038	1008	800.645	42	2.73822
ENSXMAT00000000039	1918	1710.64	231	7.04873
ENSXMAT00000000040	978	770.645	0	0
ENSXMAT00000000041	2388	2180.64	8	0.191498
ENSXMAT00000000042	4069	3861.64	236.793	3.20077
ENSXMAT00000000043	3803	3595.64	1178.21	17.1042
ENSXMAT00000000044	2503	2295.64	64	1.45524
ENSXMAT00000000045	3957	3749.64	933	12.9882
ENSXMAT00000000046	801	593.774	6	0.527459
ENSXMAT00000000047	1814	1606.64	0	0
ENSXMAT00000000048	4501	4293.65	0	0
ENSXMAT00000000049	2517	2309.64	6.08216	0.137458
ENSXMAT00000000050	1982	1774.64	6	0.176481
ENSXMAT00000000051	3813	3605.64	269.256	3.898
ENSXMAT00000000053	6759	6551.65	685	5.45756
ENSXMAT00000000054	2992	2784.64	29	0.543609
ENSXMAT00000000058	5618	5410.65	39	0.376248
ENSXMAT00000000059	4949	4741.65	214	2.35583
ENSXMAT00000000061	879	671.645	74	5.75109
ENSXMAT00000000083	882	674.645	0	0
ENSXMAT00000000067	3968	3760.64	147	2.04039
ENSXMAT00000000060	993	785.645	0	0
ENSXMAT00000000126	2619	2411.64	7	0.151511
ENSXMAT00000000062	204	54.6302	24	22.9318
ENSXMAT00000000069	3788	3580.64	358	5.21892
ENSXMAT00000000065	2550	2342.64	6	0.133691
ENSXMAT00000000090	4851	4643.65	335	3.76569
ENSXMAT00000000068	743	535.891	1	0.0974051
ENSXMAT00000000070	3031	2823.64	47	0.868853
ENSXMAT00000000071	2226	2018.64	0	0
ENSXMAT00000000073	2121	1913.64	0	0
ENSXMAT00000000089	2327	2119.64	173	4.26031
ENSXMAT00000000078	1147	939.645	104	5.77734
ENSXMAT00000000074	600	393.576	51	6.76395
ENSXMAT00000000093	1856	1648.64	883	27.9571
ENSXMAT00000000085	3427	3219.64	96	1.5564
ENSXMAT00000000110	5551	5343.65	51.4603	0.502682
ENSXMAT00000000077	975	767.645	0	0
ENSXMAT00000000099	5005	4797.65	81	0.881283
ENSXMAT00000000080	3153	2945.64	1	0.0177206
ENSXMAT00000000101	1794	1586.64	133	4.37553
ENSXMAT00000000079	666	459.197	5	0.568368
ENSXMAT00000000082	1401	1193.64	0	0
ENSXMAT00000000100	9733	9525.65	1512	8.28545
ENSXMAT00000000102	4564	4356.65	0	0
ENSXMAT00000000084	1344	1136.64	13	0.597004
ENSXMAT00000000092	2825	2617.64	13.3044	0.265303
ENSXMAT00000000096	2822	2614.64	6.69562	0.133671
ENSXMAT00000000086	1494	1286.64	15	0.608543
ENSXMAT00000000087	3157	2949.64	19	0.336235
ENSXMAT00000000088	3236	3028.64	17	0.292994
ENSXMAT00000000097	1365	1157.64	35	1.57816
ENSXMAT00000000091	1240	1032.64	72	3.63949
ENSXMAT00000000095	537	331.55	10	1.57438
ENSXMAT00000000094	760	552.891	40	3.77641
ENSXMAT00000000111	5186	4978.65	18	0.188721
ENSXMAT00000000103	3290	3082.64	1	0.016933
ENSXMAT00000000098	681	474.197	4	0.440311
ENSXMAT00000000106	1651	1443.64	1	0.0361575
ENSXMAT00000000104	540	334.55	16.5349	2.57988
ENSXMAT00000000113	3263	3055.64	2	0.0341653
ENSXMAT00000000112	6614	6406.65	292	2.37909
ENSXMAT00000000108	1656	1448.64	3	0.108098
ENSXMAT00000000118	2568	2360.64	0	0
ENSXMAT00000000115	1513	1305.64	914	36.5409
ENSXMAT00000000105	1240	1032.64	15.4651	0.781736
