target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2312.42	124.63	3.49874
ENSXMAT00000000002	3108	2909.42	971	21.6655
ENSXMAT00000000006	7272	7073.42	991	9.09494
ENSXMAT00000000004	5150	4951.42	89.3701	1.1717
ENSXMAT00000000005	1251	1052.42	15	0.92525
ENSXMAT00000000007	348	169.106	46	17.6585
ENSXMAT00000000009	3432	3233.42	109	2.18837
ENSXMAT00000000008	336	159.299	447	182.158
ENSXMAT00000000010	1533	1334.42	38	1.84862
ENSXMAT00000000011	3366	3167.42	75	1.53713
ENSXMAT00000000012	9969	9770.42	5617	37.3205
ENSXMAT00000000013	975	776.416	185	15.4679
ENSXMAT00000000014	3772	3573.42	1353	24.5793
ENSXMAT00000000017	4496	4297.42	299.467	4.52373
ENSXMAT00000000015	987	788.416	175	14.4091
ENSXMAT00000000016	1472	1273.42	852	43.4335
ENSXMAT00000000018	1947	1748.42	49	1.81931
ENSXMAT00000000019	2277	2078.42	704	21.9885
ENSXMAT00000000020	848	649.775	2	0.199812
ENSXMAT00000000021	6069	5870.42	61	0.674554
ENSXMAT00000000022	3435	3236.42	1567	31.4311
ENSXMAT00000000023	726	527.888	429	52.7559
ENSXMAT00000000024	1635	1436.42	1360	61.463
ENSXMAT00000000025	4570	4371.42	513.137	7.62021
ENSXMAT00000000026	4160	3961.42	699.863	11.4688
ENSXMAT00000000027	2559	2360.42	306	8.41566
ENSXMAT00000000028	773	574.775	120	13.5531
ENSXMAT00000000029	1148	949.416	108	7.38452
ENSXMAT00000000030	2729	2530.42	396	10.1592
ENSXMAT00000000031	2611	2412.42	7	0.188365
ENSXMAT00000000032	2055	1856.42	31	1.08403
ENSXMAT00000000033	1413	1214.42	188	10.0495
ENSXMAT00000000034	6015	5816.42	104	1.16074
ENSXMAT00000000035	1636	1437.42	1272	57.446
ENSXMAT00000000036	621	423.621	2	0.306484
ENSXMAT00000000037	3883	3684.42	35	0.616673
ENSXMAT00000000038	1008	809.416	62	4.9725
ENSXMAT00000000039	1918	1719.42	7447	281.161
ENSXMAT00000000040	978	779.416	0	0
ENSXMAT00000000041	2388	2189.42	1352	40.087
ENSXMAT00000000042	4069	3870.42	195.245	3.27475
ENSXMAT00000000043	3803	3604.42	51.755	0.932122
ENSXMAT00000000044	2503	2304.42	274	7.71872
ENSXMAT00000000045	3957	3758.42	396	6.83984
ENSXMAT00000000046	801	602.775	8	0.861569
ENSXMAT00000000047	1814	1615.42	14	0.562599
ENSXMAT00000000048	4501	4302.42	27	0.407387
ENSXMAT00000000049	2517	2318.42	36.0168	1.00848
ENSXMAT00000000050	1982	1783.42	39	1.4196
ENSXMAT00000000051	3813	3614.42	226.14	4.06157
ENSXMAT00000000053	6759	6560.42	884	8.74735
ENSXMAT00000000054	2992	2793.42	120	2.7887
ENSXMAT00000000058	5618	5419.42	45	0.539033
ENSXMAT00000000059	4949	4750.42	22	0.30064
ENSXMAT00000000061	879	680.775	267	25.4603
ENSXMAT00000000083	882	683.775	24	2.27852
ENSXMAT00000000067	3968	3769.42	424	7.30209
ENSXMAT00000000060	993	794.416	0	0
ENSXMAT00000000126	2619	2420.42	4	0.107282
ENSXMAT00000000062	204	67.6248	85	81.5959
ENSXMAT00000000069	3788	3589.42	159	2.8756
ENSXMAT00000000065	2550	2351.42	10.267	0.283445
ENSXMAT00000000090	4851	4652.42	220	3.06973
ENSXMAT00000000068	743	544.888	5	0.595687
ENSXMAT00000000070	3031	2832.42	342	7.83835
ENSXMAT00000000071	2226	2027.42	185	5.92358
ENSXMAT00000000073	2121	1922.42	0	0
ENSXMAT00000000089	2327	2128.42	284	8.66198
ENSXMAT00000000078	1147	948.416	398	27.242
ENSXMAT00000000074	600	403.034	208	33.5025
ENSXMAT00000000093	1856	1657.42	962	37.679
ENSXMAT00000000085	3427	3228.42	2080	41.8244
ENSXMAT00000000110	5551	5352.42	1632.97	19.8054
ENSXMAT00000000077	975	776.416	95	7.943
ENSXMAT00000000099	5005	4806.42	360	4.86224
ENSXMAT00000000080	3153	2954.42	927	20.3687
ENSXMAT00000000101	1794	1595.42	288	11.7186
ENSXMAT00000000079	666	468.18	720	99.8332
ENSXMAT00000000082	1401	1202.42	17	0.917803
ENSXMAT00000000100	9733	9534.42	3558.58	24.2292
ENSXMAT00000000102	4564	4365.42	407	6.05235
ENSXMAT00000000084	1344	1145.42	6	0.34005
ENSXMAT00000000092	2825	2626.42	12.5546	0.310309
ENSXMAT00000000096	2822	2623.42	25.4454	0.629648
ENSXMAT00000000086	1494	1295.42	18	0.902025
ENSXMAT00000000087	3157	2958.42	129	2.83065
ENSXMAT00000000088	3236	3037.42	23	0.491563
ENSXMAT00000000097	1365	1166.42	139	7.736
ENSXMAT00000000091	1240	1041.42	39	2.43106
ENSXMAT00000000095	537	341.288	70	13.3147
ENSXMAT00000000094	760	561.832	77	8.89691
ENSXMAT00000000111	5186	4987.42	78	1.01525
ENSXMAT00000000103	3290	3091.42	448	9.40754
ENSXMAT00000000098	681	483.037	13	1.7471
ENSXMAT00000000106	1651	1452.42	68	3.0393
ENSXMAT00000000104	540	344.288	121.618	22.9314
ENSXMAT00000000113	3263	3064.42	46	0.974463
ENSXMAT00000000112	6614	6415.42	524	5.30227
ENSXMAT00000000108	1656	1457.42	3	0.133627
ENSXMAT00000000118	2568	2369.42	15	0.410966
ENSXMAT00000000115	1513	1314.42	1346	66.4764
ENSXMAT00000000105	1240	1041.42	118.382	7.37934
ENSXMAT00000000109	618	420.664	463	71.4499
ENSXMAT00000000107	174	50.872	1	1.27608
ENSXMAT00000000132	1697	1498.42	13	0.563205
