target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2349.79	167.89	3.89976
ENSXMAT00000000002	3108	2946.79	76	1.40769
ENSXMAT00000000006	7272	7110.79	616	4.72832
ENSXMAT00000000004	5150	4988.79	153.11	1.67515
ENSXMAT00000000005	1251	1089.79	0	0
ENSXMAT00000000007	348	193.199	18	5.08524
ENSXMAT00000000009	3432	3270.79	2	0.033375
ENSXMAT00000000008	336	182.332	1	0.299351
ENSXMAT00000000010	1533	1371.79	126.495	5.03302
ENSXMAT00000000011	3366	3204.79	82	1.39655
ENSXMAT00000000012	9969	9807.79	305.505	1.70016
ENSXMAT00000000013	975	813.794	17	1.14019
ENSXMAT00000000014	3772	3610.79	3496	52.8461
ENSXMAT00000000017	4496	4334.79	21.5443	0.271274
ENSXMAT00000000015	987	825.794	30	1.98287
ENSXMAT00000000016	1472	1310.79	1	0.0416399
ENSXMAT00000000018	1947	1785.79	0	0
ENSXMAT00000000019	2277	2115.79	473	12.202
ENSXMAT00000000020	848	686.873	0	0
ENSXMAT00000000021	6069	5907.79	1	0.00923886
ENSXMAT00000000022	3435	3273.79	704	11.7372
ENSXMAT00000000023	726	564.873	1	0.0966258
ENSXMAT00000000024	1635	1473.79	3150	116.659
ENSXMAT00000000025	4570	4408.79	148.2	1.83473
ENSXMAT00000000026	4160	3998.79	99.8003	1.36222
ENSXMAT00000000027	2559	2397.79	222	5.05342
ENSXMAT00000000028	773	611.873	47	4.19257
ENSXMAT00000000029	1148	986.794	36	1.99122
ENSXMAT00000000030	2729	2567.79	156	3.31595
ENSXMAT00000000031	2611	2449.79	0	0
ENSXMAT00000000032	2055	1893.79	0	0
ENSXMAT00000000033	1413	1251.79	4	0.17441
ENSXMAT00000000034	6015	5853.79	18	0.167834
ENSXMAT00000000035	1636	1474.79	8	0.296076
ENSXMAT00000000036	621	459.976	0	0
ENSXMAT00000000037	3883	3721.79	0	0
ENSXMAT00000000038	1008	846.794	144	9.28173
ENSXMAT00000000039	1918	1756.79	186	5.77878
ENSXMAT00000000040	978	816.794	0	0
ENSXMAT00000000041	2388	2226.79	2	0.0490223
ENSXMAT00000000042	4069	3907.79	317.693	4.43731
ENSXMAT00000000043	3803	3641.79	2024.31	30.3392
ENSXMAT00000000044	2503	2341.79	105	2.44728
ENSXMAT00000000045	3957	3795.79	1951	28.0542
ENSXMAT00000000046	801	639.873	9	0.767702
ENSXMAT00000000047	1814	1652.79	0	0
ENSXMAT00000000048	4501	4339.79	1	0.0125769
ENSXMAT00000000049	2517	2355.79	1.81064	0.0419508
ENSXMAT00000000050	1982	1820.79	12	0.35972
ENSXMAT00000000051	3813	3651.79	313	4.67824
ENSXMAT00000000053	6759	6597.79	445	3.68133
ENSXMAT00000000054	2992	2830.79	31	0.597719
ENSXMAT00000000058	5618	5456.79	49	0.49012
ENSXMAT00000000059	4949	4787.79	325	3.70503
ENSXMAT00000000061	879	717.873	59	4.48589
ENSXMAT00000000083	882	720.873	0	0
ENSXMAT00000000067	3968	3806.79	243	3.4841
ENSXMAT00000000060	993	831.794	0	0
ENSXMAT00000000126	2619	2457.79	16	0.355319
ENSXMAT00000000062	204	75.0353	29	21.0948
ENSXMAT00000000069	3788	3626.79	1549	23.3116
ENSXMAT00000000065	2550	2388.79	11.3013	0.258223
ENSXMAT00000000090	4851	4689.79	397	4.62041
ENSXMAT00000000068	743	581.873	5	0.469014
ENSXMAT00000000070	3031	2869.79	39	0.74175
ENSXMAT00000000071	2226	2064.79	0	0
ENSXMAT00000000073	2121	1959.79	0	0
ENSXMAT00000000089	2327	2165.79	165	4.15825
ENSXMAT00000000078	1147	985.794	103	5.70289
ENSXMAT00000000074	600	438.976	56	6.96291
ENSXMAT00000000093	1856	1694.79	930	29.9509
ENSXMAT00000000085	3427	3265.79	282	4.71307
ENSXMAT00000000110	5551	5389.79	28.4814	0.288426
ENSXMAT00000000077	975	813.794	1	0.0670702
ENSXMAT00000000099	5005	4843.79	48	0.540878
ENSXMAT00000000080	3153	2991.79	2	0.0364873
ENSXMAT00000000101	1794	1632.79	121	4.04481
ENSXMAT00000000079	666	504.976	1	0.108087
ENSXMAT00000000082	1401	1239.79	0	0
