target_id	length	eff_length	est_counts	tpm
g1.t1	945	805.834	3	0.629258
g2.t1	759	619.834	43	11.7259
g3.t1	597	457.834	24	8.86046
g4.t1	1695	1555.83	173	18.7947
g5.t1	4182	4042.83	3	0.125426
g6.t1	1749	1609.83	32	3.35986
g7.t1	1863	1723.83	43	4.21625
g10.t1	732	592.834	0	0
g11.t1	1302	1162.83	15	2.18035
g12.t1	777	637.834	19	5.03499
g13.t1	1758	1618.83	35	3.65442
g15.t1	1350	1210.83	3527	492.35
g16.t1	963	823.834	410.885	84.3012
g17.t1	1830	1690.83	32	3.19891
g18.t1	429	290.603	30	17.4491
g19.t1	1395	1255.83	72	9.69065
g20.t1	3411	3271.83	125	6.45761
g21.t1	579	439.834	0	0
g22.t1	450	311.424	0	0
g23.t1	465	326.267	10	5.1806
g25.t1	1650	1510.83	55	6.15317
g27.t1	420	281.775	0	0
g28.t1	225	99.206	39	66.4476
g29.t1	1092	952.834	3423	607.215
g30.t1	2463	2323.83	190	13.8198
g32.t1	1362	1222.83	0	0
g33.t1	2235	2095.83	29	2.3388
g36.t1	1251	1111.83	0	0
g38.t1	2406	2266.83	0	0
g39.t1	1992	1852.83	11	1.00348
g40.t1	2148	2008.83	130	10.9384
g42.t1	750	610.834	16	4.42741
g43.t1	486	347.066	29	14.1234
g44.t1	1815	1675.83	16	1.61377
g48.t1	1656	1516.83	27	3.0087
g50.t1	597	457.834	0	0
g52.t1	645	505.834	82	27.4005
g53.t1	777	637.834	44	11.66
g54.t1	1548	1408.83	5	0.599878
g55.t1	843	703.834	18	4.3227
g56.t1	1257	1117.83	42	6.35075
g62.t1	1047	907.834	0	0
g69.t1	594	454.834	0	0
g70.t1	438	299.485	0	0
g75.t1	786	646.834	0	0
g79.t1	411	272.83	0	0
g81.t1	294	160.335	0	0
g84.t1	1224	1084.83	0	0
g85.t1	939	799.834	12	2.53591
g89.t1	1050	910.834	47	8.72191
g92.t1	783	643.834	35	9.18855
g95.t1	735	595.834	0	0
g96.t1	1515	1375.83	89	10.9339
g97.t1	2211	2071.83	24	1.95798
g98.t1	327	191.476	43	37.9583
g100.t1	726	586.834	0	0
g105.t1	1590	1450.83	0	0
g106.t1	1890	1750.83	52	5.02009
g108.t1	621	481.834	0	0
g111.t1	1800	1660.83	0	0
g112.t1	1146	1006.83	470	78.9029
g113.t1	1821	1681.83	0	0
g114.t1	678	538.834	2	0.627376
g115.t1	531	391.918	7	3.01895
g116.t1	1026	886.834	0	0
g117.t1	1530	1390.83	164	19.9306
g119.t1	3897	3757.83	826	37.1531
g123.t1	846	706.834	63.4079	15.1628
g124.t1	969	829.834	1	0.203686
g125.t1	681	541.834	85	26.5159
g126.t1	1473	1333.83	119	15.0799
g127.t1	612	472.834	37	13.2265
g128.t1	1665	1525.83	1	0.110776
g129.t1	1473	1333.83	37	4.6887
g130.t1	1272	1132.83	369	55.0571
g131.t1	5982	5842.83	37	1.07036
g132.t1	3195	3055.83	388	21.4612
g134.t1	393	255.384	0	0
g136.t1	2820	2680.83	0	0
g137.t1	684	544.834	0	0
g138.t1	1824	1684.83	0	0
g139.t1	486	347.066	0	0
g141.t1	2490	2350.83	0	0
g144.t1	594	454.834	0	0
g148.t1	2163	2023.83	1	0.0835176
g149.t1	1239	1099.83	0	0
g150.t1	513	373.956	0	0
g155.t1	666	526.834	0	0
g156.t1	696	556.834	1	0.303548
g157.t1	813	673.834	1	0.250842
g158.t1	1473	1333.83	111	14.0661
g159.t1	7320	7180.83	41	0.965077
g162.t1	5631	5491.83	6	0.184666
g164.t1	2895	2755.83	105	6.44005
g165.t1	1758	1618.83	37	3.86325
g166.t1	1902	1762.83	416	39.8873
g167.t1	513	373.956	0	0
g169.t1	4161	4021.83	55	2.31149
g171.t1	384	246.51	48	32.9124
g172.t1	1854	1714.83	30	2.957
g174.t1	1656	1516.83	25	2.78583
g175.t1	405	267.02	57	36.0815
g176.t1	2262	2122.83	3	0.238868
g177.t1	1011	871.834	0	0
g178.t1	1011	871.834	2	0.387748
g179.t1	2424	2284.83	0	0
g180.t1	1770	1630.83	109	11.2972
g181.t1	1557	1417.83	5.99963	0.715241
g183.t1	852	712.834	1444	342.398
g184.t1	1953	1813.83	401	37.368
g185.t1	1257	1117.83	0	0
g186.t1	5715	5575.83	9	0.272826
g187.t1	1644	1504.83	3	0.336966
g188.t1	2079	1939.83	76	6.62219
g189.t1	1467	1327.83	1740.3	221.53
g190.t1	3507	3367.83	5624.7	282.294
g191.t1	1323	1183.83	138	19.7034
g193.t1	390	252.435	6	4.01749
g196.t1	1011	871.834	4	0.775495
g197.t1	336	200.04	2	1.68992
g199.t1	567	427.878	11	4.34536
g200.t1	1251	1111.83	92	13.9862
g201.t1	1404	1264.83	1	0.133635
g202.t1	2133	1993.83	6	0.508645
g203.t1	1365	1225.83	15	2.06829
g204.t1	7209	7069.83	379	9.06114
g205.t1	1290	1150.83	22	3.23119
g206.t1	1467	1327.83	1	0.127294
g208.t1	4614	4474.83	11	0.415498
g211.t1	714	574.834	0	0
g213.t1	852	712.834	16	3.79389
g216.t1	576	436.878	2	0.77379
g217.t1	222	96.7737	165.284	288.686
g222.t1	3093	2953.83	92	5.26447
g223.t1	3201	3061.83	14	0.772857
g225.t1	1677	1537.83	0	0
g226.t1	402	264.046	5	3.20068
g227.t1	2058	1918.83	210	18.4984
g228.t1	3093	2953.83	45	2.57501
g229.t1	1812	1672.83	25	2.52604
g230.t1	1497	1357.83	12	1.49378
g231.t1	891	751.834	205	46.0877
g232.t1	477	338.134	0	0
g233.t1	3396	3256.83	103	5.34558
g234.t1	1347	1207.83	0	0
g235.t1	846	706.834	0	0
g237.t1	4554	4414.83	33	1.26343
g241.t1	1632	1492.83	7904	894.928
g243.t1	1305	1165.83	26	3.76955
g244.t1	1056	916.834	0	0
g245.t1	825	685.834	9	2.21808
g246.t1	2901	2761.83	466	28.5195
g248.t1	1107	967.834	0	0
g252.t1	3654	3514.83	104	5.00128
g253.t1	429	290.603	0	0
g254.t1	804	664.834	6	1.52543
g255.t1	2526	2386.83	343	24.2898
g256.t1	1017	877.834	15	2.88823
g258.t1	363	226.08	0	0
g259.t1	1971	1831.83	68	6.27445
g260.t1	2268	2128.83	0	0
g261.t1	999	859.834	19	3.73501
g262.t1	6501	6361.83	103	2.73658
g263.t1	900	760.834	0	0
g264.t1	1239	1099.83	0	0
g265.t1	2889	2749.83	2	0.122935
g266.t1	2829	2689.83	0	0
g267.t1	2067	1927.83	1	0.0876765
g269.t1	657	517.834	4	1.30564
g270.t1	309	174.507	1	0.968592
g271.t1	1494	1354.83	3785	472.207
g272.t1	588	448.834	20	7.53177
g273.t1	717	577.834	1	0.292516
g274.t1	1206	1066.83	23	3.64405
g275.t1	351	214.436	73	57.5412
g276.t1	1968	1828.83	23	2.12572
g277.t1	354	217.392	1	0.777515
g278.t1	3267	3127.83	43	2.32369
g279.t1	1401	1261.83	64	8.57296
g280.t1	3195	3055.83	33	1.82531
g282.t1	1140	1000.83	1	0.168885
g283.t1	1245	1105.83	0	0
g285.t1	915	775.834	3	0.65359
g286.t1	2898	2758.83	4	0.245068
g287.t1	2352	2212.83	1	0.0763843
g288.t1	4266	4126.83	102	4.17769
g290.t1	1266	1126.83	0	0
g291.t1	696	556.834	73	22.159
g292.t1	3837	3697.83	26	1.18844
g294.t1	426	287.661	0	0
g296.t1	2607	2467.83	7	0.479441
g298.t1	1233	1093.83	17	2.62694
g300.t1	3099	2959.83	2	0.114213
g301.t1	357	220.26	26	19.9522
g302.t1	1308	1168.83	0	0
g303.t1	2235	2095.83	42	3.38723
g304.t1	720	580.834	1	0.291005
g306.t1	6183	6043.83	86	2.40513
g307.t1	1968	1828.83	134	12.3846
g308.t1	1809	1669.83	30	3.03669
g309.t1	2043	1903.83	15	1.33173
g310.t1	825	685.834	0	0
g311.t1	489	350.066	17	8.20827
g312.t1	1884	1744.83	2188	211.956
g313.t1	1455	1315.83	153	19.6536
g314.t1	2760	2620.83	36	2.32175
g316.t1	1128	988.834	4	0.683738
g317.t1	3672	3532.83	388	18.5636
g319.t1	231	104.083	6	9.74371
g320.t1	1746	1606.83	0	0
g321.t1	4086	3946.83	0	0
g322.t1	300	165.854	0	0
g323.t1	483	344.066	1	0.491259
g324.t1	396	258.23	2	1.30911
g325.t1	10704	10564.8	13	0.207986
g327.t1	813	673.834	0	0
g328.t1	906	766.834	0	0
g329.t1	459	320.299	0	0
g330.t1	2208	2068.83	323	26.3894
g331.t1	744	604.834	18	5.03025
g332.t1	771	631.834	175	46.8153
g336.t1	777	637.834	12	3.18
g337.t1	1089	949.834	0	0
g338.t1	483	344.066	5	2.4563
g340.t1	2133	1993.83	1490	126.314
g341.t1	3099	2959.83	29	1.65609
g342.t1	1071	931.834	22	3.99059
g343.t1	1494	1354.83	18	2.24564
