target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2308.03	87.505	2.40369
ENSXMAT00000000002	3108	2905.03	728	15.888
ENSXMAT00000000006	7272	7069.03	928	8.32292
ENSXMAT00000000004	5150	4947.03	104.495	1.33918
ENSXMAT00000000005	1251	1048.03	28	1.69384
ENSXMAT00000000007	348	162.135	65	25.417
ENSXMAT00000000009	3432	3229.03	93	1.82599
ENSXMAT00000000008	336	152.015	461	192.265
ENSXMAT00000000010	1533	1330.03	59	2.81241
ENSXMAT00000000011	3366	3163.03	95	1.90418
ENSXMAT00000000012	9969	9766.03	8252	53.5708
ENSXMAT00000000013	975	772.028	65	5.33787
ENSXMAT00000000014	3772	3569.03	1459	25.9175
ENSXMAT00000000017	4496	4293.03	112.535	1.66192
ENSXMAT00000000015	987	784.028	116	9.38024
ENSXMAT00000000016	1472	1269.03	241	12.0402
ENSXMAT00000000018	1947	1744.03	112	4.07148
ENSXMAT00000000019	2277	2074.03	810	24.7604
ENSXMAT00000000020	848	645.165	5	0.491345
ENSXMAT00000000021	6069	5866.03	109	1.17807
ENSXMAT00000000022	3435	3232.03	1769	34.7008
ENSXMAT00000000023	726	523.219	399	48.3478
ENSXMAT00000000024	1635	1432.03	1123	49.7182
ENSXMAT00000000025	4570	4367.03	771.305	11.1977
ENSXMAT00000000026	4160	3957.03	626.695	10.0409
ENSXMAT00000000027	2559	2356.03	291	7.83069
ENSXMAT00000000028	773	570.165	176	19.5704
ENSXMAT00000000029	1148	945.028	131	8.78848
ENSXMAT00000000030	2729	2526.03	722	18.1212
ENSXMAT00000000031	2611	2408.03	6	0.157971
ENSXMAT00000000032	2055	1852.03	37	1.26661
ENSXMAT00000000033	1413	1210.03	151	7.91168
ENSXMAT00000000034	6015	5812.03	99	1.07993
ENSXMAT00000000035	1636	1433.03	1610	71.2293
ENSXMAT00000000036	621	418.834	1	0.151372
ENSXMAT00000000037	3883	3680.03	99	1.70558
ENSXMAT00000000038	1008	805.028	77	6.06411
ENSXMAT00000000039	1918	1715.03	8499	314.184
ENSXMAT00000000040	978	775.028	0	0
ENSXMAT00000000041	2388	2185.03	1916	55.5937
ENSXMAT00000000042	4069	3866.03	157.624	2.58491
ENSXMAT00000000043	3803	3600.03	45.3758	0.799109
ENSXMAT00000000044	2503	2300.03	230	6.33989
ENSXMAT00000000045	3957	3754.03	352	5.94473
ENSXMAT00000000046	801	598.165	23	2.43778
ENSXMAT00000000047	1814	1611.03	3	0.118061
ENSXMAT00000000048	4501	4298.03	38	0.560533
ENSXMAT00000000049	2517	2314.03	56.5291	1.54878
ENSXMAT00000000050	1982	1779.03	22	0.78402
ENSXMAT00000000051	3813	3610.03	271.375	4.76592
ENSXMAT00000000053	6759	6556.03	1155	11.1694
ENSXMAT00000000054	2992	2789.03	197	4.47817
ENSXMAT00000000058	5618	5415.03	62	0.725902
ENSXMAT00000000059	4949	4746.03	39	0.520981
ENSXMAT00000000061	879	676.1	199	18.6608
ENSXMAT00000000083	882	679.1	34	3.17419
