target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2300.7	43.3847	1.27177
ENSXMAT00000000002	3108	2897.7	28	0.651684
ENSXMAT00000000006	7272	7061.7	360	3.43816
ENSXMAT00000000004	5150	4939.7	70.6153	0.964119
ENSXMAT00000000005	1251	1040.7	0	0
ENSXMAT00000000007	348	153.537	12	5.2711
ENSXMAT00000000009	3432	3221.7	10	0.209338
ENSXMAT00000000008	336	143.588	0	0
ENSXMAT00000000010	1533	1322.7	94.7722	4.83228
ENSXMAT00000000011	3366	3155.7	70	1.49601
ENSXMAT00000000012	9969	9758.7	206.228	1.42524
ENSXMAT00000000013	975	764.702	14	1.23472
ENSXMAT00000000014	3772	3561.7	1916	36.2803
ENSXMAT00000000017	4496	4285.7	19.3532	0.304554
ENSXMAT00000000015	987	776.702	32	2.77861
ENSXMAT00000000016	1472	1261.7	0	0
ENSXMAT00000000018	1947	1736.7	1	0.0388336
ENSXMAT00000000019	2277	2066.7	229	7.47292
ENSXMAT00000000020	848	637.773	0	0
ENSXMAT00000000021	6069	5858.7	2	0.023023
ENSXMAT00000000022	3435	3224.7	370	7.73829
ENSXMAT00000000023	726	516.001	128	16.7298
ENSXMAT00000000024	1635	1424.7	2742	129.8
ENSXMAT00000000025	4570	4359.7	115.732	1.79031
ENSXMAT00000000026	4160	3949.7	50.2685	0.85835
ENSXMAT00000000027	2559	2348.7	80	2.29718
ENSXMAT00000000028	773	562.895	23	2.75571
ENSXMAT00000000029	1148	937.702	13	0.934999
ENSXMAT00000000030	2729	2518.7	93	2.49023
ENSXMAT00000000031	2611	2400.7	0	0
ENSXMAT00000000032	2055	1844.7	0	0
ENSXMAT00000000033	1413	1202.7	8	0.448605
ENSXMAT00000000034	6015	5804.7	18	0.209134
ENSXMAT00000000035	1636	1425.7	6	0.283828
ENSXMAT00000000036	621	411.413	0	0
ENSXMAT00000000037	3883	3672.7	0	0
ENSXMAT00000000038	1008	797.702	70	5.9182
ENSXMAT00000000039	1918	1707.7	208	8.21455
ENSXMAT00000000040	978	767.702	0	0
ENSXMAT00000000041	2388	2177.7	5	0.154848
ENSXMAT00000000042	4069	3858.7	186.182	3.25408
ENSXMAT00000000043	3803	3592.7	1402.82	26.3338
ENSXMAT00000000044	2503	2292.7	51	1.50022
ENSXMAT00000000045	3957	3746.7	1059	19.0625
ENSXMAT00000000046	801	590.837	2	0.228294
ENSXMAT00000000047	1814	1603.7	0	0
ENSXMAT00000000048	4501	4290.7	3	0.0471548
ENSXMAT00000000049	2517	2306.7	0	0
ENSXMAT00000000050	1982	1771.7	9	0.342598
ENSXMAT00000000051	3813	3602.7	213.817	4.00264
ENSXMAT00000000053	6759	6548.7	286	2.94539
ENSXMAT00000000054	2992	2781.7	17	0.412165
ENSXMAT00000000058	5618	5407.7	19	0.236959
ENSXMAT00000000059	4949	4738.7	182	2.59027
ENSXMAT00000000061	879	668.773	65	6.55492
ENSXMAT00000000083	882	671.773	0	0
ENSXMAT00000000067	3968	3757.7	112	2.01015
ENSXMAT00000000060	993	782.702	0	0
ENSXMAT00000000126	2619	2408.7	3	0.0839984
ENSXMAT00000000062	204	52.6568	20	25.6158
ENSXMAT00000000069	3788	3577.7	196	3.69475
ENSXMAT00000000065	2550	2339.7	14.4996	0.417954
ENSXMAT00000000090	4851	4640.7	246	3.57507
ENSXMAT00000000068	743	532.949	1	0.126546
