target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2312.76	64.4725	1.46227
ENSXMAT00000000002	3108	2909.76	49	0.883329
ENSXMAT00000000006	7272	7073.76	408	3.02547
ENSXMAT00000000004	5150	4951.76	80.5275	0.853037
ENSXMAT00000000005	1251	1052.76	0	0
ENSXMAT00000000007	348	167.686	14	4.37941
ENSXMAT00000000009	3432	3233.76	11	0.17843
ENSXMAT00000000008	336	157.579	0	0
ENSXMAT00000000010	1533	1334.76	67.3957	2.64857
ENSXMAT00000000011	3366	3167.76	59	0.976974
ENSXMAT00000000012	9969	9770.76	213.604	1.14674
ENSXMAT00000000013	975	776.762	53	3.57908
ENSXMAT00000000014	3772	3573.76	1475	21.6496
ENSXMAT00000000017	4496	4297.76	84.2663	1.02848
ENSXMAT00000000015	987	788.762	53	3.52463
ENSXMAT00000000016	1472	1273.76	0	0
ENSXMAT00000000018	1947	1748.76	0	0
ENSXMAT00000000019	2277	2078.76	462	11.6579
ENSXMAT00000000020	848	649.762	0	0
ENSXMAT00000000021	6069	5870.76	2	0.0178698
ENSXMAT00000000022	3435	3236.76	447	7.24403
ENSXMAT00000000023	726	527.938	13	1.29165
ENSXMAT00000000024	1635	1436.76	2641	96.4201
ENSXMAT00000000025	4570	4371.76	163.695	1.9641
ENSXMAT00000000026	4160	3961.76	50.305	0.66605
ENSXMAT00000000027	2559	2360.76	100	2.22194
ENSXMAT00000000028	773	574.938	45	4.10558
ENSXMAT00000000029	1148	949.762	41	2.2644
ENSXMAT00000000030	2729	2530.76	158	3.27484
ENSXMAT00000000031	2611	2412.76	0	0
ENSXMAT00000000032	2055	1856.76	0	0
ENSXMAT00000000033	1413	1214.76	13	0.561353
ENSXMAT00000000034	6015	5816.76	1576	14.2121
ENSXMAT00000000035	1636	1437.76	1	0.0364835
ENSXMAT00000000036	621	423.657	0	0
ENSXMAT00000000037	3883	3684.76	0	0
ENSXMAT00000000038	1008	809.762	9	0.583001
ENSXMAT00000000039	1918	1719.76	534	16.2876
ENSXMAT00000000040	978	779.762	0	0
ENSXMAT00000000041	2388	2189.76	2	0.047909
ENSXMAT00000000042	4069	3870.76	261.105	3.53836
ENSXMAT00000000043	3803	3604.76	961.895	13.997
ENSXMAT00000000044	2503	2304.76	78	1.77522
ENSXMAT00000000045	3957	3758.76	573	7.99638
ENSXMAT00000000046	801	602.762	6	0.522143
ENSXMAT00000000047	1814	1615.76	0	0
ENSXMAT00000000048	4501	4302.76	0	0
ENSXMAT00000000049	2517	2318.76	4.09528	0.0926427
ENSXMAT00000000050	1982	1783.76	6	0.17644
ENSXMAT00000000051	3813	3614.76	245.722	3.56572
