target_id	length	eff_length	est_counts	tpm
g1.t1	945	746.935	0	0
g2.t1	759	561.233	104	15.2928
g3.t1	597	400.518	411	84.6869
g4.t1	1695	1496.94	502	27.6756
g5.t1	4182	3983.94	79	1.63648
g6.t1	1749	1550.94	346	18.4111
g7.t1	1863	1664.94	251	12.4415
g10.t1	732	534.233	9	1.3903
g11.t1	1302	1103.94	58	4.33591
g12.t1	777	579.176	79	11.2567
g13.t1	1758	1559.94	246	13.0144
g15.t1	1350	1151.94	292	20.9195
g16.t1	963	764.935	14	1.51043
g17.t1	1830	1631.94	223	11.2771
g18.t1	429	240.067	1022	351.33
g19.t1	1395	1196.94	250	17.2372
g20.t1	3411	3212.94	656	16.8499
g21.t1	579	383.025	14	3.01645
g22.t1	450	259.412	4	1.27253
g23.t1	465	273.377	158	47.697
g25.t1	1650	1451.94	306	17.3928
g27.t1	420	231.647	5	1.78131
g28.t1	225	80.8167	317	323.709
g29.t1	1092	893.935	6588	608.196
g30.t1	2463	2264.94	564	20.5504
g32.t1	1362	1163.94	99.7907	7.07551
g33.t1	2235	2036.94	112	4.53771
g36.t1	1251	1052.94	41	3.2135
g38.t1	2406	2207.94	299	11.1759
g39.t1	1992	1793.94	161	7.40654
g40.t1	2148	1949.94	660	27.9332
g42.t1	750	552.233	98	14.6453
g43.t1	486	293.319	104	29.261
g44.t1	1815	1616.94	183	9.34017
g48.t1	1656	1457.94	13	0.73587
g50.t1	597	400.518	29	5.97548
g52.t1	645	447.718	0	0
g53.t1	777	579.176	117	16.6714
g54.t1	1548	1349.94	47	2.8733
g55.t1	843	644.935	187	23.9288
g56.t1	1257	1058.94	289	22.5229
g62.t1	1047	848.935	2	0.194425
g69.t1	594	397.598	1	0.207564
g70.t1	438	248.218	0	0
g75.t1	786	588.176	0	0
g79.t1	411	223.753	0	0
g81.t1	294	128.419	17	10.9249
g84.t1	1224	1025.94	12	0.965289
g85.t1	939	740.935	105	11.6951
g89.t1	1050	851.935	129	12.4962
g92.t1	783	585.176	118	16.6415
g95.t1	735	537.233	5	0.768074
g96.t1	1515	1316.94	237	14.8518
g97.t1	2211	2012.94	446	18.2853
g98.t1	327	153.488	1025	551.119
g100.t1	726	528.287	12	1.8746
g105.t1	1590	1391.94	88	5.21747
g106.t1	1890	1691.94	13	0.634097
g108.t1	621	424.105	80	15.5673
g111.t1	1800	1601.94	276	14.2187
g112.t1	1146	947.935	1331	115.877
g113.t1	1821	1622.94	0	0
g114.t1	678	480.488	0	0
g115.t1	531	336.327	1	0.245378
g116.t1	1026	827.935	32	3.1897
g117.t1	1530	1331.94	248	15.3661
g119.t1	3897	3698.94	92	2.05261
g123.t1	846	647.935	459.603	58.5392
g124.t1	969	770.935	61	6.52992
g125.t1	681	483.488	120	20.4829
g126.t1	1473	1274.94	252	16.3121
g127.t1	612	415.231	103	20.4712
