target_id	length	eff_length	est_counts	tpm
g1.t1	945	769.851	28	1.83326
g2.t1	759	583.913	62	5.35199
g3.t1	597	422.608	94	11.2114
g4.t1	1695	1519.85	361	11.9723
g5.t1	4182	4006.85	31	0.389969
g6.t1	1749	1573.85	126	4.03533
g7.t1	1863	1687.85	91	2.71756
g10.t1	732	556.913	1	0.0905074
g11.t1	1302	1126.85	35	1.56557
g12.t1	777	601.913	93	7.78791
g13.t1	1758	1582.85	68	2.16541
g15.t1	1350	1174.85	3703	158.87
g16.t1	963	787.851	649.582	41.5587
g17.t1	1830	1654.85	161	4.90387
g18.t1	429	259.486	240	46.6197
g19.t1	1395	1219.85	150	6.19806
g20.t1	3411	3235.85	283	4.40828
g21.t1	579	404.649	0	0
g22.t1	450	279.238	0	0
g23.t1	465	293.542	16	2.7474
g25.t1	1650	1474.85	147	5.0239
g27.t1	420	250.927	0	0
g28.t1	225	89.2644	178	100.511
g29.t1	1092	916.851	11756	646.297
g30.t1	2463	2287.85	477	10.509
g32.t1	1362	1186.85	2	0.0849387
g33.t1	2235	2059.85	80	1.95761
g36.t1	1251	1075.85	0	0
g38.t1	2406	2230.85	2	0.0451888
g39.t1	1992	1816.85	35	0.971003
g40.t1	2148	1972.85	409	10.4496
g42.t1	750	574.913	50	4.38369
g43.t1	486	313.69	82	13.1761
g44.t1	1815	1639.85	73	2.24383
g48.t1	1656	1480.85	34	1.15728
g50.t1	597	422.608	1	0.119271
g52.t1	645	470.162	636	68.1838
g53.t1	777	601.913	79	6.61554
g54.t1	1548	1372.85	6	0.220292
g55.t1	843	667.851	53	4.00007
g56.t1	1257	1081.85	57	2.6557
g62.t1	1047	871.851	1	0.0578135
g69.t1	594	419.608	0	0
g70.t1	438	267.847	0	0
g75.t1	786	610.913	1	0.0825073
g79.t1	411	242.528	3	0.623491
g81.t1	294	140.394	0	0
g84.t1	1224	1048.85	1	0.0480571
g85.t1	939	763.851	15	0.989815
g89.t1	1050	874.851	30	1.72846
g92.t1	783	607.913	30	2.48743
g95.t1	735	559.913	0	0
g96.t1	1515	1339.85	222	8.35157
g97.t1	2211	2035.85	72	1.78262
g98.t1	327	167.764	142	42.6639
g100.t1	726	550.968	7	0.640388
g105.t1	1590	1414.85	0	0
g106.t1	1890	1714.85	124	3.64474
g108.t1	621	446.346	10	1.12928
g111.t1	1800	1624.85	3	0.0930635
g112.t1	1146	970.851	1204	62.5094
g113.t1	1821	1645.85	0	0
g114.t1	678	502.968	7	0.701502
g115.t1	531	357.408	24	3.38469
g116.t1	1026	850.851	1	0.0592404
g117.t1	1530	1354.85	377	14.0256
g119.t1	3897	3721.85	755	10.2249
g123.t1	846	670.851	231.289	17.378
g124.t1	969	793.851	7	0.444458
g125.t1	681	505.968	275	27.3956
g126.t1	1473	1297.85	259	10.0588
g127.t1	612	437.523	55	6.33627
g128.t1	1665	1489.85	2	0.0676642
g129.t1	1473	1297.85	82	3.18464
g130.t1	1272	1096.85	1003	46.0919
g131.t1	5982	5806.85	172	1.493
g132.t1	3195	3019.85	543	9.06329
g134.t1	393	225.717	0	0
g136.t1	2820	2644.85	2	0.0381154
g137.t1	684	508.968	2	0.198066
g138.t1	1824	1648.85	0	0
g139.t1	486	313.69	0	0
g141.t1	2490	2314.85	2	0.043549
g144.t1	594	419.608	0	0
g148.t1	2163	1987.85	8	0.202851
g149.t1	1239	1063.85	0	0
g150.t1	513	339.932	0	0
g155.t1	666	491.018	0	0
g156.t1	696	520.968	3	0.290256
g157.t1	813	637.851	1	0.0790228
g158.t1	1473	1297.85	432	16.7776
g159.t1	7320	7144.85	189	1.33334
g162.t1	5631	5455.85	34	0.314115
g164.t1	2895	2719.85	144	2.66863
g165.t1	1758	1582.85	50	1.59221
g166.t1	1902	1726.85	1072	31.2904
g167.t1	513	339.932	0	0
g169.t1	4161	3985.85	179	2.26362
g171.t1	384	217.515	223	51.6759
g172.t1	1854	1678.85	51	1.53119
g174.t1	1656	1480.85	90	3.06339
g175.t1	405	236.773	234	49.8144
g176.t1	2262	2086.85	9	0.217382
g177.t1	1011	835.851	1.03124	0.0621877
g178.t1	1011	835.851	3	0.180911
g179.t1	2424	2248.85	0	0
g180.t1	1770	1594.85	415	13.1159
g181.t1	1557	1381.85	5.61585	0.204845
g183.t1	852	676.851	1056	78.6398
g184.t1	1953	1777.85	643	18.23
g185.t1	1257	1081.85	0	0
g186.t1	5715	5539.85	90	0.818872
g187.t1	1644	1468.85	28	0.960842
g188.t1	2079	1903.85	1712	45.3255
g189.t1	1467	1291.85	3683.39	143.717
g190.t1	3507	3331.85	16615.6	251.364
g191.t1	1323	1147.85	3	0.131737
g193.t1	390	222.971	10	2.2606
g196.t1	1011	835.851	12	0.723642
g197.t1	336	175.415	4	1.14938
g199.t1	567	392.769	40	5.13328
g200.t1	1251	1075.85	128	5.99694
g201.t1	1404	1228.85	2	0.0820356
g202.t1	2133	1957.85	29	0.746604
g203.t1	1365	1189.85	94	3.98205
g204.t1	7209	7033.85	1070	7.66765
g205.t1	1290	1114.85	80	3.61697
g206.t1	1467	1291.85	4	0.15607
g208.t1	4614	4438.85	25	0.283884
g211.t1	714	538.968	3	0.280563
g213.t1	852	676.851	65	4.84052
g216.t1	576	401.69	6	0.752892
g217.t1	222	87.2221	81.0731	46.8514
g222.t1	3093	2917.85	78	1.34742
g223.t1	3201	3025.85	47	0.782928
g225.t1	1677	1501.85	0	0
g226.t1	402	233.917	27	5.81799
g227.t1	2058	1882.85	448	11.9932
g228.t1	3093	2917.85	74	1.27832
g229.t1	1812	1636.85	91	2.80223
g230.t1	1497	1321.85	25	0.953299
g231.t1	891	715.851	551	38.7972
g232.t1	477	304.97	3	0.495833
g233.t1	3396	3220.85	276	4.31927
g234.t1	1347	1171.85	0	0
g235.t1	846	670.851	0	0
g237.t1	4554	4378.85	62	0.71368
g241.t1	1632	1456.85	18186	629.207
g243.t1	1305	1129.85	73	3.25667
g244.t1	1056	880.851	2	0.114446
g245.t1	825	649.851	49	3.80061
g246.t1	2901	2725.85	943	17.4374
g248.t1	1107	931.851	1	0.054091
g252.t1	3654	3478.85	490	7.09957
g253.t1	429	259.486	2	0.388497
g254.t1	804	628.851	16	1.28246
g255.t1	2526	2350.85	636	13.6365
