chrom.marker,chr,marker,intercept,mixture_prop,geno1_pval,geno2_pval,t-value,likelihood-diff,num_ind
ScyDAA6.2.HRSCAF.26.98178,20.0,98178.0,4.879999999999999e-97,0.871463373,0.484224466,0.639188477,0.470068703,0.297354246,137
ScyDAA6.2.HRSCAF.26.119444,20.0,119444.0,1.2999999999999998e-97,0.805179438,0.581381881,0.658113714,0.443651796,0.19766062,138
ScyDAA6.2.HRSCAF.26.146911,20.0,146911.0,1.2999999999999998e-97,0.805179438,0.581381881,0.658113714,0.443651796,0.19766062,138
ScyDAA6.2.HRSCAF.26.170193,20.0,170193.0,1.5399999999999997e-98,0.8113308229999999,0.581957342,0.6466624120000001,0.459581256,0.200519977,139
ScyDAA6.2.HRSCAF.26.190367,20.0,190367.0,2.1499999999999993e-98,0.802316225,0.560998316,0.66923553,0.428269626,0.210315892,139
ScyDAA6.2.HRSCAF.26.211257,20.0,211257.0,2.2299999999999998e-99,0.809230267,0.555006104,0.671641423,0.424948759,0.214494039,140
ScyDAA6.2.HRSCAF.26.231655,20.0,231655.0,2.2299999999999998e-99,0.809230267,0.555006104,0.671641423,0.424948759,0.214494039,140
ScyDAA6.2.HRSCAF.26.251818,20.0,251818.0,2.2299999999999998e-99,0.809230267,0.555006104,0.671641423,0.424948759,0.214494039,140
ScyDAA6.2.HRSCAF.26.272053,20.0,272053.0,1.7999999999999997e-101,0.793201759,0.583148754,0.678998888,0.414832795,0.188091184,142
ScyDAA6.2.HRSCAF.26.292470,20.0,292470.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.312955,20.0,312955.0,1.0699999999999996e-102,0.872983497,0.45167772100000003,0.740235743,0.332290207,0.339616831,144
ScyDAA6.2.HRSCAF.26.333535,20.0,333535.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.355301,20.0,355301.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.378846,20.0,378846.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.399794,20.0,399794.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.420054,20.0,420054.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.440646,20.0,440646.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
ScyDAA6.2.HRSCAF.26.462057,20.0,462057.0,1.6699999999999996e-102,0.7775365120000001,0.5876502889999999,0.67915516,0.41461053700000006,0.1842816,143
