target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2281.89	81.6553	2.67369
ENSXMAT00000000002	3108	2878.89	668	17.3369
ENSXMAT00000000006	7272	7042.89	819	8.6887
ENSXMAT00000000004	5150	4920.89	67.3447	1.02254
ENSXMAT00000000005	1251	1021.89	15	1.09675
ENSXMAT00000000007	348	142.828	44	23.0177
ENSXMAT00000000009	3432	3202.89	72	1.67962
ENSXMAT00000000008	336	133.338	481	269.535
ENSXMAT00000000010	1533	1303.89	43.0457	2.46666
ENSXMAT00000000011	3366	3136.89	114	2.71536
ENSXMAT00000000012	9969	9739.89	6717.95	51.5353
ENSXMAT00000000013	975	745.968	75	7.51212
ENSXMAT00000000014	3772	3542.89	1128	23.7888
ENSXMAT00000000017	4496	4266.89	136.201	2.38502
ENSXMAT00000000015	987	757.893	113	11.1402
ENSXMAT00000000016	1472	1242.89	5	0.300579
ENSXMAT00000000018	1947	1717.89	100	4.34936
ENSXMAT00000000019	2277	2047.89	573	20.9059
ENSXMAT00000000020	848	619.094	7	0.844819
ENSXMAT00000000021	6069	5839.89	66	0.844425
ENSXMAT00000000022	3435	3205.89	1477	34.4234
ENSXMAT00000000023	726	497.38	348	52.2773
ENSXMAT00000000024	1635	1405.89	903	47.9907
ENSXMAT00000000025	4570	4340.89	597.163	10.2786
ENSXMAT00000000026	4160	3930.89	261.837	4.97692
ENSXMAT00000000027	2559	2329.89	235	7.53622
ENSXMAT00000000028	773	544.329	190	26.0804
ENSXMAT00000000029	1148	918.893	169	13.7418
ENSXMAT00000000030	2729	2499.89	624	18.6503
ENSXMAT00000000031	2611	2381.89	8	0.250951
ENSXMAT00000000032	2055	1825.89	26	1.06395
ENSXMAT00000000033	1413	1183.89	159	10.0347
ENSXMAT00000000034	6015	5785.89	66	0.852306
ENSXMAT00000000035	1636	1406.89	1562	82.9548
ENSXMAT00000000036	621	393.41	0	0
ENSXMAT00000000037	3883	3653.89	74	1.5132
ENSXMAT00000000038	1008	778.893	50	4.79638
ENSXMAT00000000039	1918	1688.89	7467	330.343
ENSXMAT00000000040	978	748.968	0	0
ENSXMAT00000000041	2388	2158.89	1395	48.2797
ENSXMAT00000000042	4069	3839.89	145.47	2.83059
ENSXMAT00000000043	3803	3573.89	19.5297	0.408297
ENSXMAT00000000044	2503	2273.89	232	7.62324
ENSXMAT00000000045	3957	3727.89	278	5.5719
ENSXMAT00000000046	801	572.273	19	2.48069
ENSXMAT00000000047	1814	1584.89	4	0.188574
ENSXMAT00000000048	4501	4271.89	24	0.419771
ENSXMAT00000000049	2517	2287.89	24.348	0.79515
ENSXMAT00000000050	1982	1752.89	30	1.27876
ENSXMAT00000000051	3813	3583.89	213.714	4.45553
ENSXMAT00000000053	6759	6529.89	1374	15.7218
ENSXMAT00000000054	2992	2762.89	146	3.9483
ENSXMAT00000000058	5618	5388.89	72	0.998285
ENSXMAT00000000059	4949	4719.89	51	0.807346
ENSXMAT00000000061	879	649.968	185	21.2668
ENSXMAT00000000083	882	652.968	17	1.94526
ENSXMAT00000000067	3968	3738.89	402	8.0335
ENSXMAT00000000060	993	763.893	0	0
ENSXMAT00000000126	2619	2389.89	4	0.125056
ENSXMAT00000000062	204	50.8825	76	111.601
ENSXMAT00000000069	3788	3558.89	133	2.79228
ENSXMAT00000000065	2550	2320.89	56.0145	1.8033
ENSXMAT00000000090	4851	4621.89	247	3.993
ENSXMAT00000000068	743	514.329	6	0.871629
ENSXMAT00000000070	3031	2801.89	303	8.08003
ENSXMAT00000000071	2226	1996.89	258	9.65354
ENSXMAT00000000073	2121	1891.89	0	0
ENSXMAT00000000089	2327	2097.89	188	6.6957
ENSXMAT00000000078	1147	917.893	354	28.8159
ENSXMAT00000000074	600	372.754	207	41.4925
ENSXMAT00000000093	1856	1626.89	565	25.9484
ENSXMAT00000000085	3427	3197.89	2497	58.3413
ENSXMAT00000000110	5551	5321.89	1525.28	21.4144
ENSXMAT00000000077	975	745.968	110	11.0178
ENSXMAT00000000099	5005	4775.89	199	3.11329
ENSXMAT00000000080	3153	2923.89	970	24.7875
ENSXMAT00000000101	1794	1564.89	392	18.7164
ENSXMAT00000000079	666	438.119	818	139.503
ENSXMAT00000000082	1401	1171.89	71	4.52681
ENSXMAT00000000100	9733	9503.89	3425	26.9266
ENSXMAT00000000102	4564	4334.89	433	7.46331
ENSXMAT00000000084	1344	1114.89	16	1.07228
ENSXMAT00000000092	2825	2595.89	24.4787	0.704569
ENSXMAT00000000096	2822	2592.89	10.5213	0.303184
ENSXMAT00000000086	1494	1264.89	13	0.767912
ENSXMAT00000000087	3157	2927.89	32	0.816613
ENSXMAT00000000088	3236	3006.89	13	0.323033
ENSXMAT00000000097	1365	1135.89	96	6.31474
ENSXMAT00000000091	1240	1010.89	64	4.73038
ENSXMAT00000000095	537	311.417	61	14.6355
ENSXMAT00000000094	760	531.329	41	5.76557
ENSXMAT00000000111	5186	4956.89	62	0.934553
ENSXMAT00000000103	3290	3060.89	505	12.3272
ENSXMAT00000000098	681	452.76	12	1.98032
ENSXMAT00000000106	1651	1421.89	43	2.25956
ENSXMAT00000000104	540	314.354	108.74	25.8459
ENSXMAT00000000113	3263	3033.89	26	0.640317
ENSXMAT00000000112	6614	6384.89	644	7.53623
ENSXMAT00000000108	1656	1426.89	12	0.628364
ENSXMAT00000000118	2568	2338.89	12	0.383347
ENSXMAT00000000115	1513	1283.89	1260	73.3269
ENSXMAT00000000105	1240	1010.89	52.26	3.86266
ENSXMAT00000000109	618	390.41	644	123.25
ENSXMAT00000000107	174	38.4245	0	0
ENSXMAT00000000132	1697	1467.89	10	0.509011
ENSXMAT00000000116	3607	3377.89	16	0.353912
ENSXMAT00000000124	3744	3514.89	2884	61.3063
ENSXMAT00000000114	6226	5996.89	322.72	4.02088
ENSXMAT00000000123	1173	943.893	7	0.554111
ENSXMAT00000000119	1290	1060.89	133	9.36703
ENSXMAT00000000122	3776	3546.89	357	7.52042
ENSXMAT00000000121	3270	3040.89	0	0
ENSXMAT00000000125	2850	2620.89	44	1.25437
ENSXMAT00000000142	1769	1539.89	163	7.90895
ENSXMAT00000000127	4057	3827.89	645	12.5899
ENSXMAT00000000129	630	402.41	2	0.371349
ENSXMAT00000000128	1605	1375.89	79	4.29007
ENSXMAT00000000133	3430	3200.89	195	4.55182
ENSXMAT00000000131	3752	3522.89	103	2.18454
ENSXMAT00000000184	3120	2890.89	2	0.0516916
ENSXMAT00000000144	2586	2356.89	185	5.86481
ENSXMAT00000000135	2426	2196.89	280	9.52294
ENSXMAT00000000130	2627	2397.89	693	21.5936
ENSXMAT00000000143	2901	2671.89	3291	92.0302
ENSXMAT00000000134	4226	3996.89	182	3.40228
ENSXMAT00000000136	1965	1735.89	336	14.4623
ENSXMAT00000000137	1523	1293.89	72	4.15773
ENSXMAT00000000153	5549	5319.89	102	1.43258
ENSXMAT00000000138	1308	1078.89	193	13.366
ENSXMAT00000000139	1251	1021.89	2	0.146233
ENSXMAT00000000145	939	709.968	479	50.4102
ENSXMAT00000000149	2170	1940.89	760	29.2573
ENSXMAT00000000140	855	626.032	172	20.5284
ENSXMAT00000000141	1353	1123.89	2	0.132962
ENSXMAT00000000156	2479	2249.89	421.584	14.0005
ENSXMAT00000000150	2556	2326.89	5	0.160552
ENSXMAT00000000154	1230	1000.89	282	21.0515
ENSXMAT00000000148	723	494.38	63	9.52142
ENSXMAT00000000147	2204	1974.89	2	0.0756673
ENSXMAT00000000146	1035	805.893	16	1.48342
ENSXMAT00000000155	1740	1510.89	180	8.90144
ENSXMAT00000000160	1398	1168.89	116	7.41489
ENSXMAT00000000151	1086	856.893	2976	259.494
ENSXMAT00000000157	1473	1243.89	111	6.66748
ENSXMAT00000000152	1314	1084.89	2	0.137741
ENSXMAT00000000167	1091	861.893	2	0.17338
ENSXMAT00000000183	7677	7447.89	1969	19.753
