target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2336.17	101.875	1.8632
ENSXMAT00000000002	3108	2933.17	1019	14.8434
ENSXMAT00000000006	7272	7097.17	1634	9.83702
ENSXMAT00000000004	5150	4975.17	135.125	1.16045
ENSXMAT00000000005	1251	1076.17	30	1.19107
ENSXMAT00000000007	348	182.804	91	21.2693
ENSXMAT00000000009	3432	3257.17	171	2.24312
ENSXMAT00000000008	336	172.584	641	158.691
ENSXMAT00000000010	1533	1358.17	47.0586	1.48041
ENSXMAT00000000011	3366	3191.17	136	1.8209
ENSXMAT00000000012	9969	9794.17	11242.9	49.0466
ENSXMAT00000000013	975	800.166	93	4.96592
ENSXMAT00000000014	3772	3597.17	1861	22.1046
ENSXMAT00000000017	4496	4321.17	189.719	1.87588
ENSXMAT00000000015	987	812.166	205	10.7846
ENSXMAT00000000016	1472	1297.17	10	0.329383
ENSXMAT00000000018	1947	1772.17	186	4.48441
ENSXMAT00000000019	2277	2102.17	1023	20.7924
ENSXMAT00000000020	848	673.244	3	0.190391
ENSXMAT00000000021	6069	5894.17	54	0.391443
ENSXMAT00000000022	3435	3260.17	2590	33.9435
ENSXMAT00000000023	726	551.363	647	50.1376
ENSXMAT00000000024	1635	1460.17	1691	49.4809
ENSXMAT00000000025	4570	4395.17	1026.32	9.97709
ENSXMAT00000000026	4160	3985.17	1121.68	12.0259
ENSXMAT00000000027	2559	2384.17	478	8.5662
ENSXMAT00000000028	773	598.304	323	23.0663
ENSXMAT00000000029	1148	973.166	264	11.5908
ENSXMAT00000000030	2729	2554.17	900	15.0553
ENSXMAT00000000031	2611	2436.17	11	0.192922
ENSXMAT00000000032	2055	1880.17	42	0.954442
ENSXMAT00000000033	1413	1238.17	326	11.2496
ENSXMAT00000000034	6015	5840.17	119	0.870599
ENSXMAT00000000035	1636	1461.17	2293	67.0504
ENSXMAT00000000036	621	446.654	1	0.0956589
ENSXMAT00000000037	3883	3708.17	129	1.48637
ENSXMAT00000000038	1008	833.166	90	4.61538
ENSXMAT00000000039	1918	1743.17	12514	306.728
ENSXMAT00000000040	978	803.166	3	0.159593
ENSXMAT00000000041	2388	2213.17	2331	45.0013
ENSXMAT00000000042	4069	3894.17	252.741	2.77305
ENSXMAT00000000043	3803	3628.17	68.2592	0.803842
ENSXMAT00000000044	2503	2328.17	374	6.86364
ENSXMAT00000000045	3957	3782.17	473	5.34339
ENSXMAT00000000046	801	626.244	23	1.56921
ENSXMAT00000000047	1814	1639.17	18	0.469187
ENSXMAT00000000048	4501	4326.17	66	0.651835
ENSXMAT00000000049	2517	2342.17	82.3041	1.50141
ENSXMAT00000000050	1982	1807.17	53	1.25307
ENSXMAT00000000051	3813	3638.17	409.215	4.8058
ENSXMAT00000000053	6759	6584.17	2197	14.2569
ENSXMAT00000000054	2992	2817.17	290	4.39827
ENSXMAT00000000058	5618	5443.17	96	0.753557
ENSXMAT00000000059	4949	4774.17	35	0.313233
ENSXMAT00000000061	879	704.244	274	16.6236
ENSXMAT00000000083	882	707.244	22	1.32908
ENSXMAT00000000067	3968	3793.17	526	5.92489
ENSXMAT00000000060	993	818.166	0	0
ENSXMAT00000000126	2619	2444.17	110	1.92291
ENSXMAT00000000062	204	69.2238	120	74.0666
ENSXMAT00000000069	3788	3613.17	341	4.03239
ENSXMAT00000000065	2550	2375.17	16.504	0.296887
ENSXMAT00000000090	4851	4676.17	429	3.9198
ENSXMAT00000000068	743	568.363	18	1.35314
ENSXMAT00000000070	3031	2856.17	369	5.52001
ENSXMAT00000000071	2226	2051.17	518	10.7901
ENSXMAT00000000073	2121	1946.17	0	0
ENSXMAT00000000089	2327	2152.17	352	6.98817
ENSXMAT00000000078	1147	972.166	580	25.4908
ENSXMAT00000000074	600	425.654	341	34.229
ENSXMAT00000000093	1856	1681.17	1183	30.0657
ENSXMAT00000000085	3427	3252.17	3616	47.5064
ENSXMAT00000000110	5551	5376.17	2774.08	22.0466
ENSXMAT00000000077	975	800.166	154	8.22313
ENSXMAT00000000099	5005	4830.17	540	4.7767
ENSXMAT00000000080	3153	2978.17	1436	20.6017
ENSXMAT00000000101	1794	1619.17	847	22.3506
ENSXMAT00000000079	666	491.516	2183	189.763
ENSXMAT00000000082	1401	1226.17	36	1.25444
ENSXMAT00000000100	9733	9558.17	6199.61	27.7132
ENSXMAT00000000102	4564	4389.17	765	7.44691
ENSXMAT00000000084	1344	1169.17	1	0.0365444
ENSXMAT00000000092	2825	2650.17	28.6788	0.462365
ENSXMAT00000000096	2822	2647.17	43.3212	0.699223
ENSXMAT00000000086	1494	1319.17	5	0.161945
ENSXMAT00000000087	3157	2982.17	42	0.601747
ENSXMAT00000000088	3236	3061.17	21	0.293109
ENSXMAT00000000097	1365	1190.17	177	6.35422
ENSXMAT00000000091	1240	1065.17	95	3.81068
ENSXMAT00000000095	537	363.077	70	8.23751
ENSXMAT00000000094	760	585.363	122	8.90494
ENSXMAT00000000111	5186	5011.17	117	0.997571
ENSXMAT00000000103	3290	3115.17	729	9.99869
ENSXMAT00000000098	681	506.466	14	1.18107
ENSXMAT00000000106	1651	1476.17	101	2.92336
ENSXMAT00000000104	540	366.004	116.935	13.6507
ENSXMAT00000000113	3263	3088.17	47	0.65027
ENSXMAT00000000112	6614	6439.17	1037	6.88091
ENSXMAT00000000108	1656	1481.17	13	0.375004
ENSXMAT00000000118	2568	2393.17	78	1.39257
ENSXMAT00000000115	1513	1338.17	1814	57.9194
ENSXMAT00000000105	1240	1065.17	134.065	5.37769
ENSXMAT00000000109	618	443.654	862	83.0156
ENSXMAT00000000107	174	50.9881	1	0.837969
ENSXMAT00000000132	1697	1522.17	11	0.308764
ENSXMAT00000000116	3607	3432.17	20	0.248976
ENSXMAT00000000124	3744	3569.17	4824	57.748
ENSXMAT00000000114	6226	6051.17	534.999	3.77755
ENSXMAT00000000123	1173	998.166	10	0.428049
ENSXMAT00000000119	1290	1115.17	197	7.54785
ENSXMAT00000000122	3776	3601.17	537	6.3713
ENSXMAT00000000121	3270	3095.17	0	0
ENSXMAT00000000125	2850	2675.17	83	1.32563
ENSXMAT00000000142	1769	1594.17	196	5.25314
ENSXMAT00000000127	4057	3882.17	865	9.52004
ENSXMAT00000000129	630	455.564	5	0.46894
ENSXMAT00000000128	1605	1430.17	120	3.58502
ENSXMAT00000000133	3430	3255.17	277.222	3.63874
ENSXMAT00000000131	3752	3577.17	144	1.71997
ENSXMAT00000000184	3120	2945.17	6	0.0870438
ENSXMAT00000000144	2586	2411.17	419	7.42478
ENSXMAT00000000135	2426	2251.17	430	8.16127
ENSXMAT00000000130	2627	2452.17	1094	19.0618
ENSXMAT00000000143	2901	2726.17	6217	97.4373
ENSXMAT00000000134	4226	4051.17	315	3.32221
ENSXMAT00000000136	1965	1790.17	523	12.4826
ENSXMAT00000000137	1523	1348.17	177	5.60953
ENSXMAT00000000153	5549	5374.17	266.25	2.11678
ENSXMAT00000000138	1308	1133.17	264	9.95421
ENSXMAT00000000139	1251	1076.17	2	0.0794049
ENSXMAT00000000145	939	764.244	808	45.1727
ENSXMAT00000000149	2170	1995.17	1221	26.1477
ENSXMAT00000000140	855	680.244	311	19.5341
ENSXMAT00000000141	1353	1178.17	2	0.0725304
ENSXMAT00000000156	2479	2304.17	602.023	11.1634
ENSXMAT00000000150	2556	2381.17	2	0.035887
ENSXMAT00000000154	1230	1055.17	431	17.4523
ENSXMAT00000000148	723	548.363	75	5.84373
ENSXMAT00000000147	2204	2029.17	2	0.0421123
ENSXMAT00000000146	1035	860.166	39	1.93722
ENSXMAT00000000155	1740	1565.17	314	8.57168
ENSXMAT00000000160	1398	1223.17	197	6.88141
ENSXMAT00000000151	1086	911.166	2695	126.374
ENSXMAT00000000157	1473	1298.17	213	7.01045
ENSXMAT00000000152	1314	1139.17	1	0.0375068
ENSXMAT00000000167	1091	916.166	1	0.0466361
ENSXMAT00000000183	7677	7502.17	3694	21.0381
ENSXMAT00000000168	2117	1942.17	414	9.10774
ENSXMAT00000000158	864	689.244	161	9.98044
ENSXMAT00000000164	6128	5953.17	386.977	2.77737
ENSXMAT00000000161	858	683.244	295	18.4477
ENSXMAT00000000159	1257	1082.17	159	6.27769
ENSXMAT00000000162	1308	1133.17	99	3.73283
ENSXMAT00000000163	444	272.33	35	5.49123
ENSXMAT00000000177	5380	5205.17	1695	13.9134
ENSXMAT00000000165	5313	5138.17	1324	11.0097
ENSXMAT00000000170	438	266.575	0	0
ENSXMAT00000000174	573	398.777	516	55.2861
ENSXMAT00000000166	366	199.223	7779	1668.32
ENSXMAT00000000169	1704	1529.17	113	3.15733
ENSXMAT00000000191	1206	1031.17	3505	145.23
ENSXMAT00000000176	1089	914.166	3722	173.959
ENSXMAT00000000195	5343	5168.17	2193	18.13
ENSXMAT00000000171	261	109.813	1	0.389083
ENSXMAT00000000172	432	260.84	2	0.327606
ENSXMAT00000000173	779	604.304	350	24.7462
ENSXMAT00000000175	447	275.192	14546	2258.42
ENSXMAT00000000197	16829	16654.2	170	0.436137
ENSXMAT00000000182	435	263.682	3869	626.924
ENSXMAT00000000178	2566	2391.17	84	1.50095
ENSXMAT00000000179	1534	1359.17	445	13.9889
ENSXMAT00000000180	1014	839.166	169	8.60469
ENSXMAT00000000181	2577	2402.17	60	1.0672
ENSXMAT00000000190	2435	2260.17	458.042	8.65887
ENSXMAT00000000186	435	263.682	2	0.324076
ENSXMAT00000000185	3808	3633.17	325.832	3.83182
ENSXMAT00000000187	888	713.244	195	11.6814
ENSXMAT00000000194	2768	2593.17	582	9.58935
ENSXMAT00000000188	2659	2484.17	484	8.32456
ENSXMAT00000000189	1978	1803.17	236	5.59207
ENSXMAT00000000208	4714	4539.17	965	9.08339
ENSXMAT00000000196	1746	1571.17	182	4.94932
ENSXMAT00000000193	5542	5367.17	7	0.0557249
ENSXMAT00000000192	174	50.9881	2	1.67594
ENSXMAT00000000205	2397	2222.17	669	12.8631
ENSXMAT00000000203	5887	5712.17	809	6.05124
ENSXMAT00000000202	354	188.227	0	0
ENSXMAT00000000199	837	662.244	9	0.580659
ENSXMAT00000000211	2031	1856.17	2246	51.6999
ENSXMAT00000000198	1826	1651.17	87	2.25126
ENSXMAT00000000201	3312	3137.17	312	4.24926
ENSXMAT00000000200	991	816.166	703	36.8022
ENSXMAT00000000207	2508	2333.17	582	10.658
ENSXMAT00000000206	876	701.244	83	5.05715
ENSXMAT00000000204	2480	2305.17	0	0
ENSXMAT00000000215	2067	1892.17	843	19.0355
ENSXMAT00000000213	2142	1967.17	868	18.8528
ENSXMAT00000000209	1257	1082.17	5	0.197412
ENSXMAT00000000222	1572	1397.17	322	9.84701
ENSXMAT00000000210	2868	2693.17	550	8.72562
ENSXMAT00000000212	5940	5765.17	1035	7.67053
ENSXMAT00000000214	6258	6083.17	313	2.19842
ENSXMAT00000000216	5807	5632.17	407.551	3.09174
ENSXMAT00000000219	948	773.244	245	13.5377
ENSXMAT00000000218	4722	4547.17	52	0.488606
ENSXMAT00000000217	5395	5220.17	1410	11.5407
ENSXMAT00000000224	3955	3780.17	866	9.78822
ENSXMAT00000000243	5252	5077.17	1653	13.9107
ENSXMAT00000000220	2283	2108.17	195	3.95209
ENSXMAT00000000230	5383	5208.17	950	7.79355
ENSXMAT00000000226	2188	2013.17	4607	97.7767
ENSXMAT00000000223	3065	2890.17	4184	61.8537
ENSXMAT00000000247	2650	2475.17	604	10.4263
ENSXMAT00000000235	4556	4381.17	4129	40.2672
