target_id	length	eff_length	est_counts	tpm
g1.t1	945	726.344	3	0.265422
g2.t1	759	540.599	89	10.5797
g3.t1	597	379.947	488	82.5383
g4.t1	1695	1476.27	417	18.1522
g5.t1	4182	3963.27	106	1.71874
g6.t1	1749	1530.27	415	17.4276
g7.t1	1863	1644.27	279	10.9041
g10.t1	732	513.808	3	0.375213
g11.t1	1302	1083.27	61	3.61869
g12.t1	777	558.599	63	7.24768
g13.t1	1758	1539.27	363	15.1548
g15.t1	1350	1131.27	367	20.8477
g16.t1	963	744.269	22	1.89955
g17.t1	1830	1611.27	145	5.78306
g18.t1	429	218.991	672	197.198
g19.t1	1395	1176.27	278	15.1878
g20.t1	3411	3192.27	491	9.88417
g21.t1	579	362.096	2	0.354948
g22.t1	450	238.402	5	1.34778
g23.t1	465	252.28	110	28.02
g25.t1	1650	1431.27	412	18.4984
g27.t1	420	210.877	9	2.74265
g28.t1	225	64.9854	177	175.031
g29.t1	1092	873.269	5204	382.955
g30.t1	2463	2244.27	524	15.0043
g32.t1	1362	1143.27	89.6474	5.03904
g33.t1	2235	2016.27	191	6.08756
g36.t1	1251	1032.27	89	5.54058
g38.t1	2406	2187.27	392	11.5171
g39.t1	1992	1773.27	149	5.3997
g40.t1	2148	1929.27	370	12.3244
g42.t1	750	531.653	83	10.0325
g43.t1	486	272.188	65	15.3463
g44.t1	1815	1596.27	248	9.98398
g48.t1	1656	1437.27	18	0.804808
g50.t1	597	379.947	39	6.5963
g52.t1	645	427.232	3	0.451249
g53.t1	777	558.599	82	9.43348
g54.t1	1548	1329.27	38	1.83708
g55.t1	843	624.48	217	22.3306
g56.t1	1257	1038.27	420	25.9955
g62.t1	1047	828.269	4	0.310346
g69.t1	594	376.947	0	0
g70.t1	438	227.236	0	0
g75.t1	786	567.599	0	0
g79.t1	411	202.584	1	0.317214
g81.t1	294	108.017	17	10.1138
g84.t1	1224	1005.27	14	0.89496
g85.t1	939	720.344	160	14.2738
g89.t1	1050	831.269	197	15.2294
g92.t1	783	564.599	195	22.1949
g95.t1	735	516.757	4	0.49743
g96.t1	1515	1296.27	296	14.6742
g97.t1	2211	1992.27	498	16.0635
g98.t1	327	132.363	1063	516.091
g100.t1	726	507.86	3	0.379608
g105.t1	1590	1371.27	170	7.96681
g106.t1	1890	1671.27	16	0.615222
g108.t1	621	403.399	86	13.7001
g111.t1	1800	1581.27	658	26.741
g112.t1	1146	927.269	1837	127.31
g113.t1	1821	1602.27	1	0.0401072
g114.t1	678	460.054	0	0
g115.t1	531	315.002	2	0.408014
g116.t1	1026	807.269	54	4.29866
g117.t1	1530	1311.27	257	12.595
g119.t1	3897	3678.27	79	1.3802
g123.t1	846	627.48	813.701	83.3342
g124.t1	969	750.269	114	9.76441
g125.t1	681	463.007	97	13.463
g126.t1	1473	1254.27	288	14.7557
g127.t1	612	394.559	131	21.3362
g128.t1	1665	1446.27	55	2.44383
g129.t1	1473	1254.27	1766	90.4811
g130.t1	1272	1053.27	696	42.4647
g131.t1	5982	5763.27	676	7.53765
g132.t1	3195	2976.27	630	13.6027
g134.t1	393	186.786	5	1.72022
g136.t1	2820	2601.27	1602	39.5763
g137.t1	684	466.007	28	3.86121
g138.t1	1824	1605.27	15	0.600484
g139.t1	486	272.188	0	0
g141.t1	2490	2271.27	376	10.6384
g144.t1	594	376.947	7	1.19337
g148.t1	2163	1944.27	102	3.37134
g149.t1	1239	1020.27	234	14.7387
g150.t1	513	297.678	7	1.51115
g155.t1	666	448.144	29	4.15852
g156.t1	696	478.007	107	14.3849
g157.t1	813	594.542	0	0
g158.t1	1473	1254.27	58	2.97163
g159.t1	7320	7101.27	4064	36.777
g162.t1	5631	5412.27	1132	13.4408
g164.t1	2895	2676.27	593	14.2391
g165.t1	1758	1539.27	178	7.43128
g166.t1	1902	1683.27	915	34.9322
g167.t1	513	297.678	42	9.06693
g169.t1	4161	3942.27	869	14.1655
g171.t1	384	178.895	280	100.581
g172.t1	1854	1635.27	324	12.7325
g174.t1	1656	1437.27	121	5.4101
g175.t1	405	197.144	730	237.957
g176.t1	2262	2043.27	23	0.72337
g177.t1	1011	792.269	1.00304	0.0813585
g178.t1	1011	792.269	7	0.567784
g179.t1	2424	2205.27	1028	29.9564
g180.t1	1770	1551.27	455	18.8487
g181.t1	1557	1338.27	484.796	23.2795
g183.t1	852	633.48	615	62.3879
g184.t1	1953	1734.27	369	13.6731
g185.t1	1257	1038.27	0	0
