target_id	length	eff_length	est_counts	tpm
g1.t1	945	738.404	12	1.07111
g2.t1	759	552.476	30	3.57894
g3.t1	597	390.986	63	10.62
g4.t1	1695	1488.4	244	10.8048
g5.t1	4182	3975.4	134	2.22162
g6.t1	1749	1542.4	52	2.22204
g7.t1	1863	1656.4	36	1.43246
g10.t1	732	525.476	0	0
g11.t1	1302	1095.4	21	1.26355
g12.t1	777	570.476	38	4.39028
g13.t1	1758	1551.4	32	1.35947
g15.t1	1350	1143.4	5120	295.132
g16.t1	963	756.404	596.217	51.9514
g17.t1	1830	1623.4	34	1.38038
g18.t1	429	228.366	80	23.0889
g19.t1	1395	1188.4	88	4.8805
g20.t1	3411	3204.4	151	3.10582
g21.t1	579	373.178	2	0.353232
g22.t1	450	247.962	0	0
g23.t1	465	262.059	18	4.52709
g25.t1	1650	1443.4	103	4.70322
g27.t1	420	219.985	0	0
g28.t1	225	65.0627	109	110.418
g29.t1	1092	885.404	9181	683.431
g30.t1	2463	2256.4	262	7.65298
g32.t1	1362	1155.4	4	0.228177
g33.t1	2235	2028.4	203	6.59611
g36.t1	1251	1044.4	0	0
g38.t1	2406	2199.4	0	0
g39.t1	1992	1785.4	16	0.590649
g40.t1	2148	1941.4	255	8.65706
g42.t1	750	543.476	25	3.03184
g43.t1	486	282.13	22	5.13948
g44.t1	1815	1608.4	61	2.49966
g48.t1	1656	1449.4	57	2.59198
g50.t1	597	390.986	0	0
g52.t1	645	438.704	261	39.2116
g53.t1	777	570.476	8	0.92427
g54.t1	1548	1341.4	1	0.0491345
g55.t1	843	636.476	67	6.93808
g56.t1	1257	1050.4	61	3.82754
g62.t1	1047	840.404	3	0.235277
g69.t1	594	388.064	0	0
g70.t1	438	236.703	0	0
g75.t1	786	579.476	0	0
g79.t1	411	211.735	6	1.86769
g81.t1	294	111.795	0	0
g84.t1	1224	1017.4	0	0
g85.t1	939	732.404	1	0.0899902
g89.t1	1050	843.404	2	0.156293
g92.t1	783	576.476	3	0.342994
g95.t1	735	528.476	0	0
g96.t1	1515	1308.4	160	8.0598
g97.t1	2211	2004.4	47	1.54546
g98.t1	327	137.86	67	32.0318
g100.t1	726	519.476	1	0.126876
g105.t1	1590	1383.4	0	0
g106.t1	1890	1683.4	116	4.54167
g108.t1	621	414.746	8	1.27132
g111.t1	1800	1593.4	5	0.206819
g112.t1	1146	939.404	962	67.4945
g113.t1	1821	1614.4	0	0
g114.t1	678	471.476	0	0
g115.t1	531	325.87	9	1.8203
g116.t1	1026	819.404	1	0.0804355
g117.t1	1530	1323.4	116	5.77712
g119.t1	3897	3690.4	282	5.03641
g123.t1	846	639.476	156.567	16.137
g124.t1	969	762.404	4	0.345797
g125.t1	681	474.476	80	11.1128
g126.t1	1473	1266.4	201	10.4609
g127.t1	612	405.787	55	8.93328
g128.t1	1665	1458.4	4	0.180771
g129.t1	1473	1266.4	32	1.66542
g130.t1	1272	1065.4	527	32.6019
g131.t1	5982	5775.4	161	1.83734
g132.t1	3195	2988.4	422	9.3072
g134.t1	393	195.117	0	0
g136.t1	2820	2613.4	2	0.0504394
g137.t1	684	477.476	1	0.138037
g138.t1	1824	1617.4	0	0
g139.t1	486	282.13	0	0
g141.t1	2490	2283.4	0	0
g144.t1	594	388.064	0	0
g148.t1	2163	1956.4	2	0.0673779
g149.t1	1239	1032.4	0	0
g150.t1	513	308.19	0	0
g155.t1	666	459.569	0	0
g156.t1	696	489.476	0	0
g157.t1	813	606.476	0	0
g158.t1	1473	1266.4	189	9.83639
g159.t1	7320	7113.4	64	0.592992
g162.t1	5631	5424.4	14	0.170107
g164.t1	2895	2688.4	57	1.39742
g165.t1	1758	1551.4	21	0.892155
g166.t1	1902	1695.4	794	30.8669
g167.t1	513	308.19	0	0
g169.t1	4161	3954.4	101	1.6834
g171.t1	384	186.867	93	32.8017
g172.t1	1854	1647.4	30	1.20024
g174.t1	1656	1449.4	58	2.63745
g175.t1	405	206.186	175	55.9404
g176.t1	2262	2055.4	5	0.160332
g177.t1	1011	804.404	1.00637	0.0824573
g178.t1	1011	804.404	0	0
g179.t1	2424	2217.4	2	0.0594472
g180.t1	1770	1563.4	160	6.7452
g181.t1	1557	1350.4	0	0
g183.t1	852	645.476	672	68.6176
g184.t1	1953	1746.4	339	12.7938
g185.t1	1257	1050.4	1	0.0627465
g186.t1	5715	5508.4	30	0.358956
g187.t1	1644	1437.4	3	0.137559
g188.t1	2079	1872.4	951	33.4755
g189.t1	1467	1260.4	19150.2	1001.4
g190.t1	3507	3300.4	29270.8	584.539
g191.t1	1323	1116.4	383	22.6112
g193.t1	390	192.397	2	0.685136
g196.t1	1011	804.404	4	0.327742
g197.t1	336	145.342	8	3.62782
g199.t1	567	361.325	32	5.83711
g200.t1	1251	1044.4	62	3.91263
g201.t1	1404	1197.4	0	0
g202.t1	2133	1926.4	19	0.650058
g203.t1	1365	1158.4	18	1.02414
g204.t1	7209	7002.4	626	5.89214
g205.t1	1290	1083.4	36	2.19007
g206.t1	1467	1260.4	3	0.156876
g208.t1	4614	4407.4	17	0.254221
g211.t1	714	507.476	3	0.38963
g213.t1	852	645.476	43	4.39071
g216.t1	576	370.215	0	0
g217.t1	222	63.1273	542.646	566.559
g222.t1	3093	2886.4	57	1.30156
g223.t1	3201	2994.4	34	0.748367
g225.t1	1677	1470.4	0	0
g226.t1	402	203.481	6	1.94345
g227.t1	2058	1851.4	118	4.20075
g228.t1	3093	2886.4	98	2.23777
g229.t1	1812	1605.4	38	1.56007
g230.t1	1497	1290.4	10	0.510764
g231.t1	891	684.476	222	21.3767
g232.t1	477	273.466	3	0.723041
g233.t1	3396	3189.4	175	3.61638
g234.t1	1347	1140.4	0	0
g235.t1	846	639.476	0	0
g237.t1	4554	4347.4	34	0.51546
g241.t1	1632	1425.4	17388	804.003
g243.t1	1305	1098.4	41	2.46019
g244.t1	1056	849.404	0	0
g245.t1	825	618.476	27	2.87731
g246.t1	2901	2694.4	605	14.7992
g248.t1	1107	900.404	0	0
g252.t1	3654	3447.4	211	4.034
g253.t1	429	228.366	0	0
g254.t1	804	597.476	1	0.110313
g255.t1	2526	2319.4	582	16.5384
g256.t1	1017	810.404	39.6043	3.22097
g258.t1	363	168.191	1	0.39187
g259.t1	1971	1764.4	43	1.60626
g260.t1	2268	2061.4	2	0.0639459
g261.t1	999	792.404	12	0.998115
g262.t1	6501	6294.4	188	1.96856
g263.t1	900	693.476	0	0
g264.t1	1239	1032.4	0	0
g265.t1	2889	2682.4	0	0
g266.t1	2829	2622.4	0	0
g267.t1	2067	1860.4	0	0
g269.t1	657	450.614	1	0.146265
g270.t1	309	123.511	0	0
g271.t1	1494	1287.4	4865	249.066
g272.t1	588	382.064	43	7.41785
g273.t1	717	510.476	3	0.38734
g274.t1	1206	999.404	81	5.34183
g275.t1	351	157.914	176	73.4576
g276.t1	1968	1761.4	38	1.42191
g277.t1	354	160.476	11	4.5178
g278.t1	3267	3060.4	36	0.7753
g279.t1	1401	1194.4	86	4.74562
g280.t1	3195	2988.4	53	1.16891
g282.t1	1140	933.404	1	0.0706117
g283.t1	1245	1038.4	0	0
g285.t1	915	708.476	4	0.372118
g286.t1	2898	2691.4	18	0.440798
g287.t1	2352	2145.4	0	0
g288.t1	4266	4059.4	81	1.31513
g290.t1	1266	1059.4	0	0
g291.t1	696	489.476	26	3.50097
g292.t1	3837	3630.4	83	1.50685
g294.t1	426	225.598	2	0.584307
g296.t1	2607	2400.4	15	0.411863
g298.t1	1233	1026.4	14.9086	0.957338
g300.t1	3099	2892.4	10	0.22787
g301.t1	357	163.152	0	0
g302.t1	1308	1101.4	0	0
g303.t1	2235	2028.4	33	1.07227
g304.t1	720	513.476	6	0.770154
g306.t1	6183	5976.4	155	1.70938
g307.t1	1968	1761.4	168	6.28632
g308.t1	1809	1602.4	50	2.05657
g309.t1	2043	1836.4	69	2.47643
g310.t1	825	618.476	17	1.81164
g311.t1	489	285.045	31	7.16795
g312.t1	1884	1677.4	1623	63.7715
g313.t1	1455	1248.4	100	5.27948
g314.t1	2760	2553.4	32	0.825993
g316.t1	1128	921.404	18	1.28756
g317.t1	3672	3465.4	747	14.2073
g319.t1	231	68.6395	3	2.88067
g320.t1	1746	1539.4	1	0.0428148
g321.t1	4086	3879.4	5	0.0849476
