target_id	length	eff_length	est_counts	tpm
g1.t1	945	739.129	30	2.33826
g2.t1	759	553.439	49	5.10056
g3.t1	597	392.168	60	8.81395
g4.t1	1695	1489.13	280	10.8322
g5.t1	4182	3976.13	27	0.391197
g6.t1	1749	1543.13	93	3.47194
g7.t1	1863	1657.13	109	3.78933
g10.t1	732	526.546	0	0
g11.t1	1302	1096.13	12	0.630683
g12.t1	777	571.439	49	4.9399
g13.t1	1758	1552.13	73	2.70949
g15.t1	1350	1144.13	4927	248.084
g16.t1	963	757.129	511.301	38.9044
g17.t1	1830	1624.13	90	3.19237
g18.t1	429	230.578	131	32.73
g19.t1	1395	1189.13	116	5.6198
g20.t1	3411	3205.13	201	3.61279
g21.t1	579	374.552	0	0
g22.t1	450	250.132	0	0
g23.t1	465	264.198	30	6.54159
g25.t1	1650	1444.13	155	6.18326
g27.t1	420	222.226	0	0
g28.t1	225	66.2946	130	112.968
g29.t1	1092	886.129	6400	416.078
g30.t1	2463	2257.13	345	8.80551
g32.t1	1362	1156.13	4.14236	0.206411
g33.t1	2235	2029.13	93	2.64037
g36.t1	1251	1045.13	0	0
g38.t1	2406	2200.13	1	0.0261845
g39.t1	1992	1786.13	15	0.483805
g40.t1	2148	1942.13	313	9.28449
g42.t1	750	544.439	36	3.8093
g43.t1	486	284.15	55	11.1508
g44.t1	1815	1609.13	58	2.07649
g48.t1	1656	1450.13	36	1.43017
g50.t1	597	392.168	2	0.293798
g52.t1	645	439.838	543	71.1212
g53.t1	777	571.439	47	4.73827
g54.t1	1548	1342.13	1	0.0429237
g55.t1	843	637.196	55	4.97258
g56.t1	1257	1051.13	81	4.43937
g62.t1	1047	841.129	1	0.0684903
g69.t1	594	389.286	0	0
g70.t1	438	238.93	0	0
g75.t1	786	580.439	5	0.496255
g79.t1	411	214.008	1	0.269192
g81.t1	294	113.998	0	0
g84.t1	1224	1018.13	1	0.0565834
g85.t1	939	733.129	8	0.628639
g89.t1	1050	844.129	22	1.50143
g92.t1	783	577.439	13	1.29697
g95.t1	735	529.546	0	0
g96.t1	1515	1309.13	206	9.06518
g97.t1	2211	2005.13	40	1.14924
g98.t1	327	140.298	104	42.7044
g100.t1	726	520.546	9	0.996036
g105.t1	1590	1384.13	0	0
g106.t1	1890	1684.13	106	3.62595
g108.t1	621	415.966	10	1.38495
g111.t1	1800	1594.13	0	0
g112.t1	1146	940.129	907	55.5791
g113.t1	1821	1615.13	12	0.428022
g114.t1	678	472.793	2	0.243697
g115.t1	531	327.562	24	4.22095
g116.t1	1026	820.129	1	0.0702441
g117.t1	1530	1324.13	281	12.2255
g119.t1	3897	3691.13	774	12.0802
g123.t1	846	640.196	221.684	19.9487
g124.t1	969	763.129	4	0.301963
g125.t1	681	475.746	179	21.6755
g126.t1	1473	1267.13	170	7.72894
g127.t1	612	407.008	24	3.39704
g128.t1	1665	1459.13	3	0.118446
g129.t1	1473	1267.13	86	3.90993
g130.t1	1272	1066.13	644	34.7991
g131.t1	5982	5776.13	167	1.6656
g132.t1	3195	2989.13	554	10.6772
g134.t1	393	197.528	0	0
g136.t1	2820	2614.13	1	0.0220376
g137.t1	684	478.746	0	0
g138.t1	1824	1618.13	0	0
g139.t1	486	284.15	0	0
g141.t1	2490	2284.13	1	0.0252215
g144.t1	594	389.286	0	0
g148.t1	2163	1957.13	8	0.235485
g149.t1	1239	1033.13	1	0.0557619
g150.t1	513	310.014	0	0
g155.t1	666	460.793	0	0
g156.t1	696	490.697	7	0.821819
g157.t1	813	607.322	3	0.284573
g158.t1	1473	1267.13	370	16.8218
g159.t1	7320	7114.13	141	1.1418
g162.t1	5631	5425.13	27	0.286712
g164.t1	2895	2689.13	129	2.76357
g165.t1	1758	1552.13	42	1.55888
g166.t1	1902	1696.13	962	32.6744
g167.t1	513	310.014	0	0
g169.t1	4161	3955.13	130	1.89354
g171.t1	384	189.454	182	55.3425
g172.t1	1854	1648.13	65	2.27203
g174.t1	1656	1450.13	87	3.45624
g175.t1	405	208.335	192	53.0923
g176.t1	2262	2056.13	2	0.0560366
g177.t1	1011	805.129	0	0
g178.t1	1011	805.129	3	0.214658
g179.t1	2424	2218.13	0	0
g180.t1	1770	1564.13	314	11.5651
g181.t1	1557	1351.13	7.75472	0.330644
g183.t1	852	646.196	1261	112.42
g184.t1	1953	1747.13	655	21.5977
g185.t1	1257	1051.13	0	0
g186.t1	5715	5509.13	60	0.627423
g187.t1	1644	1438.13	15	0.600877
g188.t1	2079	1873.13	1013	31.1554
g189.t1	1467	1261.13	3273.45	149.533
g190.t1	3507	3301.13	14323.6	249.966
g191.t1	1323	1117.13	3	0.154707
g193.t1	390	194.874	11	3.25185
g196.t1	1011	805.129	17	1.2164
g197.t1	336	147.778	0	0
g199.t1	567	362.662	36	5.71864
g200.t1	1251	1045.13	140	7.71703
g201.t1	1404	1198.13	0	0
g202.t1	2133	1927.13	18	0.538088
g203.t1	1365	1159.13	38	1.88862
g204.t1	7209	7003.13	1081	8.89253
g205.t1	1290	1084.13	66	3.50715
g206.t1	1467	1261.13	5	0.228403
g208.t1	4614	4408.13	20	0.261377
g211.t1	714	508.598	2	0.226541
g213.t1	852	646.196	69	6.15144
g216.t1	576	371.552	4	0.620202
g217.t1	222	64.6207	139.306	124.191
g222.t1	3093	2887.13	91	1.8158
g223.t1	3201	2995.13	44	0.846309
g225.t1	1677	1471.13	0	0
g226.t1	402	205.57	18	5.04436
g227.t1	2058	1852.13	338	10.5133
g228.t1	3093	2887.13	92	1.83575
g229.t1	1812	1606.13	100	3.58684
g230.t1	1497	1291.13	24	1.07086
g231.t1	891	685.129	345	29.0094
g232.t1	477	275.487	1	0.209118
g233.t1	3396	3190.13	201	3.62978
g234.t1	1347	1141.13	0	0
g235.t1	846	640.196	1	0.0899868
g237.t1	4554	4348.13	71	0.940693
g241.t1	1632	1426.13	18446	745.136
g243.t1	1305	1099.13	51	2.67309
g244.t1	1056	850.129	6	0.406591
g245.t1	825	619.322	26	2.41851
g246.t1	2901	2695.13	895	19.1309
g248.t1	1107	901.129	1	0.06393
g252.t1	3654	3448.13	463	7.73552
g253.t1	429	230.578	0	0
g254.t1	804	598.322	12	1.15542
g255.t1	2526	2320.13	557	13.8304
g256.t1	1017	811.129	42.5301	3.02064
g258.t1	363	170.784	1	0.337322
g259.t1	1971	1765.13	146	4.76506
g260.t1	2268	2062.13	1	0.0279368
g261.t1	999	793.129	44	3.19596
g262.t1	6501	6295.13	346	3.16638
g263.t1	900	694.129	0	0
g264.t1	1239	1033.13	0	0
g265.t1	2889	2683.13	0	0
g266.t1	2829	2623.13	0	0
g267.t1	2067	1861.13	7	0.216677
g269.t1	657	451.793	7	0.892586
g270.t1	309	125.797	1	0.457954
g271.t1	1494	1288.13	8947	400.138
g272.t1	588	383.363	71	10.6694
g273.t1	717	511.598	5	0.563032
g274.t1	1206	1000.13	122	7.02742
g275.t1	351	160.204	192	69.0431
g276.t1	1968	1762.13	58	1.89619
g277.t1	354	162.844	22	7.78294
g278.t1	3267	3061.13	96	1.80668
g279.t1	1401	1195.13	185	8.91762
g280.t1	3195	2989.13	62	1.19492
g282.t1	1140	934.129	6	0.370029
g283.t1	1245	1039.13	0	0
g285.t1	915	709.129	12	0.974872
g286.t1	2898	2692.13	9	0.192592
g287.t1	2352	2146.13	0	0
g288.t1	4266	4060.13	134	1.90133
g290.t1	1266	1060.13	0	0
g291.t1	696	490.697	254	29.8203
g292.t1	3837	3631.13	133	2.11009
g294.t1	426	227.788	4	1.01163
g296.t1	2607	2401.13	11	0.263918
g298.t1	1233	1027.13	43.1343	2.4193
g300.t1	3099	2893.13	46	0.915971
g301.t1	357	165.478	82	28.5473
g302.t1	1308	1102.13	0	0
g303.t1	2235	2029.13	81	2.29968
g304.t1	720	514.546	7	0.783728
g306.t1	6183	5977.13	292	2.81438
g307.t1	1968	1762.13	199	6.5059
g308.t1	1809	1603.13	41	1.47335
g309.t1	2043	1837.13	54	1.69335
g310.t1	825	619.322	18	1.67436
g311.t1	489	287.034	54	10.8381
g312.t1	1884	1678.13	2426	83.2832
g313.t1	1455	1249.13	187	8.62435
g314.t1	2760	2554.13	32	0.72177
g316.t1	1128	922.129	23	1.4369
g317.t1	3672	3466.13	768	12.7646
g319.t1	231	69.9978	2	1.64603
g320.t1	1746	1540.13	0	0
g321.t1	4086	3880.13	11	0.16332
g322.t1	300	118.452	0	0
g323.t1	483	281.207	6	1.22919
g324.t1	396	200.302	2	0.575224
g325.t1	10704	10498.1	75	0.411568
g327.t1	813	607.322	0	0
g328.t1	906	700.129	0	0
g329.t1	459	258.357	0	0
g330.t1	2208	2002.13	521	14.9912
g331.t1	744	538.493	63	6.73988
g332.t1	771	565.439	366	37.2895
g336.t1	777	571.439	57	5.74641
g337.t1	1089	883.129	0	0
g338.t1	483	281.207	23	4.71188
g340.t1	2133	1927.13	3601	107.648
g341.t1	3099	2893.13	148	2.94704
g342.t1	1071	865.129	91	6.05972
g343.t1	1494	1288.13	64	2.86228
g344.t1	1515	1309.13	61	2.68435
g345.t1	1302	1096.13	0	0
g346.t1	1104	898.129	0	0
g347.t1	1665	1459.13	1	0.0394819
g348.t1	426	227.788	1448	366.209
g349.t1	2370	2164.13	0	0
g350.t1	1740	1534.13	2	0.0751035
g351.t1	3426	3220.13	0	0
g353.t1	1386	1180.13	1	0.048816
g354.t1	1137	931.129	195	12.0647
g355.t1	693	487.697	4	0.4725
g356.t1	987	781.129	124	9.14515
g357.t1	672	466.793	0	0
g358.t1	1422	1216.13	230	10.8953
g359.t1	1350	1144.13	215	10.8257
g361.t1	849	643.196	13	1.16437
g362.t1	1956	1750.13	32	1.05335
g363.t1	1377	1171.13	73	3.59096
g364.t1	4887	4681.13	16	0.196907
g365.t1	1863	1657.13	2803	97.4448
g366.t1	5619	5413.13	230	2.44777
g367.t1	405	208.335	0	0
g368.t1	840	634.196	33.4154	3.03539
g369.t1	828	622.322	1	0.0925714
g370.t1	1278	1072.13	0	0
g371.t1	2595	2389.13	0	0
g372.t1	1032	826.129	0	0
g373.t1	2442	2236.13	2	0.0515258
g374.t1	2838	2632.13	34	0.744155
g375.t1	2430	2224.13	113	2.92692
g376.t1	948	742.129	1	0.0776269
g377.t1	3183	2977.13	74	1.43194
g379.t1	1638	1432.13	8	0.32181
g380.t1	4455	4249.13	60	0.813473
g381.t1	3519	3313.13	1	0.0173882
g382.t1	495	292.713	2553	502.459
g383.t1	339	150.184	82	31.4545
g384.t1	5466	5260.13	3	0.0328562
g385.t1	5223	5017.13	38	0.436335
g386.t1	1086	880.129	1	0.0654554
g387.t1	3387	3181.13	43	0.778716
g388.t1	1506	1300.13	1	0.0443104
g389.t1	3006	2800.13	6	0.123443
g390.t1	1875	1669.13	650	22.4344
g391.t1	1248	1042.13	10	0.552803
g392.t1	1791	1585.13	43	1.56277
g393.t1	774	568.439	25	2.53366
g394.t1	888	682.129	1	0.084455
g395.t1	705	499.598	4	0.461245
g396.t1	3195	2989.13	5	0.0963645
g397.t1	300	118.452	0	0
g398.t1	237	73.803	88	68.6912
g399.t1	1176	970.129	3	0.178149
g400.t1	1098	892.129	2	0.12915
g401.t1	1743	1537.13	2	0.0749569
g402.t1	3264	3058.13	21	0.395599
g403.t1	2316	2110.13	26	0.709833
g404.t1	1557	1351.13	252	10.7447
g405.t1	2496	2290.13	575	14.4644
g406.t1	714	508.598	41	4.6441
g408.t1	1758	1552.13	5	0.185581
g409.t1	1245	1039.13	126	6.98543
g410.t1	1467	1261.13	0	0
g411.t1	1410	1204.13	159	7.60704
g412.t1	2628	2422.13	0	0
g413.t1	846	640.196	0	0
g414.t1	912	706.129	0	0
g415.t1	2016	1810.13	1	0.031826
g416.t1	4839	4633.13	9	0.111908
g417.t1	1731	1525.13	39	1.47316
g418.t1	3339	3133.13	393	7.22614
g419.t1	2637	2431.13	0	0
g420.t1	1410	1204.13	16	0.765489
g421.t1	2187	1981.13	0	0
g422.t1	534	330.496	63	10.9816
g423.t1	2511	2305.13	250	6.24794
g424.t1	2094	1888.13	49	1.49505
g426.t1	2730	2524.13	96	2.19105
g427.t1	1533	1327.13	95	4.12385
g428.t1	2829	2623.13	41	0.900443
g429.t1	939	733.129	290	22.7882
g431.t1	1098	892.129	0	0
g432.t1	2226	2020.13	0	0
g434.t1	954	748.129	0	0
g435.t1	1356	1150.13	0	0
g436.t1	1338	1132.13	30.0057	1.52686
g437.t1	1314	1108.13	286	14.8685
g438.t1	1338	1132.13	5202.99	264.758
g439.t1	2139	1933.13	935	27.8639
g440.t1	417	219.408	5	1.31284
g441.t1	3075	2869.13	17	0.341343
g442.t1	489	287.034	3	0.602115
g443.t1	2943	2737.13	431	9.07139
