target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2348.13	184.929	2.5988
ENSXMAT00000000002	3108	2945.13	1806	20.235
ENSXMAT00000000006	7272	7109.13	2336	10.8429
ENSXMAT00000000004	5150	4987.13	143.071	0.946651
ENSXMAT00000000005	1251	1088.13	51	1.5466
ENSXMAT00000000007	348	192.98	107	18.2962
ENSXMAT00000000009	3432	3269.13	332	3.35116
ENSXMAT00000000008	336	182.025	899	162.974
ENSXMAT00000000010	1533	1370.13	135.12	3.25424
ENSXMAT00000000011	3366	3203.13	353	3.63655
ENSXMAT00000000012	9969	9806.13	15089.9	50.7782
ENSXMAT00000000013	975	812.128	144	5.85096
ENSXMAT00000000014	3772	3609.13	2778	25.3991
ENSXMAT00000000017	4496	4333.13	317.215	2.41569
ENSXMAT00000000015	987	824.128	293	11.7317
ENSXMAT00000000016	1472	1309.13	10	0.252062
ENSXMAT00000000018	1947	1784.13	215	3.9765
ENSXMAT00000000019	2277	2114.13	1442	22.5073
ENSXMAT00000000020	848	685.198	3	0.144475
ENSXMAT00000000021	6069	5906.13	119	0.664864
ENSXMAT00000000022	3435	3272.13	3674	37.0508
ENSXMAT00000000023	726	563.388	885	51.8352
ENSXMAT00000000024	1635	1472.13	2390	53.5724
ENSXMAT00000000025	4570	4407.13	1263.46	9.4601
ENSXMAT00000000026	4160	3997.13	1324.54	10.9347
ENSXMAT00000000027	2559	2396.13	651	8.9652
ENSXMAT00000000028	773	610.327	460	24.8705
ENSXMAT00000000029	1148	985.128	339	11.3552
ENSXMAT00000000030	2729	2566.13	1303	16.7554
ENSXMAT00000000031	2611	2448.13	16	0.215663
ENSXMAT00000000032	2055	1892.13	67	1.16846
ENSXMAT00000000033	1413	1250.13	462	12.1949
ENSXMAT00000000034	6015	5852.13	191	1.07698
ENSXMAT00000000035	1636	1473.13	3127	70.0449
ENSXMAT00000000036	621	458.812	2	0.143841
ENSXMAT00000000037	3883	3720.13	145	1.28617
ENSXMAT00000000038	1008	845.128	108	4.21687
ENSXMAT00000000039	1918	1755.13	19279	362.464
ENSXMAT00000000040	978	815.128	0	0
ENSXMAT00000000041	2388	2225.13	3300	48.9382
ENSXMAT00000000042	4069	3906.13	337.664	2.85251
ENSXMAT00000000043	3803	3640.13	72.3362	0.655735
ENSXMAT00000000044	2503	2340.13	554	7.81194
ENSXMAT00000000045	3957	3794.13	777	6.75768
ENSXMAT00000000046	801	638.327	53	2.73981
ENSXMAT00000000047	1814	1651.13	10	0.199852
ENSXMAT00000000048	4501	4338.13	84	0.638948
ENSXMAT00000000049	2517	2354.13	117.794	1.65113
ENSXMAT00000000050	1982	1819.13	29	0.526046
ENSXMAT00000000051	3813	3650.13	423.299	3.82673
ENSXMAT00000000053	6759	6596.13	3339	16.7038
ENSXMAT00000000054	2992	2829.13	364	4.24559
ENSXMAT00000000058	5618	5455.13	106	0.641194
ENSXMAT00000000059	4949	4786.13	98	0.675664
ENSXMAT00000000061	879	716.128	458	21.104
ENSXMAT00000000083	882	719.128	54	2.47786
ENSXMAT00000000067	3968	3805.13	922	7.99559
ENSXMAT00000000060	993	830.128	0	0
ENSXMAT00000000126	2619	2456.13	5	0.067175
