target_id	length	eff_length	est_counts	tpm
g1.t1	945	742.813	26	1.54293
g2.t1	759	556.813	45	3.5625
g3.t1	597	395.322	89	9.92409
g4.t1	1695	1492.81	261	7.70703
g5.t1	4182	3979.81	133	1.47313
g6.t1	1749	1546.81	74	2.10885
g7.t1	1863	1660.81	75	1.99064
g10.t1	732	529.867	2	0.166385
g11.t1	1302	1099.81	49	1.96394
g12.t1	777	574.813	42	3.22088
g13.t1	1758	1555.81	99	2.80498
g15.t1	1350	1147.81	4701	180.539
g16.t1	963	760.813	732.379	42.4336
g17.t1	1830	1627.81	23	0.622838
g18.t1	429	232.4	139	26.3652
g19.t1	1395	1192.81	126	4.6564
g20.t1	3411	3208.81	218	2.99477
g21.t1	579	377.438	0	0
g22.t1	450	252.195	1	0.17479
g23.t1	465	266.489	29	4.79701
g25.t1	1650	1447.81	111	3.37958
g27.t1	420	224.143	0	0
g28.t1	225	67.636	119	77.5569
g29.t1	1092	889.813	4201	208.116
g30.t1	2463	2260.81	175	3.41213
g32.t1	1362	1159.81	1.02639	0.0390099
g33.t1	2235	2032.81	431	9.34613
g36.t1	1251	1048.81	0	0
g38.t1	2406	2203.81	0	0
g39.t1	1992	1789.81	34	0.837381
g40.t1	2148	1945.81	319	7.22673
g42.t1	750	547.813	10	0.804674
g43.t1	486	286.569	36	5.53764
g44.t1	1815	1612.81	62	1.69457
g48.t1	1656	1453.81	44	1.33412
g50.t1	597	395.322	1	0.111507
g52.t1	645	443.199	402	39.9834
g53.t1	777	574.813	24	1.8405
g54.t1	1548	1345.81	0	0
g55.t1	843	640.813	59	4.05857
g56.t1	1257	1054.81	75	3.13428
g62.t1	1047	844.813	8	0.417428
g69.t1	594	392.322	0	0
g70.t1	438	240.894	0	0
g75.t1	786	583.813	0	0
g79.t1	411	215.66	4	0.817602
g81.t1	294	116.082	0	0
g84.t1	1224	1021.81	0	0
g85.t1	939	736.813	0	0
g89.t1	1050	847.813	9	0.467945
g92.t1	783	580.813	5	0.379477
g95.t1	735	532.867	2	0.165448
g96.t1	1515	1312.81	192	6.44689
g97.t1	2211	2008.81	57	1.2508
g98.t1	327	142.405	97	30.0261
g100.t1	726	523.867	3	0.252436
g105.t1	1590	1387.81	0	0
g106.t1	1890	1687.81	124	3.23854
g108.t1	621	419.243	10	1.05144
g111.t1	1800	1597.81	0	0
g112.t1	1146	943.813	965	45.0706
g113.t1	1821	1618.81	0	0
g114.t1	678	476.062	3	0.277786
g115.t1	531	330.286	16	2.13541
g116.t1	1026	823.813	2	0.107017
g117.t1	1530	1327.81	203	6.73924
g119.t1	3897	3694.81	575	6.86005
g123.t1	846	643.813	218.775	14.9792
g124.t1	969	766.813	4	0.229944
g125.t1	681	479.014	179	16.4724
g126.t1	1473	1270.81	275	9.53901
g127.t1	612	410.243	83	8.91844
g128.t1	1665	1462.81	5	0.150672
g129.t1	1473	1270.81	48	1.66499
g130.t1	1272	1069.81	635	26.1648
g131.t1	5982	5779.81	102	0.777926
g132.t1	3195	2992.81	696	10.2514
g134.t1	393	199.238	0	0
g136.t1	2820	2617.81	1	0.0168389
g137.t1	684	481.918	1	0.09147
g138.t1	1824	1621.81	0	0
g139.t1	486	286.569	0	0
g141.t1	2490	2287.81	6	0.115607
g144.t1	594	392.322	0	0
g148.t1	2163	1960.81	0	0
g149.t1	1239	1036.81	0	0
g150.t1	513	312.607	0	0
g155.t1	666	464.109	0	0
g156.t1	696	493.918	1	0.0892477
g157.t1	813	610.813	1	0.0721679
g158.t1	1473	1270.81	324	11.2387
g159.t1	7320	7117.81	46	0.284881
g162.t1	5631	5428.81	22	0.178636
g164.t1	2895	2692.81	125	2.04624
g165.t1	1758	1555.81	23	0.651662
g166.t1	1902	1699.81	1021	26.4775
g167.t1	513	312.607	0	0
g169.t1	4161	3958.81	96	1.06895
g171.t1	384	191.245	121	27.8899
g172.t1	1854	1651.81	31	0.827281
g174.t1	1656	1453.81	71	2.15279
g175.t1	405	210.228	279	58.5014
g176.t1	2262	2059.81	10	0.214005
g177.t1	1011	808.813	0	0
g178.t1	1011	808.813	2	0.109002
g179.t1	2424	2221.81	2	0.0396803
g180.t1	1770	1567.81	180	5.06093
g181.t1	1557	1354.81	1.94378	0.063244
g183.t1	852	649.813	900	61.0529
g184.t1	1953	1750.81	376	9.46673
g185.t1	1257	1054.81	0	0
g186.t1	5715	5512.81	60	0.479767
g187.t1	1644	1441.81	21	0.64204
g188.t1	2079	1876.81	374	8.78421
g189.t1	1467	1264.81	8901.82	310.245
g190.t1	3507	3304.81	14957.2	199.505
g191.t1	1323	1120.81	435	17.1084
g193.t1	390	196.544	4	0.897122
g196.t1	1011	808.813	4	0.218004
g197.t1	336	149.776	6	1.76588
g199.t1	567	365.771	38	4.57958
g200.t1	1251	1048.81	78	3.2783
g201.t1	1404	1201.81	1	0.0366788
g202.t1	2133	1930.81	22	0.502267
g203.t1	1365	1162.81	23	0.871907
