target_id	length	eff_length	est_counts	tpm
g1.t1	945	749.87	25	1.80161
g2.t1	759	563.989	63	6.03639
g3.t1	597	402.792	87	11.672
g4.t1	1695	1499.87	253	9.11537
g5.t1	4182	3986.87	23	0.311748
g6.t1	1749	1553.87	139	4.83401
g7.t1	1863	1667.87	77	2.4948
g10.t1	732	536.989	1	0.100633
g11.t1	1302	1106.87	25	1.22054
g12.t1	777	581.989	62	5.75685
g13.t1	1758	1562.87	80	2.76614
g15.t1	1350	1154.87	3076	143.933
g16.t1	963	767.87	590.68	41.5692
g17.t1	1830	1634.87	82	2.71043
g18.t1	429	242.084	284	63.3957
g19.t1	1395	1199.87	128	5.76478
g20.t1	3411	3215.87	251	4.21777
g21.t1	579	385.226	0	0
g22.t1	450	261.156	1	0.206922
g23.t1	465	275.309	19	3.72942
g25.t1	1650	1454.87	151	5.60867
g27.t1	420	233.718	1	0.231215
g28.t1	225	77.2825	125	87.405
g29.t1	1092	896.87	11675	703.452
g30.t1	2463	2267.87	269	6.40976
g32.t1	1362	1166.87	3.04566	0.141048
g33.t1	2235	2039.87	145	3.84125
g36.t1	1251	1055.87	2	0.102359
g38.t1	2406	2210.87	0	0
g39.t1	1992	1796.87	27	0.811997
g40.t1	2148	1952.87	362	10.0171
g42.t1	750	554.989	31	3.01846
g43.t1	486	295.068	66	12.0873
g44.t1	1815	1619.87	72	2.40193
g48.t1	1656	1460.87	36	1.33168
g50.t1	597	402.792	0	0
g52.t1	645	450.335	482	57.8387
g53.t1	777	581.989	47	4.36406
g54.t1	1548	1352.87	3	0.119832
g55.t1	843	647.87	49	4.0871
g56.t1	1257	1061.87	90	4.58014
g62.t1	1047	851.87	2	0.126871
g69.t1	594	399.913	0	0
g70.t1	438	250.329	0	0
g75.t1	786	590.93	2	0.182895
g79.t1	411	225.334	0	0
g81.t1	294	126.04	0	0
g84.t1	1224	1028.87	0	0
g85.t1	939	743.87	1	0.0726457
g89.t1	1050	854.87	16	1.01141
g92.t1	783	587.93	20	1.83828
g95.t1	735	539.989	0	0
g96.t1	1515	1319.87	162	6.63271
g97.t1	2211	2015.87	54	1.44757
g98.t1	327	151.768	117	41.6593
g100.t1	726	530.989	0	0
g105.t1	1590	1394.87	0	0
g106.t1	1890	1694.87	88	2.80578
g108.t1	621	426.378	6	0.760438
g111.t1	1800	1604.87	0	0
g112.t1	1146	950.87	755	42.9075
g113.t1	1821	1625.87	2	0.066474
g114.t1	678	483.242	7	0.782782
g115.t1	531	338.293	24	3.83377
g116.t1	1026	830.87	0	0
g117.t1	1530	1334.87	420	17.0027
g119.t1	3897	3701.87	378	5.51795
g123.t1	846	650.87	240.124	19.9365
g124.t1	969	773.87	5	0.349148
g125.t1	681	486.193	197	21.896
g126.t1	1473	1277.87	197	8.3308
g127.t1	612	417.505	40	5.17733
g128.t1	1665	1469.87	3	0.110293
g129.t1	1473	1277.87	74	3.12934
g130.t1	1272	1076.87	787	39.4929
g131.t1	5982	5786.87	101	0.943159
g132.t1	3195	2999.87	593	10.6822
g134.t1	393	209.13	0	0
g136.t1	2820	2624.87	8	0.164698
g137.t1	684	489.193	1	0.110466
g138.t1	1824	1628.87	0	0
g139.t1	486	295.068	0	0
g141.t1	2490	2294.87	0	0
g144.t1	594	399.913	0	0
g148.t1	2163	1967.87	18	0.494292
g149.t1	1239	1043.87	0	0
g150.t1	513	320.957	0	0
g155.t1	666	471.242	0	0
g156.t1	696	501.144	2	0.215663
g157.t1	813	617.87	1	0.0874601
g158.t1	1473	1277.87	211	8.92284
g159.t1	7320	7124.87	85	0.644688
g162.t1	5631	5435.87	52	0.516942
g164.t1	2895	2699.87	148	2.96228
g165.t1	1758	1562.87	36	1.24476
g166.t1	1902	1706.87	909	28.7787
g167.t1	513	320.957	0	0
g169.t1	4161	3965.87	186	2.53444
g171.t1	384	200.981	159	42.7513
g172.t1	1854	1658.87	59	1.92197
g174.t1	1656	1460.87	98	3.62512
g175.t1	405	219.954	212	52.0848
g176.t1	2262	2066.87	8	0.209163
g177.t1	1011	815.87	0	0
g178.t1	1011	815.87	4	0.264939
g179.t1	2424	2228.87	1	0.024245
g180.t1	1770	1574.87	210	7.2058
g181.t1	1557	1361.87	1.60542	0.0637032
g183.t1	852	656.87	861	70.8322
g184.t1	1953	1757.87	537	16.508
g185.t1	1257	1061.87	0	0
g186.t1	5715	5519.87	70	0.685294
g187.t1	1644	1448.87	22	0.820542
g188.t1	2079	1883.87	1475	42.3105
g189.t1	1467	1271.87	4835.62	205.455
g190.t1	3507	3311.87	17189.4	280.475
g191.t1	1323	1127.87	12	0.574949
g193.t1	390	206.41	9	2.35623
g196.t1	1011	815.87	15	0.993522
g197.t1	336	159.482	6	2.03305
g199.t1	567	373.265	52	7.52825
g200.t1	1251	1055.87	128	6.55099
g201.t1	1404	1208.87	2	0.0894042
g202.t1	2133	1937.87	30	0.836573
g203.t1	1365	1169.87	40	1.84769
g204.t1	7209	7013.87	882	6.79545
g205.t1	1290	1094.87	64	3.15882
g206.t1	1467	1271.87	4	0.169951
g208.t1	4614	4418.87	40	0.489166
g211.t1	714	519.041	3	0.31234
g213.t1	852	656.87	63	5.18285
g216.t1	576	382.265	2	0.282731
g217.t1	222	75.4239	126.225	90.4364
g222.t1	3093	2897.87	71	1.324
g223.t1	3201	3005.87	54	0.970803
g225.t1	1677	1481.87	0	0
g226.t1	402	217.248	9	2.23869
g227.t1	2058	1862.87	417	12.0965
g228.t1	3093	2897.87	92	1.7156
g229.t1	1812	1616.87	56	1.87163
g230.t1	1497	1301.87	19	0.788666
g231.t1	891	695.87	348	27.0245
g232.t1	477	286.596	0	0
g233.t1	3396	3200.87	248	4.18689
g234.t1	1347	1151.87	0	0
g235.t1	846	650.87	0	0
g237.t1	4554	4358.87	53	0.657067
g241.t1	1632	1436.87	16427	617.8
g243.t1	1305	1109.87	86	4.1873
g244.t1	1056	860.87	2	0.125545
g245.t1	825	629.87	38	3.26017
g246.t1	2901	2705.87	1089	21.7485
g248.t1	1107	911.87	0	0
g252.t1	3654	3458.87	368	5.74938
g253.t1	429	242.084	0	0
g254.t1	804	608.87	3	0.266259
g255.t1	2526	2330.87	522	12.1021
g256.t1	1017	821.87	59.5034	3.91242
g258.t1	363	182.822	5	1.47792
g259.t1	1971	1775.87	89	2.70823
g260.t1	2268	2072.87	0	0
g261.t1	999	803.87	31	2.08393
g262.t1	6501	6305.87	357	3.05936
g263.t1	900	704.87	0	0
g264.t1	1239	1043.87	1	0.0517679
g265.t1	2889	2693.87	4	0.08024
g266.t1	2829	2633.87	0	0
