target_id	length	eff_length	est_counts	tpm
g1.t1	945	730.226	0	0
g2.t1	759	544.533	84	9.20779
g3.t1	597	383.907	544	84.5809
g4.t1	1695	1480.23	460	18.5494
g5.t1	4182	3967.23	80	1.20366
g6.t1	1749	1534.23	435	16.9239
g7.t1	1863	1648.23	298	10.7919
g10.t1	732	517.533	4	0.461341
g11.t1	1302	1087.23	75	4.11757
g12.t1	777	562.476	97	10.2936
g13.t1	1758	1543.23	383	14.8139
g15.t1	1350	1135.23	340	17.8771
g16.t1	963	748.226	22	1.75505
g17.t1	1830	1615.23	172	6.35616
g18.t1	429	223.913	857	228.455
g19.t1	1395	1180.23	230	11.6322
g20.t1	3411	3196.23	605	11.2984
g21.t1	579	366.322	13	2.11826
g22.t1	450	243.048	3	0.736765
g23.t1	465	256.946	158	36.7042
g25.t1	1650	1435.23	440	18.2992
g27.t1	420	215.457	8	2.2163
g28.t1	225	63.9727	216	201.539
g29.t1	1092	877.226	4199	285.716
g30.t1	2463	2248.23	667	17.7087
g32.t1	1362	1147.23	128.111	6.66557
g33.t1	2235	2020.23	218	6.44105
g36.t1	1251	1036.23	63	3.62899
g38.t1	2406	2191.23	425	11.5771
g39.t1	1992	1777.23	129	4.33258
g40.t1	2148	1933.23	593	18.3093
g42.t1	750	535.533	116	12.9292
g43.t1	486	276.889	103	22.204
g44.t1	1815	1600.23	253	9.43711
g48.t1	1656	1441.23	15	0.621239
g50.t1	597	383.907	54	8.3959
g52.t1	645	431.087	5	0.692317
g53.t1	777	562.476	110	11.6732
g54.t1	1548	1333.23	40	1.79084
g55.t1	843	628.36	278	26.408
g56.t1	1257	1042.23	490	28.063
g62.t1	1047	832.226	3	0.215169
g69.t1	594	381.022	0	0
g70.t1	438	232.073	1	0.257203
g75.t1	786	571.476	0	0
g79.t1	411	207.58	0	0
g81.t1	294	110.66	17	9.16976
g84.t1	1224	1009.23	15	0.887161
g85.t1	939	724.226	156	12.8573
g89.t1	1050	835.226	221	15.7938
g92.t1	783	568.476	213	22.3649
g95.t1	735	520.533	7	0.802694
g96.t1	1515	1300.23	362	16.6184
g97.t1	2211	1996.23	529	15.8178
g98.t1	327	135.845	1139	500.472
g100.t1	726	511.584	6	0.700058
g105.t1	1590	1375.23	150	6.51054
g106.t1	1890	1675.23	9	0.320678
g108.t1	621	407.466	102	14.942
g111.t1	1800	1585.23	402	15.1368
g112.t1	1146	931.226	1633	104.672
g113.t1	1821	1606.23	0	0
g114.t1	678	463.775	3	0.386112
g115.t1	531	319.689	2	0.373424
g116.t1	1026	811.226	41	3.01677
g117.t1	1530	1315.23	294	13.3428
g119.t1	3897	3682.23	85	1.37787
g123.t1	846	631.36	827.109	78.1961
g124.t1	969	754.226	93	7.36006
g125.t1	681	466.775	105	13.4271
g126.t1	1473	1258.23	261	12.3817
g127.t1	612	398.789	145	21.7032
g128.t1	1665	1450.23	50	2.05795
g129.t1	1473	1258.23	2217	105.174
g130.t1	1272	1057.23	798	45.0541
g131.t1	5982	5767.23	740	7.65887
g132.t1	3195	2980.23	842	16.8641
g134.t1	393	191.874	3	0.933266
g136.t1	2820	2605.23	1738	39.8203
g137.t1	684	469.728	25	3.17682
g138.t1	1824	1609.23	17	0.630568
g139.t1	486	276.889	0	0
g141.t1	2490	2275.23	405	10.625
g144.t1	594	381.022	16	2.50651
g148.t1	2163	1948.23	106	3.24763
g149.t1	1239	1024.23	216	12.588
g150.t1	513	302.22	0	0
g155.t1	666	451.867	38	5.01964
g156.t1	696	481.634	130	16.1111
g157.t1	813	598.36	1	0.0997555
g158.t1	1473	1258.23	60	2.84638
g159.t1	7320	7105.23	4300	36.1236
g162.t1	5631	5416.23	1316	14.503
g164.t1	2895	2680.23	608	13.5404
g165.t1	1758	1543.23	195	7.54232
g166.t1	1902	1687.23	820	29.0095
g167.t1	513	302.22	76	15.0103
g169.t1	4161	3946.23	979	14.8081
g171.t1	384	183.903	413	134.048
g172.t1	1854	1639.23	443	16.1311
g174.t1	1656	1441.23	106	4.39009
g175.t1	405	202.41	656	193.452
g176.t1	2262	2047.23	41	1.19541
g177.t1	1011	796.226	2.00753	0.150496
g178.t1	1011	796.226	8	0.599727
g179.t1	2424	2209.23	980	26.478
g180.t1	1770	1555.23	452	17.3478
g181.t1	1557	1342.23	532.103	23.663
g183.t1	852	637.297	543	50.8578
g184.t1	1953	1738.23	402	13.8045
g185.t1	1257	1042.23	1	0.0572714
g186.t1	5715	5500.23	103	1.11778
g187.t1	1644	1429.23	4101	171.273
g188.t1	2079	1864.23	1301	41.6561
g189.t1	1467	1252.23	2158.92	102.909
g190.t1	3507	3292.23	76.0794	1.37936
g191.t1	1323	1108.23	1	0.0538606
g193.t1	390	189.214	819	258.363
g196.t1	1011	796.226	743	55.6996
g197.t1	336	143.246	1206	502.534
g199.t1	567	354.467	91	15.3238
g200.t1	1251	1036.23	183	10.5414
g201.t1	1404	1189.23	4	0.200768
g202.t1	2133	1918.23	540	16.8033
g203.t1	1365	1150.23	82	4.2553
g204.t1	7209	6994.23	3888	33.1808
g205.t1	1290	1075.23	381	21.1507
g206.t1	1467	1252.23	208	9.91472
g208.t1	4614	4399.23	1042	14.1381
g211.t1	714	499.584	122	14.5764
g213.t1	852	637.297	423	39.6185
g216.t1	576	363.359	413	67.8444
g217.t1	222	62.3659	758.496	725.95
g222.t1	3093	2878.23	640	13.2726
g223.t1	3201	2986.23	182	3.63788
g225.t1	1677	1462.23	4	0.163285
g226.t1	402	199.661	48	14.3498
g227.t1	2058	1843.23	443	14.3458
g228.t1	3093	2878.23	1032	21.402
g229.t1	1812	1597.23	198	7.39944
g230.t1	1497	1282.23	110	5.12068
g231.t1	891	676.297	1290	113.855
g232.t1	477	268.332	1	0.222448
g233.t1	3396	3181.23	1514	28.4074
g234.t1	1347	1132.23	147	7.74968
g235.t1	846	631.36	3	0.283625
g237.t1	4554	4339.23	102	1.4031
g241.t1	1632	1417.23	58	2.4428
g243.t1	1305	1090.23	1108	60.6629
g244.t1	1056	841.226	5	0.354778
g245.t1	825	610.36	157	15.3537
g246.t1	2901	2686.23	2203	48.9522
g248.t1	1107	892.226	488	32.6471
g252.t1	3654	3439.23	1714	29.7475
g253.t1	429	223.913	4	1.0663
g254.t1	804	589.36	19	1.9243
g255.t1	2526	2311.23	476	12.2932
g256.t1	1017	802.226	342.05	25.4503
g258.t1	363	165.911	6	2.15861
g259.t1	1971	1756.23	450	15.2944
g260.t1	2268	2053.23	1389	40.3799
g261.t1	999	784.226	623	47.4184
g262.t1	6501	6286.23	4601	43.688
g263.t1	900	685.297	28	2.43882
g264.t1	1239	1024.23	43	2.50595
g265.t1	2889	2674.23	4	0.0892816
g266.t1	2829	2614.23	23	0.525151
g267.t1	2067	1852.23	1946	62.7117
g269.t1	657	442.912	38	5.12114
g270.t1	309	121.687	547.041	268.333
g271.t1	1494	1279.23	4310	201.108
g272.t1	588	375.136	362	57.5996
g273.t1	717	502.584	95	11.2827
g274.t1	1206	991.226	192	11.5619
g275.t1	351	155.912	30	11.4853
g276.t1	1968	1753.23	54	1.83847
g277.t1	354	158.399	22	8.29027
g278.t1	3267	3052.23	235	4.59569
g279.t1	1401	1186.23	442	22.241
g280.t1	3195	2980.23	448	8.97281
g282.t1	1140	925.226	47	3.03214
g283.t1	1245	1030.23	0	0
g285.t1	915	700.297	29	2.47181
g286.t1	2898	2683.23	135	3.00315
g287.t1	2352	2137.23	133	3.71451
g288.t1	4266	4051.23	611	9.00232
g290.t1	1266	1051.23	15	0.851716
g291.t1	696	481.634	6943	860.458
g292.t1	3837	3622.23	1388	22.8725
g294.t1	426	221.12	44	11.8775
g296.t1	2607	2392.23	268	6.68702
