target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2306.3	154.03	3.28773
ENSXMAT00000000002	3108	2903.3	208	3.52677
ENSXMAT00000000006	7272	7067.3	630	4.38826
ENSXMAT00000000004	5150	4945.3	87.9699	0.875684
ENSXMAT00000000005	1251	1046.3	0	0
ENSXMAT00000000007	348	159.427	19	5.86673
ENSXMAT00000000009	3432	3227.3	2	0.0305068
ENSXMAT00000000008	336	149.222	2	0.659786
ENSXMAT00000000010	1533	1328.3	20.5743	0.762494
ENSXMAT00000000011	3366	3161.3	350	5.45015
ENSXMAT00000000012	9969	9764.3	375.426	1.89273
ENSXMAT00000000013	975	770.295	14	0.894698
ENSXMAT00000000014	3772	3567.3	1223	16.8769
ENSXMAT00000000017	4496	4291.3	72.0441	0.826448
ENSXMAT00000000015	987	782.295	25	1.57317
ENSXMAT00000000016	1472	1267.3	0	0
ENSXMAT00000000018	1947	1742.3	0	0
ENSXMAT00000000019	2277	2072.3	753	17.8875
ENSXMAT00000000020	848	643.368	1	0.0765149
ENSXMAT00000000021	6069	5864.3	3	0.0251832
ENSXMAT00000000022	3435	3230.3	484	7.37579
ENSXMAT00000000023	726	521.487	14	1.32157
ENSXMAT00000000024	1635	1430.3	2804	96.5068
ENSXMAT00000000025	4570	4365.3	159.72	1.80115
ENSXMAT00000000026	4160	3955.3	56.2801	0.700456
ENSXMAT00000000027	2559	2354.3	12	0.250914
ENSXMAT00000000028	773	568.487	188	16.2796
ENSXMAT00000000029	1148	943.295	155	8.0889
ENSXMAT00000000030	2729	2524.3	198	3.86127
ENSXMAT00000000031	2611	2406.3	0	0
ENSXMAT00000000032	2055	1850.3	0	0
ENSXMAT00000000033	1413	1208.3	21	0.855562
ENSXMAT00000000034	6015	5810.3	24	0.203338
ENSXMAT00000000035	1636	1431.3	6	0.206361
ENSXMAT00000000036	621	416.94	0	0
ENSXMAT00000000037	3883	3678.3	0	0
ENSXMAT00000000038	1008	803.295	27	1.6546
ENSXMAT00000000039	1918	1713.3	730	20.9747
ENSXMAT00000000040	978	773.295	0	0
ENSXMAT00000000041	2388	2183.3	5	0.112736
ENSXMAT00000000042	4069	3864.3	217.447	2.77006
ENSXMAT00000000043	3803	3598.3	1348.55	18.4492
ENSXMAT00000000044	2503	2298.3	139	2.97724
