target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2307.08	68.8408	1.60651
ENSXMAT00000000002	3108	2904.08	80	1.48314
ENSXMAT00000000006	7272	7068.08	354	2.69651
ENSXMAT00000000004	5150	4946.08	119.159	1.29708
ENSXMAT00000000005	1251	1047.08	1	0.0514187
ENSXMAT00000000007	348	158.84	12	4.06744
ENSXMAT00000000009	3432	3228.08	6	0.100071
ENSXMAT00000000008	336	148.755	1	0.361935
ENSXMAT00000000010	1533	1329.08	82	3.32172
ENSXMAT00000000011	3366	3162.08	60	1.0216
ENSXMAT00000000012	9969	9765.08	254	1.40042
ENSXMAT00000000013	975	771.08	30	2.0947
ENSXMAT00000000014	3772	3568.08	1902	28.6996
ENSXMAT00000000017	4496	4292.08	47.7414	0.598864
ENSXMAT00000000015	987	783.08	44	3.02515
ENSXMAT00000000016	1472	1268.08	0	0
ENSXMAT00000000018	1947	1743.08	0	0
ENSXMAT00000000019	2277	2073.08	569	14.7774
ENSXMAT00000000020	848	644.08	0	0
ENSXMAT00000000021	6069	5865.08	0	0
ENSXMAT00000000022	3435	3231.08	403	6.71518
ENSXMAT00000000023	726	522.187	172	17.7339
ENSXMAT00000000024	1635	1431.08	4200	158.011
ENSXMAT00000000025	4570	4366.08	109.223	1.34686
ENSXMAT00000000026	4160	3956.08	46.7772	0.636605
ENSXMAT00000000027	2559	2355.08	99	2.26324
ENSXMAT00000000028	773	569.08	49	4.63578
ENSXMAT00000000029	1148	944.08	41	2.33817
ENSXMAT00000000030	2729	2525.08	164	3.49679
ENSXMAT00000000031	2611	2407.08	0	0
ENSXMAT00000000032	2055	1851.08	0	0
ENSXMAT00000000033	1413	1209.08	6	0.267176
ENSXMAT00000000034	6015	5811.08	25	0.231624
ENSXMAT00000000035	1636	1432.08	3	0.112786
ENSXMAT00000000036	621	417.609	0	0
ENSXMAT00000000037	3883	3679.08	0	0
ENSXMAT00000000038	1008	804.08	114	7.63319
ENSXMAT00000000039	1918	1714.08	344	10.8051
ENSXMAT00000000040	978	774.08	0	0
ENSXMAT00000000041	2388	2184.08	2	0.0493017
ENSXMAT00000000042	4069	3865.08	277.815	3.86989
ENSXMAT00000000043	3803	3599.08	1947.18	29.1284
ENSXMAT00000000044	2503	2299.08	76	1.77975
ENSXMAT00000000045	3957	3753.08	2135	30.6274
ENSXMAT00000000046	801	597.08	5	0.450856
ENSXMAT00000000047	1814	1610.08	0	0
ENSXMAT00000000048	4501	4297.08	0	0
ENSXMAT00000000049	2517	2313.08	2.23511	0.0520246
ENSXMAT00000000050	1982	1778.08	24	0.726709
ENSXMAT00000000051	3813	3609.08	461.099	6.87857
ENSXMAT00000000053	6759	6555.08	512	4.20526
