target_id	length	eff_length	est_counts	tpm
g1.t1	945	716.184	3	0.42103
g2.t1	759	530.551	105	19.892
g3.t1	597	369.841	294	79.9004
g4.t1	1695	1466.11	289	19.8129
g5.t1	4182	3953.11	106	2.69515
g6.t1	1749	1520.11	271	17.9189
g7.t1	1863	1634.11	149	9.16476
g10.t1	732	503.601	2	0.399172
g11.t1	1302	1073.11	37	3.46556
g12.t1	777	548.551	57	10.4442
g13.t1	1758	1529.11	152	9.99127
g15.t1	1350	1121.11	150	13.448
g16.t1	963	734.112	15	2.05374
g17.t1	1830	1601.11	60	3.76657
g18.t1	429	210.637	597	284.877
g19.t1	1395	1166.11	145	12.4981
g20.t1	3411	3182.11	442	13.9612
g21.t1	579	352.092	5	1.42735
g22.t1	450	229.831	3	1.31199
g23.t1	465	243.546	76	31.3652
g25.t1	1650	1421.11	308	21.7841
g27.t1	420	202.799	3	1.48687
g28.t1	225	61.7972	122	198.43
g29.t1	1092	863.112	2160	251.538
g30.t1	2463	2234.11	310	13.9468
g32.t1	1362	1133.11	82.0824	7.28105
g33.t1	2235	2006.11	169	8.46736
g36.t1	1251	1022.11	80	7.86698
g38.t1	2406	2177.11	204	9.41816
g39.t1	1992	1763.11	81	4.61766
g40.t1	2148	1919.11	222	11.627
g42.t1	750	521.551	65	12.5266
g43.t1	486	263.227	42	16.0375
g44.t1	1815	1586.11	154	9.75896
g48.t1	1656	1427.11	7	0.493011
g50.t1	597	369.841	19	5.16363
g52.t1	645	417.246	0	0
g53.t1	777	548.551	59	10.8107
g54.t1	1548	1319.11	39	2.97166
g55.t1	843	614.379	148	24.2126
g56.t1	1257	1028.11	215	21.0191
g62.t1	1047	818.112	3	0.368574
g69.t1	594	366.878	0	0
g70.t1	438	218.684	1	0.459621
g75.t1	786	557.495	0	0
g79.t1	411	195.004	7	3.60804
g81.t1	294	102.737	13	12.7184
g84.t1	1224	995.112	4	0.404022
g85.t1	939	710.184	100	14.1529
g89.t1	1050	821.112	108	13.2202
g92.t1	783	554.495	112	20.3019
g95.t1	735	506.551	1	0.198424
g96.t1	1515	1286.11	146	11.4101
g97.t1	2211	1982.11	396	20.0809
g98.t1	327	126.753	681	540.017
g100.t1	726	497.601	5	1.00996
g105.t1	1590	1361.11	90	6.64607
g106.t1	1890	1661.11	13	0.786613
g108.t1	621	393.533	68	17.3678
g111.t1	1800	1571.11	347	22.1993
g112.t1	1146	917.112	1260	138.091
g113.t1	1821	1592.11	3	0.189393
g114.t1	678	449.984	1	0.223367
g115.t1	531	305.765	2	0.657444
g116.t1	1026	797.112	27	3.40456
g117.t1	1530	1301.11	152	11.7421
g119.t1	3897	3668.11	84	2.30172
g123.t1	846	617.318	435.915	70.9757
g124.t1	969	740.112	65	8.82739
g125.t1	681	452.984	62	13.757
g126.t1	1473	1244.11	253	20.4398
g127.t1	612	384.765	138	36.0495
g128.t1	1665	1436.11	29	2.02967
g129.t1	1473	1244.11	632	51.0592
g130.t1	1272	1043.11	461	44.4208
g131.t1	5982	5753.11	360	6.2895
g132.t1	3195	2966.11	412	13.9613
g134.t1	393	179.245	0	0
g136.t1	2820	2591.11	978	37.9375
g137.t1	684	455.939	13	2.86585
g138.t1	1824	1595.11	14	0.882172
g139.t1	486	263.227	0	0
g141.t1	2490	2261.11	301	13.3802
g144.t1	594	366.878	18	4.93137
g148.t1	2163	1934.11	68	3.53382
g149.t1	1239	1010.11	184	18.309
g150.t1	513	288.574	3	1.04492
g155.t1	666	438.119	29	6.65308
g156.t1	696	467.939	75	16.1098
g157.t1	813	584.439	2	0.34396
g158.t1	1473	1244.11	30	2.4237
g159.t1	7320	7091.11	2553	36.187
g162.t1	5631	5402.11	821	15.2755
g164.t1	2895	2666.11	424	15.9847
g165.t1	1758	1529.11	133	8.74236
g166.t1	1902	1673.11	391	23.4892
g167.t1	513	288.574	38	13.2356
g169.t1	4161	3932.11	528	13.4966
g171.t1	384	171.584	183	107.199
