target_id	length	eff_length	est_counts	tpm
g1.t1	945	738.437	6	0.755528
g2.t1	759	552.614	99	16.6581
g3.t1	597	392.033	376	89.1822
g4.t1	1695	1488.29	391	24.4289
g5.t1	4182	3975.29	130	3.0408
g6.t1	1749	1542.29	213	12.8418
g7.t1	1863	1656.29	149	8.36496
g10.t1	732	525.773	2	0.353708
g11.t1	1302	1095.29	49	4.15988
g12.t1	777	570.501	56	9.12734
g13.t1	1758	1551.29	140	8.39168
g15.t1	1350	1143.29	154	12.525
g16.t1	963	756.287	8	0.983596
g17.t1	1830	1623.29	92	5.26994
g18.t1	429	231.733	611	245.169
g19.t1	1395	1188.29	95	7.43388
g20.t1	3411	3204.29	452	13.1166
g21.t1	579	374.455	7	1.73825
g22.t1	450	251.152	1	0.370234
g23.t1	465	265.521	89	31.1677
g25.t1	1650	1443.29	266	17.1373
g27.t1	420	223.553	3	1.24783
g28.t1	225	69.891	124	164.973
g29.t1	1092	885.287	3724	391.146
g30.t1	2463	2256.29	407	16.7731
g32.t1	1362	1155.29	89.996	7.24347
g33.t1	2235	2028.29	170	7.7935
g36.t1	1251	1044.29	89	7.92471
g38.t1	2406	2199.29	302	12.7684
g39.t1	1992	1785.29	91	4.73965
g40.t1	2148	1941.29	180	8.62176
g42.t1	750	543.614	73	12.4866
g43.t1	486	285.182	41	13.3683
g44.t1	1815	1608.29	186	10.7538
g48.t1	1656	1449.29	15	0.962388
g50.t1	597	392.033	36	8.53872
g52.t1	645	439.427	0	0
g53.t1	777	570.501	51	8.3124
g54.t1	1548	1341.29	56	3.88221
g55.t1	843	636.501	218	31.8471
g56.t1	1257	1050.29	260	23.0186
g62.t1	1047	840.287	1	0.110659
g69.t1	594	389.033	0	0
g70.t1	438	239.983	0	0
g75.t1	786	579.501	0	0
g79.t1	411	215.369	2	0.863496
g81.t1	294	118.313	11	8.6452
g84.t1	1224	1017.29	3	0.274215
g85.t1	939	732.437	109	13.8379
g89.t1	1050	843.287	115	12.6805
g92.t1	783	576.501	98	15.8066
g95.t1	735	528.721	2	0.351736
g96.t1	1515	1308.29	198	14.0726
g97.t1	2211	2004.29	410	19.0212
g98.t1	327	144.033	762	491.932
g100.t1	726	519.825	3	0.536632
g105.t1	1590	1383.29	88	5.91539
g106.t1	1890	1683.29	22	1.21528
g108.t1	621	415.511	72	16.1125
g111.t1	1800	1593.29	300	17.5082
g112.t1	1146	939.287	1494	147.899
g113.t1	1821	1614.29	0	0
g114.t1	678	472.018	2	0.393989
g115.t1	531	328.179	2	0.566673
g116.t1	1026	819.287	41	4.6533
g117.t1	1530	1323.29	194	13.632
g119.t1	3897	3690.29	74	1.8646
g123.t1	846	639.501	473.287	68.8171
g124.t1	969	762.287	44	5.36719
g125.t1	681	475.018	78	15.2685
g126.t1	1473	1266.29	280	20.5608
g127.t1	612	406.634	142	32.4711
g128.t1	1665	1458.29	37	2.35924
