target_id	length	eff_length	est_counts	tpm
g1.t1	945	768.888	1	0.0864883
g2.t1	759	583.142	130	14.8248
g3.t1	597	421.48	490	77.3108
g4.t1	1695	1518.89	537	23.5109
g5.t1	4182	4005.89	66	1.09563
g6.t1	1749	1572.89	359	15.1781
g7.t1	1863	1686.89	286	11.2746
g10.t1	732	556.142	12	1.43488
g11.t1	1302	1125.89	92	5.43392
g12.t1	777	601.024	103	11.3963
g13.t1	1758	1581.89	315	13.242
g15.t1	1350	1173.89	291	16.4849
g16.t1	963	786.888	19	1.60569
g17.t1	1830	1653.89	288	11.58
g18.t1	429	256.999	919	237.796
g19.t1	1395	1218.89	257	14.0213
g20.t1	3411	3234.89	562	11.5531
g21.t1	579	403.644	5	0.823744
g22.t1	450	277.249	3	0.719568
g23.t1	465	291.849	112	25.52
g25.t1	1650	1473.89	494	22.2886
g27.t1	420	248.254	11	2.94657
g28.t1	225	83.6354	220	174.926
g29.t1	1092	915.888	5432	394.401
g30.t1	2463	2286.89	704	20.4714
g32.t1	1362	1185.89	144.67	8.1125
g33.t1	2235	2058.89	202	6.52438
g36.t1	1251	1074.89	84	5.1968
g38.t1	2406	2229.89	454	13.5392
g39.t1	1992	1815.89	159	5.82275
g40.t1	2148	1971.89	539	18.1772
g42.t1	750	574.142	126	14.5939
g43.t1	486	312.124	113	24.0753
g44.t1	1815	1638.89	255	10.3469
g48.t1	1656	1479.89	10	0.449357
g50.t1	597	421.48	49	7.73108
g52.t1	645	469.349	0	0
g53.t1	777	601.024	221	24.4524
g54.t1	1548	1371.89	81	3.92633
g55.t1	843	666.964	256	25.5245
g56.t1	1257	1080.89	458	28.1777
g62.t1	1047	870.888	2	0.152717
g69.t1	594	418.48	0	0
g70.t1	438	265.577	2	0.500795
g75.t1	786	609.964	0	0
g79.t1	411	239.945	3	0.831438
g81.t1	294	135.951	32	15.6526
g84.t1	1224	1047.89	26	1.64998
g85.t1	939	762.888	197	17.1722
g89.t1	1050	873.888	293	22.2963
g92.t1	783	606.964	266	29.1433
g95.t1	735	559.142	11	1.30825
g96.t1	1515	1338.89	363	18.0295
g97.t1	2211	2034.89	513	16.7648
g98.t1	327	164.237	1246	504.508
g100.t1	726	550.142	9	1.0879
g105.t1	1590	1413.89	193	9.07743
g106.t1	1890	1713.89	23	0.892413
g108.t1	621	445.394	75	11.1979
g111.t1	1800	1623.89	497	20.3526
g112.t1	1146	969.888	1805	123.759
g113.t1	1821	1644.89	10	0.404282
g114.t1	678	502.25	3	0.397212
g115.t1	531	356.021	6	1.12072
g116.t1	1026	849.888	43	3.36455
g117.t1	1530	1353.89	376	18.4682
g119.t1	3897	3720.89	101	1.80507
g123.t1	846	669.964	643.379	63.861
g124.t1	969	792.888	164	13.7547
g125.t1	681	505.25	95	12.5037
g126.t1	1473	1296.89	289	14.8189
g127.t1	612	436.394	173	26.3626
g128.t1	1665	1488.89	45	2.00988
g129.t1	1473	1296.89	971	49.7894
g130.t1	1272	1095.89	786	47.6954
g131.t1	5982	5805.89	737	8.44149
g132.t1	3195	3018.89	863	19.0101
g134.t1	393	223.267	4	1.1914
g136.t1	2820	2643.89	1804	45.3747
g137.t1	684	508.25	11	1.43925
g138.t1	1824	1647.89	11	0.4439
g139.t1	486	312.124	0	0
g141.t1	2490	2313.89	447	12.8465
g144.t1	594	418.48	7	1.11236
g148.t1	2163	1986.89	100	3.34693
g149.t1	1239	1062.89	240	15.0156
g150.t1	513	338.471	6	1.17883
g155.t1	666	490.349	45	6.10278
g156.t1	696	520.25	179	22.8803
g157.t1	813	636.964	4	0.417605
g158.t1	1473	1296.89	50	2.56382
g159.t1	7320	7143.89	3825	35.6055
g162.t1	5631	5454.89	1179	14.373
g164.t1	2895	2718.89	739	18.0748
g165.t1	1758	1581.89	239.224	10.0565
g166.t1	1902	1725.89	854	32.9053
g167.t1	513	338.471	78	15.3248
g169.t1	4161	3984.89	865	14.4351
g171.t1	384	214.824	270	83.5797
g172.t1	1854	1677.89	432	17.1215
g174.t1	1656	1479.89	143	6.42581
g175.t1	405	234.427	679	192.612
g176.t1	2262	2085.89	27	0.860782
g177.t1	1011	834.888	1.00388	0.0799606
g178.t1	1011	834.888	9	0.71686
g179.t1	2424	2247.89	983	29.0803
g180.t1	1770	1593.89	505	21.0695
g181.t1	1557	1380.89	623.642	30.0329
g183.t1	852	675.964	456	44.8603
g184.t1	1953	1776.89	357	13.3607
g185.t1	1257	1080.89	0	0
g186.t1	5715	5538.89	153	1.83692
g187.t1	1644	1467.89	3988	180.669
g188.t1	2079	1902.89	1163	40.6431
g189.t1	1467	1290.89	134.918	6.95027
g190.t1	3507	3330.89	31.082	0.620539
g191.t1	1323	1146.89	0	0
g193.t1	390	220.379	815	245.927
g196.t1	1011	834.888	730	58.1453
g197.t1	336	172.174	980	378.512
g199.t1	567	391.683	108	18.3362
g200.t1	1251	1074.89	167	10.3317
g201.t1	1404	1227.89	3	0.162474
g202.t1	2133	1956.89	467	15.8698
g203.t1	1365	1188.89	100	5.59345
g204.t1	7209	7032.89	4201	39.7228
g205.t1	1290	1113.89	391	23.3429
g206.t1	1467	1290.89	317	16.3302
g208.t1	4614	4437.89	1464	21.9374
g211.t1	714	538.196	122	15.0744
g213.t1	852	675.964	526	51.7467
g216.t1	576	400.644	469	77.8457
g217.t1	222	81.4932	654.029	533.699
g222.t1	3093	2916.89	695	15.8448
g223.t1	3201	3024.89	211	4.63867
g225.t1	1677	1500.89	10	0.44307
g226.t1	402	231.664	29	8.32453
g227.t1	2058	1881.89	460	16.2549
g228.t1	3093	2916.89	1002	22.8438
g229.t1	1812	1635.89	268	10.8944
g230.t1	1497	1320.89	98	4.93379
g231.t1	891	714.964	1309	121.752
g232.t1	477	303.372	0	0
g233.t1	3396	3219.89	1224	25.2791
g234.t1	1347	1170.89	162	9.20068
g235.t1	846	669.964	1	0.0992588
g237.t1	4554	4377.89	126	1.91393
g241.t1	1632	1455.89	88	4.01953
g243.t1	1305	1128.89	935	55.0784
g244.t1	1056	879.888	0	0
g245.t1	825	648.964	129	13.2187
g246.t1	2901	2724.89	2361	57.6193
