target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2334.4	99.927	2.11478
ENSXMAT00000000002	3108	2931.4	118	1.98868
ENSXMAT00000000006	7272	7095.4	608	4.23336
ENSXMAT00000000004	5150	4973.4	109.073	1.08348
ENSXMAT00000000005	1251	1074.4	0	0
ENSXMAT00000000007	348	185.141	24	6.40423
ENSXMAT00000000009	3432	3255.4	18	0.273166
ENSXMAT00000000008	336	174.986	1	0.282329
ENSXMAT00000000010	1533	1356.4	48	1.74828
ENSXMAT00000000011	3366	3189.4	96	1.48703
ENSXMAT00000000012	9969	9792.4	284	1.43281
ENSXMAT00000000013	975	798.402	27	1.67071
ENSXMAT00000000014	3772	3595.4	2143	29.4464
ENSXMAT00000000017	4496	4319.4	48.2166	0.551482
ENSXMAT00000000015	987	810.402	56	3.41386
ENSXMAT00000000016	1472	1295.4	3	0.114413
ENSXMAT00000000018	1947	1770.4	0	0
ENSXMAT00000000019	2277	2100.4	772	18.1582
ENSXMAT00000000020	848	671.402	0	0
ENSXMAT00000000021	6069	5892.4	2	0.0167686
ENSXMAT00000000022	3435	3258.4	654	9.91588
ENSXMAT00000000023	726	549.519	15	1.34855
ENSXMAT00000000024	1635	1458.4	3023	102.405
ENSXMAT00000000025	4570	4393.4	176.113	1.98039
ENSXMAT00000000026	4160	3983.4	65.8866	0.817149
ENSXMAT00000000027	2559	2382.4	162	3.35937
ENSXMAT00000000028	773	596.464	40	3.3131
ENSXMAT00000000029	1148	971.402	54	2.74633
ENSXMAT00000000030	2729	2552.4	188	3.63887
ENSXMAT00000000031	2611	2434.4	0	0
ENSXMAT00000000032	2055	1878.4	0	0
ENSXMAT00000000033	1413	1236.4	18	0.719235
ENSXMAT00000000034	6015	5838.4	2921	24.717
ENSXMAT00000000035	1636	1459.4	12	0.406223
ENSXMAT00000000036	621	444.857	0	0
ENSXMAT00000000037	3883	3706.4	0	0
ENSXMAT00000000038	1008	831.402	75	4.45665
ENSXMAT00000000039	1918	1741.4	270	7.6599
ENSXMAT00000000040	978	801.402	0	0
ENSXMAT00000000041	2388	2211.4	6	0.134042
ENSXMAT00000000042	4069	3892.4	276.706	3.51204
ENSXMAT00000000043	3803	3626.4	1328.29	18.0957
ENSXMAT00000000044	2503	2326.4	121	2.56956
ENSXMAT00000000045	3957	3780.4	1082	14.1399
ENSXMAT00000000046	801	624.402	5	0.395607
ENSXMAT00000000047	1814	1637.4	0	0
ENSXMAT00000000048	4501	4324.4	1	0.0114244
ENSXMAT00000000049	2517	2340.4	3.13571	0.0661918
ENSXMAT00000000050	1982	1805.4	5	0.136821
ENSXMAT00000000051	3813	3636.4	307.158	4.173
ENSXMAT00000000053	6759	6582.4	737	5.53148
ENSXMAT00000000054	2992	2815.4	16	0.280762
ENSXMAT00000000058	5618	5441.4	50	0.45396
ENSXMAT00000000059	4949	4772.4	302	3.12628
ENSXMAT00000000061	879	702.402	87	6.11916
ENSXMAT00000000083	882	705.402	0	0
ENSXMAT00000000067	3968	3791.4	193	2.51487
ENSXMAT00000000060	993	816.402	0	0
ENSXMAT00000000126	2619	2442.4	13	0.262957
ENSXMAT00000000062	204	75.2496	25	16.4132
ENSXMAT00000000069	3788	3611.4	184	2.5171
ENSXMAT00000000065	2550	2373.4	19.5393	0.406721
ENSXMAT00000000090	4851	4674.4	306	3.2341
ENSXMAT00000000068	743	566.464	1	0.087214
ENSXMAT00000000070	3031	2854.4	66	1.14232
ENSXMAT00000000071	2226	2049.4	0	0
ENSXMAT00000000073	2121	1944.4	0	0
ENSXMAT00000000089	2327	2150.4	198	4.54887
ENSXMAT00000000078	1147	970.402	103	5.24377
ENSXMAT00000000074	600	424.161	72	8.3861
ENSXMAT00000000093	1856	1679.4	1318	38.7721
ENSXMAT00000000085	3427	3250.4	110	1.67191
ENSXMAT00000000110	5551	5374.4	48.8976	0.449485
ENSXMAT00000000077	975	798.402	0	0
ENSXMAT00000000099	5005	4828.4	125	1.27898
ENSXMAT00000000080	3153	2976.4	1	0.0165984
ENSXMAT00000000101	1794	1617.4	120	3.6654
ENSXMAT00000000079	666	489.671	5	0.504457
ENSXMAT00000000082	1401	1224.4	1	0.0403491
ENSXMAT00000000100	9733	9556.4	1428	7.38231
ENSXMAT00000000102	4564	4387.4	1	0.0112603
ENSXMAT00000000084	1344	1167.4	1	0.0423192
ENSXMAT00000000092	2825	2648.4	0	0
ENSXMAT00000000096	2822	2645.4	49	0.915087
ENSXMAT00000000086	1494	1317.4	11	0.412508
ENSXMAT00000000087	3157	2980.4	41	0.679622
ENSXMAT00000000088	3236	3059.4	14	0.226074
ENSXMAT00000000097	1365	1188.4	59	2.45271
ENSXMAT00000000091	1240	1063.4	56	2.60165
ENSXMAT00000000095	537	362.045	9	1.22811
ENSXMAT00000000094	760	583.464	72	6.09645
ENSXMAT00000000111	5186	5009.4	30	0.295865
ENSXMAT00000000103	3290	3113.4	4	0.0634721
ENSXMAT00000000098	681	504.621	0	0
ENSXMAT00000000106	1651	1474.4	2	0.067015
ENSXMAT00000000104	540	364.935	30.9107	4.18457
ENSXMAT00000000113	3263	3086.4	2	0.0320137
ENSXMAT00000000112	6614	6437.4	312	2.39443
ENSXMAT00000000108	1656	1479.4	2	0.0667885
ENSXMAT00000000118	2568	2391.4	0	0
ENSXMAT00000000115	1513	1336.4	1213	44.8417
ENSXMAT00000000105	1240	1063.4	25.0893	1.1656
ENSXMAT00000000109	618	441.857	112	12.5226
ENSXMAT00000000107	174	56.67	0	0
ENSXMAT00000000132	1697	1520.4	0	0
ENSXMAT00000000116	3607	3430.4	4	0.0576067
ENSXMAT00000000124	3744	3567.4	403	5.58099
ENSXMAT00000000114	6226	6049.4	46.1024	0.376504
ENSXMAT00000000123	1173	996.402	6	0.297492
ENSXMAT00000000119	1290	1113.4	222	9.85052
ENSXMAT00000000122	3776	3599.4	361	4.9549
ENSXMAT00000000121	3270	3093.4	0	0
ENSXMAT00000000125	2850	2673.4	1	0.0184797
ENSXMAT00000000142	1769	1592.4	22	0.68254
ENSXMAT00000000127	4057	3880.4	114	1.4514
ENSXMAT00000000129	630	453.857	0	0
ENSXMAT00000000128	1605	1428.4	53	1.83309
ENSXMAT00000000133	3430	3253.4	42.4094	0.643995
ENSXMAT00000000131	3752	3575.4	89	1.22977
ENSXMAT00000000184	3120	2943.4	3	0.0503535
ENSXMAT00000000144	2586	2409.4	119	2.44003
ENSXMAT00000000135	2426	2249.4	218	4.78793
ENSXMAT00000000130	2627	2450.4	61	1.22985
ENSXMAT00000000143	2901	2724.4	121	2.19418
ENSXMAT00000000134	4226	4049.4	6	0.0732013
ENSXMAT00000000136	1965	1788.4	49	1.3536
ENSXMAT00000000137	1523	1346.4	19	0.697167
ENSXMAT00000000153	5549	5372.4	127	1.16787
ENSXMAT00000000138	1308	1131.4	95	4.14825
ENSXMAT00000000139	1251	1074.4	0	0
ENSXMAT00000000145	939	762.402	0	0
ENSXMAT00000000149	2170	1993.4	413	10.2356
ENSXMAT00000000140	855	678.402	8	0.582587
ENSXMAT00000000141	1353	1176.4	0	0
ENSXMAT00000000156	2479	2302.4	196.435	4.21498
ENSXMAT00000000150	2556	2379.4	0	0
ENSXMAT00000000154	1230	1053.4	4	0.187596
ENSXMAT00000000148	723	546.519	13	1.17516
ENSXMAT00000000147	2204	2027.4	1	0.0243679
ENSXMAT00000000146	1035	858.402	6	0.345318
ENSXMAT00000000155	1740	1563.4	46	1.4536
ENSXMAT00000000160	1398	1221.4	140	5.66275
ENSXMAT00000000151	1086	909.402	7163	389.132
ENSXMAT00000000157	1473	1296.4	92	3.50595
ENSXMAT00000000152	1314	1137.4	5	0.217177
ENSXMAT00000000167	1091	914.402	0	0
ENSXMAT00000000183	7677	7500.4	1849	12.179
ENSXMAT00000000168	2117	1940.4	271	6.89979
ENSXMAT00000000158	864	687.402	49	3.52163
ENSXMAT00000000164	6128	5951.4	1547.57	12.8466
ENSXMAT00000000161	858	681.402	219	15.8781
ENSXMAT00000000159	1257	1080.4	34	1.55472
ENSXMAT00000000162	1308	1131.4	2	0.0873316
ENSXMAT00000000163	444	272.67	31	5.61671
ENSXMAT00000000177	5380	5203.4	671	6.37079
ENSXMAT00000000165	5313	5136.4	75	0.721374
ENSXMAT00000000170	438	266.971	0	0
ENSXMAT00000000174	573	397.325	7	0.870384
ENSXMAT00000000166	366	200.914	16463	4048.15
ENSXMAT00000000169	1704	1527.4	2	0.0646897
ENSXMAT00000000191	1206	1029.4	17	0.815872
ENSXMAT00000000176	1089	912.402	2465	133.472
ENSXMAT00000000195	5343	5166.4	536	5.12548
ENSXMAT00000000171	261	115.039	0	0
ENSXMAT00000000172	432	261.346	2	0.37807
ENSXMAT00000000173	779	602.464	398	32.637
ENSXMAT00000000175	447	275.559	16325	2926.82
ENSXMAT00000000197	16829	16652.4	3	0.00890026
ENSXMAT00000000182	435	264.16	4957	927.066
ENSXMAT00000000178	2566	2389.4	22	0.454875
ENSXMAT00000000179	1534	1357.4	0	0
ENSXMAT00000000180	1014	837.402	1	0.0589962
ENSXMAT00000000181	2577	2400.4	42	0.864417
ENSXMAT00000000190	2435	2258.4	954.674	20.8839
ENSXMAT00000000186	435	264.16	0	0
ENSXMAT00000000185	3808	3631.4	122.99	1.67322
ENSXMAT00000000187	888	711.402	4151	288.268
ENSXMAT00000000194	2768	2591.4	271	5.16646
ENSXMAT00000000188	2659	2482.4	25	0.497538
ENSXMAT00000000189	1978	1801.4	41	1.12443
ENSXMAT00000000208	4714	4537.4	393	4.27901
ENSXMAT00000000196	1746	1569.4	0	0
ENSXMAT00000000193	5542	5365.4	4	0.0368312
ENSXMAT00000000192	174	56.67	0	0
ENSXMAT00000000205	2397	2220.4	48	1.06799
ENSXMAT00000000203	5887	5710.4	247	2.13692
ENSXMAT00000000202	354	190.489	0	0
ENSXMAT00000000199	837	660.402	0	0
ENSXMAT00000000211	2031	1854.4	11	0.293054
ENSXMAT00000000198	1826	1649.4	37	1.10824
ENSXMAT00000000201	3312	3135.4	8	0.126054
ENSXMAT00000000200	991	814.402	274	16.6215
ENSXMAT00000000207	2508	2331.4	181	3.83548
ENSXMAT00000000206	876	699.402	0	0
ENSXMAT00000000204	2480	2303.4	4	0.0857923
ENSXMAT00000000215	2067	1890.4	67	1.75097
ENSXMAT00000000213	2142	1965.4	1022	25.6896
ENSXMAT00000000209	1257	1080.4	5	0.228635
ENSXMAT00000000222	1572	1395.4	71	2.51372
ENSXMAT00000000210	2868	2691.4	160	2.93697
ENSXMAT00000000212	5940	5763.4	217	1.86011
ENSXMAT00000000214	6258	6081.4	121	0.982969
ENSXMAT00000000216	5807	5630.4	23.2486	0.203993
ENSXMAT00000000219	948	771.402	90	5.76395
ENSXMAT00000000218	4722	4545.4	47	0.510839
ENSXMAT00000000217	5395	5218.4	204	1.9313
ENSXMAT00000000224	3955	3778.4	202	2.6412
ENSXMAT00000000243	5252	5075.4	413	4.02011
ENSXMAT00000000220	2283	2106.4	141	3.30701
ENSXMAT00000000230	5383	5206.4	2	0.018978
ENSXMAT00000000226	2188	2011.4	1289	31.6601
ENSXMAT00000000223	3065	2888.4	30	0.513123
ENSXMAT00000000247	2650	2473.4	3643	72.765
ENSXMAT00000000235	4556	4379.4	631	7.11824
ENSXMAT00000000265	2662	2485.4	7	0.139142
ENSXMAT00000000227	541	365.899	141	19.0378
ENSXMAT00000000229	2887	2710.4	22	0.401003
ENSXMAT00000000280	6501	6324.4	0	0
ENSXMAT00000000246	4249	4072.4	1316	15.9648
ENSXMAT00000000233	420	250.079	1	0.197552
ENSXMAT00000000244	2191	2014.4	134	3.28637
ENSXMAT00000000234	2899	2722.4	2941	53.3705
ENSXMAT00000000274	1785	1608.4	39	1.19792
ENSXMAT00000000261	3070	2893.4	460.306	7.85952
ENSXMAT00000000236	3758	3581.4	61	0.841463
ENSXMAT00000000237	474	301.332	0	0
ENSXMAT00000000239	3229	3052.4	298	4.82317
ENSXMAT00000000241	1521	1344.4	80	2.93981
ENSXMAT00000000242	2850	2673.4	2	0.0369593
ENSXMAT00000000240	1274	1097.4	3816	171.791
ENSXMAT00000000245	1695	1518.4	867	28.2092
ENSXMAT00000000248	831	654.402	117.003	8.83307
ENSXMAT00000000250	1131	954.402	567	29.3501
ENSXMAT00000000266	4088	3911.4	7	0.0884146
ENSXMAT00000000255	1052	875.402	51	2.8782
ENSXMAT00000000256	1078	901.402	85	4.65863
ENSXMAT00000000251	5619	5442.4	323.997	2.94109
ENSXMAT00000000252	1632	1455.4	0	0
ENSXMAT00000000254	1302	1125.4	0	0
ENSXMAT00000000253	4862	4685.4	136	1.434
ENSXMAT00000000267	4711	4534.4	653.76	7.1229
ENSXMAT00000000258	1561	1384.4	8	0.285487
ENSXMAT00000000257	543	367.899	56	7.52
ENSXMAT00000000281	4278	4101.4	0	0
ENSXMAT00000000264	2351	2174.4	561	12.7462
ENSXMAT00000000271	2620	2443.4	32	0.647013
ENSXMAT00000000259	3285	3108.4	110	1.74829
ENSXMAT00000000268	3485	3308.4	3	0.0447983
ENSXMAT00000000262	1146	969.402	156	7.95021
ENSXMAT00000000263	1645	1468.4	85	2.85978
ENSXMAT00000000286	5270	5093.4	124	1.20274
ENSXMAT00000000273	1899	1722.4	74	2.12254
ENSXMAT00000000293	9543	9366.4	605.356	3.19298
ENSXMAT00000000275	3398	3221.4	157.546	2.41613
ENSXMAT00000000270	756	579.464	134	11.4245
ENSXMAT00000000272	330	169.775	1	0.290995
ENSXMAT00000000285	2731	2554.4	77.6239	1.50129
ENSXMAT00000000279	4102	3925.4	0	0
ENSXMAT00000000283	1556	1379.4	39	1.39679
ENSXMAT00000000277	3048	2871.4	20	0.344108
ENSXMAT00000000276	2817	2640.4	552	10.3283
ENSXMAT00000000278	806	629.402	20	1.56986
ENSXMAT00000000287	6972	6795.4	16	0.116322
ENSXMAT00000000284	618	441.857	25	2.79523
ENSXMAT00000000282	1172	995.402	0	0
ENSXMAT00000000300	7197	7020.4	61	0.429266
ENSXMAT00000000290	2895	2718.4	0	0
ENSXMAT00000000289	5913	5736.4	40.3761	0.347731
ENSXMAT00000000288	348	185.141	9	2.40159
ENSXMAT00000000291	5920	5743.4	8	0.0688143
