target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2316.47	101.917	2.48103
ENSXMAT00000000002	3108	2913.47	643	12.4455
ENSXMAT00000000006	7272	7077.47	1033	8.23065
ENSXMAT00000000004	5150	4955.47	116.083	1.32097
ENSXMAT00000000005	1251	1056.47	9	0.480393
ENSXMAT00000000007	348	170.291	44	14.5705
ENSXMAT00000000009	3432	3237.47	98	1.70699
ENSXMAT00000000008	336	160.396	556	195.476
ENSXMAT00000000010	1533	1338.47	41	1.72737
ENSXMAT00000000011	3366	3171.47	61	1.08463
ENSXMAT00000000012	9969	9774.47	7716	44.5155
ENSXMAT00000000013	975	780.472	52	3.75714
ENSXMAT00000000014	3772	3577.47	1506	23.7389
ENSXMAT00000000017	4496	4301.47	138.083	1.81024
ENSXMAT00000000015	987	792.472	150	10.6738
ENSXMAT00000000016	1472	1277.47	5	0.220714
ENSXMAT00000000018	1947	1752.47	79	2.54207
ENSXMAT00000000019	2277	2082.47	707	19.1449
ENSXMAT00000000020	848	653.472	5	0.431474
ENSXMAT00000000021	6069	5874.47	42	0.403174
ENSXMAT00000000022	3435	3240.47	1802	31.3587
ENSXMAT00000000023	726	531.655	468	49.6396
ENSXMAT00000000024	1635	1440.47	1180	46.1944
ENSXMAT00000000025	4570	4375.47	738.387	9.51637
ENSXMAT00000000026	4160	3965.47	695.613	9.89201
ENSXMAT00000000027	2559	2364.47	295	7.03558
ENSXMAT00000000028	773	578.655	179	17.444
ENSXMAT00000000029	1148	953.472	131	7.74774
ENSXMAT00000000030	2729	2534.47	638	14.1953
ENSXMAT00000000031	2611	2416.47	13	0.303371
ENSXMAT00000000032	2055	1860.47	31	0.939616
ENSXMAT00000000033	1413	1218.47	161	7.45113
ENSXMAT00000000034	6015	5820.47	83	0.80414
ENSXMAT00000000035	1636	1441.47	1703	66.6224
ENSXMAT00000000036	621	427.367	0	0
ENSXMAT00000000037	3883	3688.47	65	0.993754
ENSXMAT00000000038	1008	813.472	83	5.7537
ENSXMAT00000000039	1918	1723.47	7951	260.153
ENSXMAT00000000040	978	783.472	1	0.0719761
ENSXMAT00000000041	2388	2193.47	1828	46.9955
