target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2297.23	89.6065	1.69413
ENSXMAT00000000002	3108	2894.23	889	13.3408
ENSXMAT00000000006	7272	7058.23	1464	9.00859
ENSXMAT00000000004	5150	4936.23	162.394	1.42884
ENSXMAT00000000005	1251	1037.23	30	1.2562
ENSXMAT00000000007	348	153.195	136	38.5573
ENSXMAT00000000009	3432	3218.23	200	2.69913
ENSXMAT00000000008	336	143.277	791	239.778
ENSXMAT00000000010	1533	1319.23	67	2.2058
ENSXMAT00000000011	3366	3152.23	120	1.65339
ENSXMAT00000000012	9969	9755.23	12600	56.0976
ENSXMAT00000000013	975	761.304	76	4.33578
ENSXMAT00000000014	3772	3558.23	2036	24.8517
ENSXMAT00000000017	4496	4282.23	135.661	1.37593
ENSXMAT00000000015	987	773.228	186	10.4476
ENSXMAT00000000016	1472	1258.23	91	3.14118
ENSXMAT00000000018	1947	1733.23	164	4.1096
ENSXMAT00000000019	2277	2063.23	1028	21.64
ENSXMAT00000000020	848	634.304	13	0.890138
ENSXMAT00000000021	6069	5855.23	80	0.593414
ENSXMAT00000000022	3435	3221.23	2871	38.71
ENSXMAT00000000023	726	512.364	615	52.1324
ENSXMAT00000000024	1635	1421.23	1582	48.3453
ENSXMAT00000000025	4570	4356.23	1290.03	12.8618
ENSXMAT00000000026	4160	3946.23	1048.97	11.545
ENSXMAT00000000027	2559	2345.23	339	6.27807
ENSXMAT00000000028	773	559.364	299	23.216
ENSXMAT00000000029	1148	934.228	240	11.1576
ENSXMAT00000000030	2729	2515.23	1078	18.6146
ENSXMAT00000000031	2611	2397.23	13	0.23553
ENSXMAT00000000032	2055	1841.23	63	1.48609
ENSXMAT00000000033	1413	1199.23	284	10.2856
ENSXMAT00000000034	6015	5801.23	142	1.06311
ENSXMAT00000000035	1636	1422.23	2319	70.8179
ENSXMAT00000000036	621	407.892	1	0.106479
ENSXMAT00000000037	3883	3669.23	110	1.30205
ENSXMAT00000000038	1008	794.228	95	5.19505
ENSXMAT00000000039	1918	1704.23	13248	337.625
ENSXMAT00000000040	978	764.228	2	0.113663
ENSXMAT00000000041	2388	2174.23	2696	53.855
ENSXMAT00000000042	4069	3855.23	268.591	3.02588
ENSXMAT00000000043	3803	3589.23	80.4093	0.973008
ENSXMAT00000000044	2503	2289.23	411	7.79766
ENSXMAT00000000045	3957	3743.23	500	5.80143
ENSXMAT00000000046	801	587.364	13	0.961274
ENSXMAT00000000047	1814	1600.23	21	0.569966
ENSXMAT00000000048	4501	4287.23	39	0.395093
ENSXMAT00000000049	2517	2303.23	60.7503	1.14557
ENSXMAT00000000050	1982	1768.23	72	1.7685
ENSXMAT00000000051	3813	3599.23	413.772	4.99302
ENSXMAT00000000053	6759	6545.23	1409	9.3497
ENSXMAT00000000054	2992	2778.23	291	4.54921
ENSXMAT00000000058	5618	5404.23	127	1.02066
ENSXMAT00000000059	4949	4735.23	26	0.238475
ENSXMAT00000000061	879	665.304	267	17.4302
ENSXMAT00000000083	882	668.304	12	0.779863
ENSXMAT00000000067	3968	3754.23	649	7.50819
ENSXMAT00000000060	993	779.228	0	0
ENSXMAT00000000126	2619	2405.23	9	0.162517
ENSXMAT00000000062	204	51.5036	136	114.687
ENSXMAT00000000069	3788	3574.23	566	6.87774
ENSXMAT00000000065	2550	2336.23	55.2331	1.02682
ENSXMAT00000000090	4851	4637.23	414	3.87751
ENSXMAT00000000068	743	529.364	22	1.80501
ENSXMAT00000000070	3031	2817.23	446	6.87581
ENSXMAT00000000071	2226	2012.23	454.961	9.81994
ENSXMAT00000000073	2121	1907.23	11.0386	0.251375
ENSXMAT00000000089	2327	2113.23	319	6.55625
ENSXMAT00000000078	1147	933.228	637	29.6458
ENSXMAT00000000074	600	387.249	355	39.8153
ENSXMAT00000000093	1856	1642.23	1077	28.4835
ENSXMAT00000000085	3427	3213.23	4138	55.932
ENSXMAT00000000110	5551	5337.23	2976.59	24.2222
ENSXMAT00000000077	975	761.304	200	11.4099
ENSXMAT00000000099	5005	4791.23	589	5.33924
ENSXMAT00000000080	3153	2939.23	1575	23.2733
ENSXMAT00000000101	1794	1580.23	712	19.5691
ENSXMAT00000000079	666	452.509	1537	147.522
ENSXMAT00000000082	1401	1187.23	26	0.951153
ENSXMAT00000000100	9733	9519.23	7271	33.1744
ENSXMAT00000000102	4564	4350.23	928	9.26504
