target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2303.16	73.6773	2.05172
ENSXMAT00000000002	3108	2900.16	752	16.6304
ENSXMAT00000000006	7272	7064.16	1067	9.68749
ENSXMAT00000000004	5150	4942.16	114.323	1.48362
ENSXMAT00000000005	1251	1043.16	38	2.33637
ENSXMAT00000000007	348	157.932	59	23.9601
ENSXMAT00000000009	3432	3224.16	79	1.57151
ENSXMAT00000000008	336	148.178	446	193.045
ENSXMAT00000000010	1533	1325.16	33	1.59718
ENSXMAT00000000011	3366	3158.16	104	2.11206
ENSXMAT00000000012	9969	9761.16	7913	51.9933
ENSXMAT00000000013	975	767.157	68	5.68502
ENSXMAT00000000014	3772	3564.16	1424	25.6248
ENSXMAT00000000017	4496	4288.16	137.426	2.05545
ENSXMAT00000000015	987	779.157	149	12.265
ENSXMAT00000000016	1472	1264.16	5	0.253674
ENSXMAT00000000018	1947	1739.16	122	4.49913
ENSXMAT00000000019	2277	2069.16	636	19.7138
ENSXMAT00000000020	848	640.222	5	0.500895
ENSXMAT00000000021	6069	5861.16	47	0.514306
ENSXMAT00000000022	3435	3227.16	1628	32.355
ENSXMAT00000000023	726	518.795	418	51.6758
ENSXMAT00000000024	1635	1427.16	1184	53.2093
ENSXMAT00000000025	4570	4362.16	658.303	9.67903
ENSXMAT00000000026	4160	3952.16	524.697	8.51493
ENSXMAT00000000027	2559	2351.16	327	8.92017
ENSXMAT00000000028	773	565.525	224	25.4041
ENSXMAT00000000029	1148	940.157	149	10.1647
ENSXMAT00000000030	2729	2521.16	605	15.3909
ENSXMAT00000000031	2611	2403.16	4	0.106754
ENSXMAT00000000032	2055	1847.16	29	1.00694
ENSXMAT00000000033	1413	1205.16	213	11.3356
ENSXMAT00000000034	6015	5807.16	99	1.0934
ENSXMAT00000000035	1636	1428.16	1658	74.4588
ENSXMAT00000000036	621	414.193	0	0
ENSXMAT00000000037	3883	3675.16	79	1.37866
ENSXMAT00000000038	1008	800.157	55	4.40854
ENSXMAT00000000039	1918	1710.16	7863	294.89
ENSXMAT00000000040	978	770.157	3	0.249833
ENSXMAT00000000041	2388	2180.16	1848	54.3653
ENSXMAT00000000042	4069	3861.16	179.09	2.97482
ENSXMAT00000000043	3803	3595.16	40.9101	0.729827
ENSXMAT00000000044	2503	2295.16	315	8.80249
ENSXMAT00000000045	3957	3749.16	368	6.29537
ENSXMAT00000000046	801	593.468	18	1.94528
ENSXMAT00000000047	1814	1606.16	12	0.479182
ENSXMAT00000000048	4501	4293.16	35	0.522876
ENSXMAT00000000049	2517	2309.16	31.5197	0.875458
ENSXMAT00000000050	1982	1774.16	13	0.469957
ENSXMAT00000000051	3813	3605.16	305.235	5.43021
ENSXMAT00000000053	6759	6551.16	1786	17.4852
ENSXMAT00000000054	2992	2784.16	155	3.57063
ENSXMAT00000000058	5618	5410.16	69	0.817987
ENSXMAT00000000059	4949	4741.16	32	0.432885
ENSXMAT00000000061	879	671.157	186	17.7745
ENSXMAT00000000083	882	674.157	13	1.23677
ENSXMAT00000000067	3968	3760.16	427	7.28332
ENSXMAT00000000060	993	785.157	6	0.49012
ENSXMAT00000000126	2619	2411.16	8	0.2128
ENSXMAT00000000062	204	54.2035	82	97.0273
ENSXMAT00000000069	3788	3580.16	215	3.85162
ENSXMAT00000000065	2550	2342.16	22.1133	0.605542
ENSXMAT00000000090	4851	4643.16	325	4.48929
ENSXMAT00000000068	743	535.637	7	0.838176
ENSXMAT00000000070	3031	2823.16	347	7.88318
ENSXMAT00000000071	2226	2018.16	238	7.56361
ENSXMAT00000000073	2121	1913.16	0	0
ENSXMAT00000000089	2327	2119.16	287	8.68612
ENSXMAT00000000078	1147	939.157	457	31.2094
ENSXMAT00000000074	600	393.396	259	42.2257
ENSXMAT00000000093	1856	1648.16	667	25.9558
ENSXMAT00000000085	3427	3219.16	2409	47.9956
ENSXMAT00000000110	5551	5343.16	2048.55	24.5898
ENSXMAT00000000077	975	767.157	95	7.94231
ENSXMAT00000000099	5005	4797.16	322	4.30506
ENSXMAT00000000080	3153	2945.16	1001	21.7988
ENSXMAT00000000101	1794	1586.16	438	17.7107
ENSXMAT00000000079	666	458.937	976	136.397
ENSXMAT00000000082	1401	1193.16	24	1.29009
ENSXMAT00000000100	9733	9525.16	5148	34.6636
ENSXMAT00000000102	4564	4356.16	562	8.27447
ENSXMAT00000000084	1344	1136.16	31	1.74997
ENSXMAT00000000092	2825	2617.16	10.2137	0.2503
ENSXMAT00000000096	2822	2614.16	30.7863	0.755323
ENSXMAT00000000086	1494	1286.16	13	0.648271
ENSXMAT00000000087	3157	2949.16	66	1.43533
ENSXMAT00000000088	3236	3028.16	8	0.169441
ENSXMAT00000000097	1365	1157.16	125	6.92827
ENSXMAT00000000091	1240	1032.16	62	3.85259
ENSXMAT00000000095	537	331.814	64	12.3707
ENSXMAT00000000094	760	552.637	38	4.41013
ENSXMAT00000000111	5186	4978.16	56	0.721484
ENSXMAT00000000103	3290	3082.16	705	14.6704
ENSXMAT00000000098	681	473.843	10	1.35354
ENSXMAT00000000106	1651	1443.16	67	2.97761
ENSXMAT00000000104	540	334.713	97.9682	18.7724
ENSXMAT00000000113	3263	3055.16	33	0.692768
ENSXMAT00000000112	6614	6406.16	702	7.02824
ENSXMAT00000000108	1656	1448.16	6	0.265731
ENSXMAT00000000118	2568	2360.16	31	0.842419
ENSXMAT00000000115	1513	1305.16	1467	72.0899
ENSXMAT00000000105	1240	1032.16	77.0318	4.78665
ENSXMAT00000000109	618	411.235	698	108.861
ENSXMAT00000000107	174	39.1528	0	0
ENSXMAT00000000132	1697	1489.16	8	0.344554
ENSXMAT00000000116	3607	3399.16	14	0.264158
ENSXMAT00000000124	3744	3536.16	3148	57.0966
ENSXMAT00000000114	6226	6018.16	391.453	4.1718
ENSXMAT00000000123	1173	965.157	9	0.59807
ENSXMAT00000000119	1290	1082.16	150	8.89013
ENSXMAT00000000122	3776	3568.16	380	6.83041
ENSXMAT00000000121	3270	3062.16	0	0
ENSXMAT00000000125	2850	2642.16	46	1.11662
ENSXMAT00000000142	1769	1561.16	168	6.90192
ENSXMAT00000000127	4057	3849.16	553	9.21439
ENSXMAT00000000129	630	423.068	2	0.303198
ENSXMAT00000000128	1605	1397.16	90	4.13147
ENSXMAT00000000133	3430	3222.16	182.377	3.63019
ENSXMAT00000000131	3752	3544.16	131	2.37064
ENSXMAT00000000184	3120	2912.16	3	0.0660714
ENSXMAT00000000144	2586	2378.16	249	6.71531
ENSXMAT00000000135	2426	2218.16	266	7.69124
ENSXMAT00000000130	2627	2419.16	771	20.4408
ENSXMAT00000000143	2901	2693.16	4532	107.928
ENSXMAT00000000134	4226	4018.16	216	3.44774
ENSXMAT00000000136	1965	1757.16	412	15.0381
ENSXMAT00000000137	1523	1315.16	102	4.97428
ENSXMAT00000000153	5549	5341.16	122.104	1.46623
ENSXMAT00000000138	1308	1100.16	187	10.9017
ENSXMAT00000000139	1251	1043.16	1	0.0614834
ENSXMAT00000000145	939	731.157	457	40.0879
ENSXMAT00000000149	2170	1962.16	878	28.6991
ENSXMAT00000000140	855	647.222	240	23.7829
ENSXMAT00000000141	1353	1145.16	0	0
ENSXMAT00000000156	2479	2271.16	470.999	13.3009
