target_id	length	eff_length	est_counts	tpm
g1.t1	945	746.933	0	0
g2.t1	759	561.167	103	12.7103
g3.t1	597	400.871	479	82.745
g4.t1	1695	1496.86	413	19.1065
g5.t1	4182	3983.86	62	1.0777
g6.t1	1749	1550.86	368	16.4319
g7.t1	1863	1664.86	235	9.77468
g10.t1	732	534.221	4	0.518502
g11.t1	1302	1103.86	64	4.01494
g12.t1	777	579.053	68	8.13208
g13.t1	1758	1559.86	303	13.4515
g15.t1	1350	1151.86	236	14.1881
g16.t1	963	764.933	20	1.81058
g17.t1	1830	1631.86	153	6.49263
g18.t1	429	239.208	658	190.485
g19.t1	1395	1196.86	195	11.2825
g20.t1	3411	3212.86	454	9.78534
g21.t1	579	383.225	7	1.2649
g22.t1	450	258.896	4	1.06991
g23.t1	465	273.086	161	40.8261
g25.t1	1650	1451.86	401	19.1264
g27.t1	420	230.859	9	2.69964
g28.t1	225	73.6494	202	189.93
g29.t1	1092	893.856	3677	284.864
g30.t1	2463	2264.86	552	16.8776
g32.t1	1362	1163.86	99.865	5.9419
g33.t1	2235	2036.86	174	5.91562
g36.t1	1251	1052.86	49	3.22284
g38.t1	2406	2207.86	428	13.4241
g39.t1	1992	1793.86	88	3.39708
g40.t1	2148	1949.86	393	13.9573
g42.t1	750	552.167	93	11.6634
g43.t1	486	292.882	63	14.8956
g44.t1	1815	1616.86	214	9.16545
g48.t1	1656	1457.86	15	0.712505
g50.t1	597	400.871	20	3.45491
g52.t1	645	448.151	0	0
g53.t1	777	579.053	127	15.1879
g54.t1	1548	1349.86	46	2.35984
g55.t1	843	644.933	194	20.8304
g56.t1	1257	1058.86	395	25.8328
g62.t1	1047	848.856	1	0.0815788
g69.t1	594	397.951	0	0
g70.t1	438	247.538	1	0.27975
g75.t1	786	588.053	0	0
g79.t1	411	222.561	4	1.24458
g81.t1	294	122.2	25	14.1671
g84.t1	1224	1025.86	23	1.55258
g85.t1	939	740.933	183	17.1034
g89.t1	1050	851.856	241	19.5912
g92.t1	783	585.053	210	24.8562
g95.t1	735	537.167	11	1.41806
g96.t1	1515	1316.86	287	15.0923
g97.t1	2211	2012.86	497	17.0984
g98.t1	327	148.735	1121	521.921
g100.t1	726	528.221	10	1.31098
g105.t1	1590	1391.86	165	8.2092
g106.t1	1890	1691.86	16	0.654889
g108.t1	621	424.457	67	10.9308
g111.t1	1800	1601.86	492	21.2693
g112.t1	1146	947.856	1629	119.012
g113.t1	1821	1622.86	14	0.597392
g114.t1	678	480.733	1	0.144048
g115.t1	531	336.549	1	0.205761
g116.t1	1026	827.856	33	2.76039
g117.t1	1530	1331.86	294	15.2863
g119.t1	3897	3698.86	61	1.14202
g123.t1	846	647.933	607.679	64.9465
g124.t1	969	770.856	112	10.0613
g125.t1	681	483.733	69	9.87768
g126.t1	1473	1274.86	209	11.3526
g127.t1	612	415.626	119	19.8269
g128.t1	1665	1466.86	40	1.88836
g129.t1	1473	1274.86	699	37.9688
g130.t1	1272	1073.86	659	42.4963
g131.t1	5982	5783.86	564	6.75263
g132.t1	3195	2996.86	731	16.8913
g134.t1	393	206.291	3	1.00705
g136.t1	2820	2621.86	1473	38.905
g137.t1	684	486.733	15	2.13409
g138.t1	1824	1625.86	23	0.979619
g139.t1	486	292.882	2	0.472878
g141.t1	2490	2291.86	387	11.6932
g144.t1	594	397.951	10	1.74013
g148.t1	2163	1964.86	135	4.75789
g149.t1	1239	1040.86	193	12.8404
g150.t1	513	319.144	2	0.433965
g155.t1	666	468.875	42	6.20303
g156.t1	696	498.684	127	17.6356
g157.t1	813	614.933	2	0.225223
g158.t1	1473	1274.86	41	2.22707
g159.t1	7320	7121.86	3649	35.4807
g162.t1	5631	5432.86	1107	14.1101
g164.t1	2895	2696.86	640	16.4336
g165.t1	1758	1559.86	232.244	10.3103
g166.t1	1902	1703.86	717	29.1405
g167.t1	513	319.144	73	15.8397
g169.t1	4161	3962.86	851	14.8707
g171.t1	384	198.151	284	99.2507
g172.t1	1854	1655.86	299	12.5043
g174.t1	1656	1457.86	128	6.08004
g175.t1	405	217.15	714	227.693
g176.t1	2262	2063.86	38	1.27502
g177.t1	1011	812.856	2.00401	0.170725
g178.t1	1011	812.856	4	0.340767
g179.t1	2424	2225.86	969	30.1466
g180.t1	1770	1571.86	496	21.8514
g181.t1	1557	1358.86	469.28	23.915
g183.t1	852	653.933	483	51.1476
g184.t1	1953	1754.86	369	14.5612
g185.t1	1257	1058.86	0	0
g186.t1	5715	5516.86	100	1.25522
g187.t1	1644	1445.86	5066	242.634
g188.t1	2079	1880.86	794	29.2332
g189.t1	1467	1268.86	98	5.34841
g190.t1	3507	3308.86	15	0.313924
g191.t1	1323	1124.86	0	0
g193.t1	390	203.482	907	308.668
g196.t1	1011	812.856	732	62.3604
g197.t1	336	156.276	1148.3	508.834
g199.t1	567	371.564	86	16.0279
g200.t1	1251	1052.86	206	13.5491
g201.t1	1404	1205.86	0	0
g202.t1	2133	1934.86	518	18.5393
g203.t1	1365	1166.86	87	5.16313
g204.t1	7209	7010.86	4118	40.6749
g205.t1	1290	1091.86	317	20.105
g206.t1	1467	1268.86	238	12.989
g208.t1	4614	4415.86	1176	18.4418
g211.t1	714	516.378	130	17.4336
g213.t1	852	653.933	476	50.4063
g216.t1	576	380.263	454	82.6768
g217.t1	222	71.6686	711.459	687.436
g222.t1	3093	2894.86	536	12.8218
g223.t1	3201	3002.86	170	3.92036
g225.t1	1677	1478.86	6	0.280955
g226.t1	402	214.417	41	13.2414
g227.t1	2058	1859.86	370	13.7763
g228.t1	3093	2894.86	880	21.0507
g229.t1	1812	1613.86	193	8.2814
g230.t1	1497	1298.86	81	4.31852
g231.t1	891	692.933	1165	116.425
g232.t1	477	284.435	0	0
g233.t1	3396	3197.86	1177	25.4876
g234.t1	1347	1148.86	172	10.3675
g235.t1	846	647.933	3	0.320629
g237.t1	4554	4355.86	82	1.30362
g241.t1	1632	1433.86	54	2.60795
g243.t1	1305	1106.86	884	55.306
g244.t1	1056	857.856	2	0.161446
g245.t1	825	626.933	103	11.377
g246.t1	2901	2702.86	2111	54.085
g248.t1	1107	908.856	405	30.8582
g252.t1	3654	3455.86	1654	33.143
g253.t1	429	239.208	8	2.31593
g254.t1	804	605.933	16	1.82855
g255.t1	2526	2327.86	416	12.3751
g256.t1	1017	818.856	226.404	19.1464
g258.t1	363	179.412	3	1.15793
g259.t1	1971	1772.86	516	20.1552
g260.t1	2268	2069.86	1312	43.894
g261.t1	999	800.856	586	50.6704
g262.t1	6501	6302.86	3922	43.0905
g263.t1	900	701.933	22	2.17039
g264.t1	1239	1040.86	34	2.26204
g265.t1	2889	2690.86	5	0.128674
g266.t1	2829	2630.86	15	0.394826
g267.t1	2067	1868.86	1935	71.6995
g269.t1	657	460.015	24	3.61286
g270.t1	309	134.27	508.356	262.18
g271.t1	1494	1295.86	4176	223.159
g272.t1	588	392.031	342	60.4111
g273.t1	717	519.326	78	10.4008
g274.t1	1206	1007.86	170	11.6805
g275.t1	351	168.994	35	14.3419
g276.t1	1968	1769.86	52	2.03459
g277.t1	354	171.524	18	7.26707
g278.t1	3267	3068.86	204	4.60325
g279.t1	1401	1202.86	476	27.4034
g280.t1	3195	2996.86	362	8.36477
g282.t1	1140	941.856	46	3.38209
g283.t1	1245	1046.86	0	0
g285.t1	915	716.933	37	3.57383
g286.t1	2898	2699.86	109	2.79574
g287.t1	2352	2153.86	139	4.46899
g288.t1	4266	4067.86	507	8.63085
g290.t1	1266	1067.86	9	0.583635
g291.t1	696	498.684	6393	887.75
g292.t1	3837	3638.86	1609	30.6198
g294.t1	426	236.452	39	11.4218
g296.t1	2607	2408.86	238	6.84191
g298.t1	1233	1034.86	403.41	26.9947
g300.t1	3099	2900.86	165	3.93885
g301.t1	357	174.194	373	148.281
g302.t1	1308	1109.86	389	24.2714
g303.t1	2235	2036.86	211	7.17354
g304.t1	720	522.326	2	0.265155
g306.t1	6183	5984.86	1040	12.0335
g307.t1	1968	1769.86	339	13.264
g308.t1	1809	1610.86	193	8.29682
g309.t1	2043	1844.86	19	0.713185
g310.t1	825	626.933	8	0.88365
g311.t1	489	295.792	234	54.7823
g312.t1	1884	1685.86	5682	233.395
g313.t1	1455	1256.86	610	33.609
g314.t1	2760	2561.86	153	4.13569
g316.t1	1128	929.856	418	31.1295
g317.t1	3672	3473.86	913	18.2
g319.t1	231	77.3642	6	5.3706
g320.t1	1746	1547.86	0	0
g321.t1	4086	3887.86	37	0.659027
g322.t1	300	126.94	3	1.63657
g323.t1	483	290.029	66	15.7585
g324.t1	396	209.162	3	0.993229
g325.t1	10704	10505.9	4508	29.7142
g327.t1	813	614.933	885	99.6613
g328.t1	906	707.933	4	0.391272
g329.t1	459	267.333	413	106.981
g330.t1	2208	2009.86	278	9.57836
g331.t1	744	546.167	193	24.4705
g332.t1	771	573.111	355	42.8944
g336.t1	777	579.053	612	73.1887
g337.t1	1089	890.856	0	0
g338.t1	483	290.029	129	30.8006
g340.t1	2133	1934.86	3858	138.078
g341.t1	3099	2900.86	290	6.92282
g342.t1	1071	872.856	244	19.3579
g343.t1	1494	1295.86	131	7.00045
g344.t1	1515	1316.86	304	15.9862
g345.t1	1302	1103.86	5	0.313667
g346.t1	1104	905.856	5	0.382228
g347.t1	1665	1466.86	18	0.84976
g348.t1	426	236.452	1706	499.628
g349.t1	2370	2171.86	25	0.797114
g350.t1	1740	1541.86	11	0.494038
g351.t1	3426	3227.86	61	1.30866
g353.t1	1386	1187.86	4903	285.831
g354.t1	1137	938.856	565	41.6736
g355.t1	693	495.684	2195	306.649
g356.t1	987	788.856	164	14.3965
g357.t1	672	474.78	0	0
g358.t1	1422	1223.86	1325	74.9716
g359.t1	1350	1151.86	489	29.3983
g361.t1	849	650.933	75	7.97877
g362.t1	1956	1757.86	218	8.58785
g363.t1	1377	1178.86	113	6.63787
g364.t1	4887	4688.86	44	0.649826
g365.t1	1863	1664.86	105	4.36741
g366.t1	5619	5420.86	1690	21.5889
g367.t1	405	217.15	46	14.6693
g368.t1	840	641.933	32.7058	3.52815
g369.t1	828	629.933	3	0.32979
g370.t1	1278	1079.86	1	0.0641277
g371.t1	2595	2396.86	6	0.173349
g372.t1	1032	833.856	10	0.830463
g373.t1	2442	2243.86	1368	42.2185
g374.t1	2838	2639.86	202	5.29886
g375.t1	2430	2231.86	1436	44.5553
g376.t1	948	749.933	1	0.0923398
g377.t1	3183	2984.86	495	11.484
g379.t1	1638	1439.86	436	20.969
g380.t1	4455	4256.86	938	15.259
g381.t1	3519	3320.86	15	0.31279
g382.t1	495	301.582	1876	430.764
g383.t1	339	158.733	375	163.597
g384.t1	5466	5267.86	72	0.946477
g385.t1	5223	5024.86	37	0.509905
g386.t1	1086	887.856	2076	161.918
g387.t1	3387	3188.86	235	5.10322
g388.t1	1506	1307.86	338	17.8965
g389.t1	3006	2807.86	125	3.08281
g390.t1	1875	1676.86	1469	60.6649
g391.t1	1248	1049.86	82	5.40873
g392.t1	1791	1592.86	45	1.95635
g393.t1	774	576.053	81	9.73719
g394.t1	888	689.933	707	70.9617
g395.t1	705	507.583	12	1.63714
g396.t1	3195	2996.86	1798	41.5466
g397.t1	300	126.94	7	3.81867
g398.t1	237	81.1791	366	312.211
g399.t1	1176	977.856	117	8.28557
g400.t1	1098	899.856	43	3.30908
g401.t1	1743	1544.86	6325	283.52
g402.t1	3264	3065.86	154	3.47841
g403.t1	2316	2117.86	517	16.9046
g404.t1	1557	1358.86	25	1.27402
g405.t1	2496	2297.86	24	0.723269
g406.t1	714	516.378	341	45.7297
g408.t1	1758	1559.86	1372	60.9089
g409.t1	1245	1046.86	232	15.3466
g410.t1	1467	1268.86	163	8.89583
g411.t1	1410	1211.86	318	18.1714
g412.t1	2628	2429.86	4	0.113996
g413.t1	846	647.933	4	0.427505
g414.t1	912	713.933	7	0.678972
g415.t1	2016	1817.86	8	0.304749
g416.t1	4839	4640.86	8	0.119372
g417.t1	1731	1532.86	197	8.89972
g418.t1	3339	3140.86	462	10.186
g419.t1	2637	2438.86	33	0.936999
g420.t1	1410	1211.86	55	3.14284
g421.t1	2187	1988.86	20	0.696367
g422.t1	534	339.446	530	108.122
g423.t1	2511	2312.86	120	3.59289
g424.t1	2094	1895.86	126	4.60232
g426.t1	2730	2531.86	688	18.8174
g427.t1	1533	1334.86	352	18.2608
g428.t1	2829	2630.86	141	3.71136
g429.t1	939	740.933	969	90.5641
g431.t1	1098	899.856	67	5.156
g432.t1	2226	2027.86	397	13.557
g434.t1	954	755.933	5	0.458034
g435.t1	1356	1157.86	26	1.555
g436.t1	1338	1139.86	68	4.13114
g437.t1	1314	1115.86	86	5.33705
g438.t1	1338	1139.86	2092	127.093
g439.t1	2139	1940.86	209	7.457
g440.t1	417	228.166	64	19.4241
g441.t1	3075	2876.86	1695	40.8003
g442.t1	489	295.792	33	7.72571
g443.t1	2943	2744.86	16	0.403656
g444.t1	642	445.196	252	39.1977
g445.t1	1164	965.856	260	18.6411
g446.t1	3018	2819.86	304	7.46548
g447.t1	1419	1220.86	12	0.680657
g448.t1	1272	1073.86	3	0.193458
g449.t1	1605	1406.86	374	18.4091
g450.t1	474	281.579	3	0.737789
g451.t1	1473	1274.86	215	11.6785
g452.t1	3102	2903.86	29	0.691567
g454.t1	2934	2735.86	600	15.1869
g458.t1	972	773.856	776	69.4405
g459.t1	1971	1772.86	456	17.8116
g460.t1	2211	2012.86	145	4.98846
g462.t1	471	278.749	61	15.154
g463.t1	2961	2762.86	0	0
g464.t1	966	767.933	466	42.0217
g465.t1	543	348.032	69	13.7291
g468.t1	1479	1280.86	173	9.35313
g471.t1	360	176.712	910	356.604
g472.t1	1821	1622.86	35	1.49348
g473.t1	1779	1580.86	19	0.832286
g474.t1	1107	908.856	9337	711.416
g475.t1	1185	986.856	2568	180.199
g477.t1	3588	3389.86	300	6.12846
g478.t1	5058	4859.86	2410	34.3404
g479.t1	2235	2036.86	0	0
g480.t1	810	611.933	27	3.05542
g481.t1	1539	1340.86	235	12.1366
g482.t1	1074	875.856	221	17.4731
g483.t1	627	430.329	92	14.8047
g484.t1	4221	4022.86	131	2.25501
g485.t1	1587	1388.86	654	32.6086
g486.t1	1614	1415.86	0	0
g487.t1	2460	2261.86	250	7.65396
g488.t1	1554	1355.86	2	0.102147
g489.t1	2001	1802.86	125	4.80132
g490.t1	2286	2087.86	6249	207.263
g491.t1	1989	1790.86	1058	40.9106
g493.t1	600	403.75	337	57.8001
g494.t1	1248	1049.86	204	13.4559
g495.t1	3087	2888.86	192	4.60242
g496.t1	1422	1223.86	155	8.77026
g498.t1	1824	1625.86	442	18.8257
g499.t1	687	489.684	0	0
g500.t1	1251	1052.86	1116	73.4018
g501.t1	1077	878.856	34	2.679
g502.t1	2883	2684.86	251	6.47387
g503.t1	1470	1271.86	49	2.6679
g504.t1	435	244.713	4	1.13192
g505.t1	2166	1967.86	728	25.6182
g506.t1	624	427.372	138	22.3607
g507.t1	5004	4805.86	21	0.302594
g508.t1	786	588.053	307	36.1521
g509.t1	2871	2672.86	689	17.8507
g512.t1	2886	2687.86	86	2.21566
g513.t1	768	570.111	18	2.18637
g514.t1	1344	1145.86	242	14.625
g516.t1	1008	809.856	214	18.2986
g519.t1	1062	863.856	34	2.72552
