target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2293.11	89.2872	1.81462
ENSXMAT00000000002	3108	2890.11	1355	21.8497
ENSXMAT00000000006	7272	7054.11	1430	9.44745
ENSXMAT00000000004	5150	4932.11	161.713	1.52803
ENSXMAT00000000005	1251	1033.11	36	1.62397
ENSXMAT00000000007	348	149.302	98	30.5901
ENSXMAT00000000009	3432	3214.11	255	3.69743
ENSXMAT00000000008	336	139.723	730	243.487
ENSXMAT00000000010	1533	1315.11	25.0163	0.886509
ENSXMAT00000000011	3366	3148.11	148	2.19095
ENSXMAT00000000012	9969	9751.11	11163	53.3515
ENSXMAT00000000013	975	757.108	44	2.70842
ENSXMAT00000000014	3772	3554.11	2094	27.4579
ENSXMAT00000000017	4496	4278.11	70.0383	0.762965
ENSXMAT00000000015	987	769.108	153	9.27096
ENSXMAT00000000016	1472	1254.11	1	0.0371608
ENSXMAT00000000018	1947	1729.11	164	4.4202
ENSXMAT00000000019	2277	2059.11	878	19.8717
ENSXMAT00000000020	848	630.177	4	0.295814
ENSXMAT00000000021	6069	5851.11	79	0.62923
ENSXMAT00000000022	3435	3217.11	2368	34.3034
ENSXMAT00000000023	726	508.291	578	52.9951
ENSXMAT00000000024	1635	1417.11	1451	47.7183
ENSXMAT00000000025	4570	4352.11	1164.4	12.4687
ENSXMAT00000000026	4160	3942.11	620.605	7.33681
ENSXMAT00000000027	2559	2341.11	371	7.38538
ENSXMAT00000000028	773	555.239	242	20.3121
ENSXMAT00000000029	1148	930.108	187	9.36977
ENSXMAT00000000030	2729	2511.11	1032	19.1529
ENSXMAT00000000031	2611	2393.11	21	0.408957
ENSXMAT00000000032	2055	1837.11	36	0.913247
ENSXMAT00000000033	1413	1195.11	254	9.90483
ENSXMAT00000000034	6015	5797.11	134	1.07724
ENSXMAT00000000035	1636	1418.11	2197	72.2007
ENSXMAT00000000036	621	403.959	0	0
ENSXMAT00000000037	3883	3665.11	129	1.6403
ENSXMAT00000000038	1008	790.108	77	4.54177
ENSXMAT00000000039	1918	1700.11	10960	300.438
ENSXMAT00000000040	978	760.108	1	0.061312
ENSXMAT00000000041	2388	2170.11	2684	57.6397
ENSXMAT00000000042	4069	3851.11	300.789	3.63996
ENSXMAT00000000043	3803	3585.11	55.2114	0.717707
ENSXMAT00000000044	2503	2285.11	395	8.05584
ENSXMAT00000000045	3957	3739.11	462	5.7583
ENSXMAT00000000046	801	583.239	17	1.35838
ENSXMAT00000000047	1814	1596.11	12	0.35038
ENSXMAT00000000048	4501	4283.11	40	0.435233
ENSXMAT00000000049	2517	2299.11	73.7218	1.49437
ENSXMAT00000000050	1982	1764.11	18	0.475519
ENSXMAT00000000051	3813	3595.11	427.147	5.53714
ENSXMAT00000000053	6759	6541.11	1655	11.7914
ENSXMAT00000000054	2992	2774.11	289	4.85506
ENSXMAT00000000058	5618	5400.11	129	1.11329
ENSXMAT00000000059	4949	4731.11	35	0.344767
ENSXMAT00000000061	879	661.177	249	17.551
ENSXMAT00000000083	882	664.177	27	1.89453
ENSXMAT00000000067	3968	3750.11	847	10.5259
ENSXMAT00000000060	993	775.108	2	0.120251
ENSXMAT00000000126	2619	2401.11	0	0
ENSXMAT00000000062	204	53.9955	93	80.2687
ENSXMAT00000000069	3788	3570.11	300	3.91616
ENSXMAT00000000065	2550	2332.11	48.8528	0.976251
ENSXMAT00000000090	4851	4633.11	407	4.09395
ENSXMAT00000000068	743	525.239	15	1.33093
ENSXMAT00000000070	3031	2813.11	470	7.78632
ENSXMAT00000000071	2226	2008.11	437.345	10.1498
ENSXMAT00000000073	2121	1903.11	2.65466	0.0650079
ENSXMAT00000000089	2327	2109.11	312	6.89408
ENSXMAT00000000078	1147	929.108	520	26.083
ENSXMAT00000000074	600	383.469	289	35.1227
ENSXMAT00000000093	1856	1638.11	901	25.6332
ENSXMAT00000000085	3427	3209.11	3612	52.4546
ENSXMAT00000000110	5551	5333.11	3396.81	29.6832
ENSXMAT00000000077	975	757.108	157	9.66412
ENSXMAT00000000099	5005	4787.11	376	3.66046
ENSXMAT00000000080	3153	2935.11	1357	21.5465
ENSXMAT00000000101	1794	1576.11	611	18.0666
ENSXMAT00000000079	666	448.573	1113	115.633
ENSXMAT00000000082	1401	1183.11	39	1.53625
ENSXMAT00000000100	9733	9515.11	7431	36.396
ENSXMAT00000000102	4564	4346.11	754	8.08521
ENSXMAT00000000084	1344	1126.11	9	0.372463
ENSXMAT00000000092	2825	2607.11	72.3834	1.2939
ENSXMAT00000000096	2822	2604.11	65.6166	1.17429
ENSXMAT00000000086	1494	1276.11	9	0.328682
ENSXMAT00000000087	3157	2939.11	28	0.44398
ENSXMAT00000000088	3236	3018.11	5	0.0772068
ENSXMAT00000000097	1365	1147.11	160	6.50034
ENSXMAT00000000091	1240	1022.11	92	4.1948
ENSXMAT00000000095	537	321.787	77	11.1517
ENSXMAT00000000094	760	542.239	59	5.07086
ENSXMAT00000000111	5186	4968.11	116	1.08815
ENSXMAT00000000103	3290	3072.11	979	14.8514
ENSXMAT00000000098	681	463.436	25	2.51403
ENSXMAT00000000106	1651	1433.11	76	2.47147
ENSXMAT00000000104	540	324.625	122.25	17.5505
ENSXMAT00000000113	3263	3045.11	59	0.902963
ENSXMAT00000000112	6614	6396.11	975	7.1041
ENSXMAT00000000108	1656	1438.11	16	0.5185
ENSXMAT00000000118	2568	2350.11	30	0.594914
ENSXMAT00000000115	1513	1295.11	1848	66.4992
ENSXMAT00000000105	1240	1022.11	107.75	4.91292
ENSXMAT00000000109	618	401.039	1049	121.902
ENSXMAT00000000107	174	40.51	1	1.15042
ENSXMAT00000000132	1697	1479.11	4	0.126032
ENSXMAT00000000116	3607	3389.11	18	0.247518
ENSXMAT00000000124	3744	3526.11	4824	63.7576
ENSXMAT00000000114	6226	6008.11	401.19	3.11195
ENSXMAT00000000123	1173	955.108	9	0.439148
ENSXMAT00000000119	1290	1072.11	214	9.30242
ENSXMAT00000000122	3776	3558.11	559	7.32172
ENSXMAT00000000121	3270	3052.11	0	0
ENSXMAT00000000125	2850	2632.11	59	1.04465
ENSXMAT00000000142	1769	1551.11	223	6.70013
ENSXMAT00000000127	4057	3839.11	842	10.2212
ENSXMAT00000000129	630	412.918	7	0.790051
ENSXMAT00000000128	1605	1387.11	133	4.4685
ENSXMAT00000000133	3430	3212.11	319.885	4.64114
ENSXMAT00000000131	3752	3534.11	201	2.65055
ENSXMAT00000000184	3120	2902.11	4	0.0642343
ENSXMAT00000000144	2586	2368.11	460	9.05267
ENSXMAT00000000135	2426	2208.11	358	7.55585
ENSXMAT00000000130	2627	2409.11	1237	23.9295
ENSXMAT00000000143	2901	2683.11	6667	115.801
ENSXMAT00000000134	4226	4008.11	308	3.58123
ENSXMAT00000000136	1965	1747.11	497	13.2574
ENSXMAT00000000137	1523	1305.11	159	5.67768
