	chr	pos	lod
ScyDAA6-2-HRSCAF-26:98178	ScyDAA6-2-HRSCAF-26	0.098178	0.018875563
ScyDAA6-2-HRSCAF-26:119444	ScyDAA6-2-HRSCAF-26	0.119444	0.018886256
ScyDAA6-2-HRSCAF-26:146911	ScyDAA6-2-HRSCAF-26	0.146911	0.018894237
ScyDAA6-2-HRSCAF-26:170193	ScyDAA6-2-HRSCAF-26	0.170193	0.01890102
ScyDAA6-2-HRSCAF-26:190367	ScyDAA6-2-HRSCAF-26	0.190367	0.019445047
ScyDAA6-2-HRSCAF-26:211257	ScyDAA6-2-HRSCAF-26	0.211257	0.020141918
ScyDAA6-2-HRSCAF-26:231655	ScyDAA6-2-HRSCAF-26	0.231655	0.020147886
ScyDAA6-2-HRSCAF-26:251818	ScyDAA6-2-HRSCAF-26	0.251818	0.020153764
ScyDAA6-2-HRSCAF-26:272053	ScyDAA6-2-HRSCAF-26	0.272053	0.020159677
ScyDAA6-2-HRSCAF-26:292470	ScyDAA6-2-HRSCAF-26	0.29247	0.020165579
ScyDAA6-2-HRSCAF-26:312955	ScyDAA6-2-HRSCAF-26	0.312955	0.020171341
ScyDAA6-2-HRSCAF-26:333535	ScyDAA6-2-HRSCAF-26	0.333535	0.020177143
ScyDAA6-2-HRSCAF-26:355301	ScyDAA6-2-HRSCAF-26	0.355301	0.020183294
ScyDAA6-2-HRSCAF-26:378846	ScyDAA6-2-HRSCAF-26	0.378846	0.020189967
ScyDAA6-2-HRSCAF-26:399794	ScyDAA6-2-HRSCAF-26	0.399794	0.020195918
ScyDAA6-2-HRSCAF-26:420054	ScyDAA6-2-HRSCAF-26	0.420054	0.020201689
ScyDAA6-2-HRSCAF-26:440646	ScyDAA6-2-HRSCAF-26	0.440646	0.020207567
ScyDAA6-2-HRSCAF-26:462057	ScyDAA6-2-HRSCAF-26	0.462057	0.020213695
ScyDAA6-2-HRSCAF-26:482291	ScyDAA6-2-HRSCAF-26	0.482291	0.0202195
ScyDAA6-2-HRSCAF-26:502730	ScyDAA6-2-HRSCAF-26	0.50273	0.020225378
ScyDAA6-2-HRSCAF-26:523441	ScyDAA6-2-HRSCAF-26	0.523441	0.020231348
ScyDAA6-2-HRSCAF-26:543563	ScyDAA6-2-HRSCAF-26	0.543563	0.020237213
ScyDAA6-2-HRSCAF-26:563782	ScyDAA6-2-HRSCAF-26	0.563782	0.021295283
ScyDAA6-2-HRSCAF-26:583966	ScyDAA6-2-HRSCAF-26	0.583966	0.022386493
ScyDAA6-2-HRSCAF-26:604809	ScyDAA6-2-HRSCAF-26	0.604809	0.023548377
ScyDAA6-2-HRSCAF-26:625313	ScyDAA6-2-HRSCAF-26	0.625313	0.024724348
ScyDAA6-2-HRSCAF-26:645639	ScyDAA6-2-HRSCAF-26	0.645639	0.025920534
ScyDAA6-2-HRSCAF-26:665961	ScyDAA6-2-HRSCAF-26	0.665961	0.027144806
ScyDAA6-2-HRSCAF-26:686191	ScyDAA6-2-HRSCAF-26	0.686191	0.02838961
ScyDAA6-2-HRSCAF-26:706436	ScyDAA6-2-HRSCAF-26	0.706436	0.029659235
ScyDAA6-2-HRSCAF-26:726516	ScyDAA6-2-HRSCAF-26	0.726516	0.030939931
ScyDAA6-2-HRSCAF-26:746922	ScyDAA6-2-HRSCAF-26	0.746922	0.032260951
ScyDAA6-2-HRSCAF-26:767486	ScyDAA6-2-HRSCAF-26	0.767486	0.033609675
ScyDAA6-2-HRSCAF-26:788393	ScyDAA6-2-HRSCAF-26	0.788393	0.03499628
ScyDAA6-2-HRSCAF-26:808704	ScyDAA6-2-HRSCAF-26	0.808704	0.035007596
ScyDAA6-2-HRSCAF-26:828830	ScyDAA6-2-HRSCAF-26	0.82883	0.035018759
ScyDAA6-2-HRSCAF-26:849789	ScyDAA6-2-HRSCAF-26	0.849789	0.035030403
ScyDAA6-2-HRSCAF-26:869879	ScyDAA6-2-HRSCAF-26	0.869879	0.035041567
ScyDAA6-2-HRSCAF-26:890716	ScyDAA6-2-HRSCAF-26	0.890716	0.034770286
ScyDAA6-2-HRSCAF-26:911446	ScyDAA6-2-HRSCAF-26	0.911446	0.03455292
ScyDAA6-2-HRSCAF-26:932817	ScyDAA6-2-HRSCAF-26	0.932817	0.03438404
ScyDAA6-2-HRSCAF-26:953132	ScyDAA6-2-HRSCAF-26	0.953132	0.034275778
ScyDAA6-2-HRSCAF-26:973283	ScyDAA6-2-HRSCAF-26	0.973283	0.034218942
ScyDAA6-2-HRSCAF-26:993563	ScyDAA6-2-HRSCAF-26	0.993563	0.032892353
ScyDAA6-2-HRSCAF-26:1013786	ScyDAA6-2-HRSCAF-26	1.013786	0.031621578
ScyDAA6-2-HRSCAF-26:1034066	ScyDAA6-2-HRSCAF-26	1.034066	0.03039996
ScyDAA6-2-HRSCAF-26:1054440	ScyDAA6-2-HRSCAF-26	1.05444	0.029226383
ScyDAA6-2-HRSCAF-26:1084693	ScyDAA6-2-HRSCAF-26	1.084693	0.027573631
ScyDAA6-2-HRSCAF-26:1105813	ScyDAA6-2-HRSCAF-26	1.105813	0.026491327
ScyDAA6-2-HRSCAF-26:1126297	ScyDAA6-2-HRSCAF-26	1.126297	0.02549829
ScyDAA6-2-HRSCAF-26:1146454	ScyDAA6-2-HRSCAF-26	1.146454	0.024575985
ScyDAA6-2-HRSCAF-26:1172898	ScyDAA6-2-HRSCAF-26	1.172898	0.023449175
ScyDAA6-2-HRSCAF-26:1196134	ScyDAA6-2-HRSCAF-26	1.196134	0.022537521
ScyDAA6-2-HRSCAF-26:1216277	ScyDAA6-2-HRSCAF-26	1.216277	0.021806994
ScyDAA6-2-HRSCAF-26:1241467	ScyDAA6-2-HRSCAF-26	1.241467	0.020972
ScyDAA6-2-HRSCAF-26:1278493	ScyDAA6-2-HRSCAF-26	1.278493	0.01990413
ScyDAA6-2-HRSCAF-26:1299375	ScyDAA6-2-HRSCAF-26	1.299375	0.019157674
ScyDAA6-2-HRSCAF-26:1320092	ScyDAA6-2-HRSCAF-26	1.320092	0.018485482
ScyDAA6-2-HRSCAF-26:1340392	ScyDAA6-2-HRSCAF-26	1.340392	0.01789336
ScyDAA6-2-HRSCAF-26:1360923	ScyDAA6-2-HRSCAF-26	1.360923	0.017361947
ScyDAA6-2-HRSCAF-26:1381592	ScyDAA6-2-HRSCAF-26	1.381592	0.016895904
ScyDAA6-2-HRSCAF-26:1401968	ScyDAA6-2-HRSCAF-26	1.401968	0.016504562
ScyDAA6-2-HRSCAF-26:1422225	ScyDAA6-2-HRSCAF-26	1.422225	0.016204406
ScyDAA6-2-HRSCAF-26:1442334	ScyDAA6-2-HRSCAF-26	1.442334	0.015970945
ScyDAA6-2-HRSCAF-26:1463042	ScyDAA6-2-HRSCAF-26	1.463042	0.015798057
ScyDAA6-2-HRSCAF-26:1484560	ScyDAA6-2-HRSCAF-26	1.48456	0.016613781
ScyDAA6-2-HRSCAF-26:1504902	ScyDAA6-2-HRSCAF-26	1.504902	0.01741434
ScyDAA6-2-HRSCAF-26:1525301	ScyDAA6-2-HRSCAF-26	1.525301	0.017238082
ScyDAA6-2-HRSCAF-26:1546524	ScyDAA6-2-HRSCAF-26	1.546524	0.017055178
ScyDAA6-2-HRSCAF-26:1569303	ScyDAA6-2-HRSCAF-26	1.569303	0.016859495
ScyDAA6-2-HRSCAF-26:1589740	ScyDAA6-2-HRSCAF-26	1.58974	0.01668452
ScyDAA6-2-HRSCAF-26:1610487	ScyDAA6-2-HRSCAF-26	1.610487	0.01650749
ScyDAA6-2-HRSCAF-26:1631697	ScyDAA6-2-HRSCAF-26	1.631697	0.016327164
ScyDAA6-2-HRSCAF-26:1652492	ScyDAA6-2-HRSCAF-26	1.652492	0.016151038
ScyDAA6-2-HRSCAF-26:1672562	ScyDAA6-2-HRSCAF-26	1.672562	0.015981714
ScyDAA6-2-HRSCAF-26:1693353	ScyDAA6-2-HRSCAF-26	1.693353	0.015807017
ScyDAA6-2-HRSCAF-26:1716006	ScyDAA6-2-HRSCAF-26	1.716006	0.01561753
