target_id	length	eff_length	est_counts	tpm
g1.t1	945	764.51	7	0.456752
g2.t1	759	578.703	21	1.81021
g3.t1	597	416.839	98	11.728
g4.t1	1695	1514.51	384	12.6481
g5.t1	4182	4001.51	209	2.60548
g6.t1	1749	1568.51	54	1.7174
g7.t1	1863	1682.51	54	1.60104
g10.t1	732	551.703	0	0
g11.t1	1302	1121.51	29	1.28991
g12.t1	777	596.703	78	6.52081
g13.t1	1758	1577.51	39	1.23327
g15.t1	1350	1169.51	11532	491.888
g16.t1	963	782.51	999.298	63.7046
g17.t1	1830	1649.51	48	1.45162
g18.t1	429	252.204	73	14.439
g19.t1	1395	1214.51	67	2.75194
g20.t1	3411	3230.51	134	2.06918
g21.t1	579	398.962	0	0
g22.t1	450	272.437	0	0
g23.t1	465	286.876	37	6.43388
g25.t1	1650	1469.51	52	1.76521
g27.t1	420	243.656	0	0
g28.t1	225	80.8883	250	154.177
g29.t1	1092	911.51	18708	1023.84
g30.t1	2463	2282.51	227	4.96111
g32.t1	1362	1181.51	0	0
g33.t1	2235	2054.51	74	1.79676
g36.t1	1251	1070.51	0	0
g38.t1	2406	2225.51	0	0
g39.t1	1992	1811.51	54	1.48703
g40.t1	2148	1967.51	198	5.02012
g42.t1	750	569.703	32	2.80199
g43.t1	486	307.245	42	6.81915
g44.t1	1815	1634.51	39	1.19026
g48.t1	1656	1475.51	46	1.55518
g50.t1	597	416.839	0	0
g52.t1	645	464.751	612	65.6896
g53.t1	777	596.703	32	2.6752
g54.t1	1548	1367.51	3	0.109435
g55.t1	843	662.51	53	3.9907
g56.t1	1257	1076.51	44	2.03892
g62.t1	1047	866.51	0	0
g69.t1	594	413.88	0	0
g70.t1	438	260.869	0	0
g75.t1	786	605.703	1	0.0823579
g79.t1	411	235.261	0	0
g81.t1	294	131.922	0	0
g84.t1	1224	1043.51	0	0
g85.t1	939	758.51	0	0
g89.t1	1050	869.51	3	0.172112
g92.t1	783	602.703	0	0
g95.t1	735	554.703	0	0
g96.t1	1515	1334.51	185	6.91537
g97.t1	2211	2030.51	74	1.81799
g98.t1	327	159.492	106	33.1537
g100.t1	726	545.703	0	0
g105.t1	1590	1409.51	0	0
g106.t1	1890	1709.51	171	4.98988
g108.t1	621	440.751	7	0.792264
g111.t1	1800	1619.51	0	0
g112.t1	1146	965.51	969	50.0648
g113.t1	1821	1640.51	0	0
g114.t1	678	497.703	0	0
g115.t1	531	351.564	2	0.283786
g116.t1	1026	845.51	0	0
g117.t1	1530	1349.51	60	2.21789
g119.t1	3897	3716.51	182	2.44288
g123.t1	846	665.51	155.522	11.6574
g124.t1	969	788.51	1	0.0632642
g125.t1	681	500.703	145	14.4462
g126.t1	1473	1292.51	140	5.40331
g127.t1	612	431.839	41	4.73617
g128.t1	1665	1484.51	17	0.571257
g129.t1	1473	1292.51	32	1.23504
g130.t1	1272	1091.51	669	30.5748
g131.t1	5982	5801.51	74	0.636291
g132.t1	3195	3014.51	334	5.52707
g134.t1	393	218.704	0	0
g136.t1	2820	2639.51	0	0
g137.t1	684	503.703	1	0.0990354
g138.t1	1824	1643.51	0	0
g139.t1	486	307.245	0	0
g141.t1	2490	2309.51	0	0
g144.t1	594	413.88	0	0
g148.t1	2163	1982.51	0	0
g149.t1	1239	1058.51	0	0
g150.t1	513	333.734	0	0
g155.t1	666	485.703	0	0
g156.t1	696	515.703	0	0
g157.t1	813	632.703	0	0
g158.t1	1473	1292.51	144	5.55769
g159.t1	7320	7139.51	30	0.209613
g162.t1	5631	5450.51	1	0.00915226
g164.t1	2895	2714.51	35	0.643194
g165.t1	1758	1577.51	15	0.474334
g166.t1	1902	1721.51	610	17.6761
g167.t1	513	333.734	0	0
