target_id	length	eff_length	est_counts	tpm
ENSXMAT00000000003	2511	2340.2	126.297	2.16444
ENSXMAT00000000002	3108	2937.2	92	1.25621
ENSXMAT00000000006	7272	7101.2	498	2.81258
ENSXMAT00000000004	5150	4979.2	104.703	0.843349
ENSXMAT00000000005	1251	1080.2	0	0
ENSXMAT00000000007	348	184.068	17	3.70406
ENSXMAT00000000009	3432	3261.2	11	0.135276
ENSXMAT00000000008	336	173.406	1	0.231282
ENSXMAT00000000010	1533	1362.2	45	1.32489
ENSXMAT00000000011	3366	3195.2	58	0.728009
ENSXMAT00000000012	9969	9798.2	486	1.98928
ENSXMAT00000000013	975	804.196	187	9.3258
ENSXMAT00000000014	3772	3601.2	2793	31.105
ENSXMAT00000000017	4496	4325.2	279.202	2.58892
ENSXMAT00000000015	987	816.196	63	3.09565
ENSXMAT00000000016	1472	1301.2	1	0.0308222
ENSXMAT00000000018	1947	1776.2	0	0
ENSXMAT00000000019	2277	2106.2	511	9.73035
ENSXMAT00000000020	848	677.196	0	0
ENSXMAT00000000021	6069	5898.2	1	0.00679966
ENSXMAT00000000022	3435	3264.2	584	7.17535
ENSXMAT00000000023	726	555.196	4	0.288948
ENSXMAT00000000024	1635	1464.2	3043	83.3507
ENSXMAT00000000025	4570	4399.2	181.232	1.65222
ENSXMAT00000000026	4160	3989.2	121.768	1.2242
ENSXMAT00000000027	2559	2388.2	125	2.09916
ENSXMAT00000000028	773	602.196	63	4.19575
ENSXMAT00000000029	1148	977.196	42	1.72375
ENSXMAT00000000030	2729	2558.2	145	2.27321
ENSXMAT00000000031	2611	2440.2	2	0.0328709
ENSXMAT00000000032	2055	1884.2	0	0
ENSXMAT00000000033	1413	1242.2	22	0.710295
ENSXMAT00000000034	6015	5844.2	2236	15.3445
ENSXMAT00000000035	1636	1465.2	6	0.164234
ENSXMAT00000000036	621	450.296	0	0
ENSXMAT00000000037	3883	3712.2	2	0.0216075
ENSXMAT00000000038	1008	837.196	28	1.34134
ENSXMAT00000000039	1918	1747.2	962	22.0821
ENSXMAT00000000040	978	807.196	0	0
ENSXMAT00000000041	2388	2217.2	11	0.198973
ENSXMAT00000000042	4069	3898.2	285.173	2.93394
ENSXMAT00000000043	3803	3632.2	1222.83	13.5021
ENSXMAT00000000044	2503	2332.2	65	1.11778
ENSXMAT00000000045	3957	3786.2	683	7.23476
ENSXMAT00000000046	801	630.196	3	0.19092
ENSXMAT00000000047	1814	1643.2	0	0
ENSXMAT00000000048	4501	4330.2	8	0.074095
ENSXMAT00000000049	2517	2346.2	3.55192	0.0607163
ENSXMAT00000000050	1982	1811.2	5	0.110716
ENSXMAT00000000051	3813	3642.2	246.352	2.71268
ENSXMAT00000000053	6759	6588.2	496	3.01941
ENSXMAT00000000054	2992	2821.2	17	0.24167
ENSXMAT00000000058	5618	5447.2	35	0.257692
ENSXMAT00000000059	4949	4778.2	190	1.59476
ENSXMAT00000000061	879	708.196	110	6.22939
ENSXMAT00000000083	882	711.196	0	0
ENSXMAT00000000067	3968	3797.2	163	1.72159
ENSXMAT00000000060	993	822.196	0	0
ENSXMAT00000000126	2619	2448.2	5	0.0819087
ENSXMAT00000000062	204	68.5533	31	18.1359
ENSXMAT00000000069	3788	3617.2	2133	23.6497
ENSXMAT00000000065	2550	2379.2	33	0.556276
ENSXMAT00000000090	4851	4680.2	266	2.27942
ENSXMAT00000000068	743	572.196	2	0.140182
ENSXMAT00000000070	3031	2860.2	49	0.687079
ENSXMAT00000000071	2226	2055.2	1	0.0195143
ENSXMAT00000000073	2121	1950.2	0	0
ENSXMAT00000000089	2327	2156.2	107	1.99022
ENSXMAT00000000078	1147	976.196	80	3.28669
ENSXMAT00000000074	600	429.384	120	11.2083
ENSXMAT00000000093	1856	1685.2	1184	28.1778
ENSXMAT00000000085	3427	3256.2	165	2.03226
ENSXMAT00000000110	5551	5380.2	97.5116	0.726883
ENSXMAT00000000077	975	804.196	2	0.0997412
ENSXMAT00000000099	5005	4834.2	65	0.539257
ENSXMAT00000000080	3153	2982.2	5	0.0672419
ENSXMAT00000000101	1794	1623.2	138	3.40969
ENSXMAT00000000079	666	495.296	1	0.0809732
ENSXMAT00000000082	1401	1230.2	1	0.0326011
ENSXMAT00000000100	9733	9562.2	1628	6.82815
ENSXMAT00000000102	4564	4393.2	1	0.00912905
ENSXMAT00000000084	1344	1173.2	11	0.376035
ENSXMAT00000000092	2825	2654.2	27.8862	0.421369
ENSXMAT00000000096	2822	2651.2	42.1138	0.637073
ENSXMAT00000000086	1494	1323.2	49	1.48518
ENSXMAT00000000087	3157	2986.2	119	1.59821
ENSXMAT00000000088	3236	3065.2	51	0.667296
ENSXMAT00000000097	1365	1194.2	68	2.2837
ENSXMAT00000000091	1240	1069.2	46	1.72547
ENSXMAT00000000095	537	366.749	3	0.328064
ENSXMAT00000000094	760	589.196	7	0.47648
ENSXMAT00000000111	5186	5015.2	27	0.215915
ENSXMAT00000000103	3290	3119.2	0	0
ENSXMAT00000000098	681	510.196	2	0.157217
ENSXMAT00000000106	1651	1480.2	4	0.108379
ENSXMAT00000000104	540	369.749	9.99846	1.08451
ENSXMAT00000000113	3263	3092.2	3	0.0389099
ENSXMAT00000000112	6614	6443.2	445	2.76991
ENSXMAT00000000108	1656	1485.2	1	0.0270037
ENSXMAT00000000118	2568	2397.2	0	0
ENSXMAT00000000115	1513	1342.2	1329	39.7114
ENSXMAT00000000105	1240	1069.2	29.0015	1.08785
ENSXMAT00000000109	618	447.296	128	11.4768
ENSXMAT00000000107	174	49.6417	0	0
