target_id	length	eff_length	est_counts	tpm
g1.t1	945	779.406	1	0.111644
g2.t1	759	593.406	60	8.79831
g3.t1	597	431.744	361	72.7579
g4.t1	1695	1529.41	419	23.8392
g5.t1	4182	4016.41	57	1.23491
g6.t1	1749	1583.41	309	16.9811
g7.t1	1863	1697.41	211	10.8167
g10.t1	732	566.406	10	1.53629
g11.t1	1302	1136.41	98	7.50399
g12.t1	777	611.406	86	12.2396
g13.t1	1758	1592.41	281	15.3551
g15.t1	1350	1184.41	249	18.2936
g16.t1	963	797.406	17	1.85511
g17.t1	1830	1664.41	199	10.4038
g18.t1	429	267.435	622	202.382
g19.t1	1395	1229.41	201	14.2266
g20.t1	3411	3245.41	396	10.6176
g21.t1	579	413.829	8	1.68217
g22.t1	450	287.679	8	2.41981
g23.t1	465	302.232	136	39.156
g25.t1	1650	1484.41	333	19.5205
g27.t1	420	258.86	2	0.672301
g28.t1	225	89.4339	168	163.458
g29.t1	1092	926.406	6620	621.808
g30.t1	2463	2297.41	549	20.7938
g32.t1	1362	1196.41	87.6519	6.37503
g33.t1	2235	2069.41	149	6.26527
g36.t1	1251	1085.41	60	4.81015
g38.t1	2406	2240.41	337	13.0889
g39.t1	1992	1826.41	132	6.28892
g40.t1	2148	1982.41	466	20.4547
g42.t1	750	584.406	87	12.954
g43.t1	486	322.354	96	25.9142
g44.t1	1815	1649.41	197	10.3929
g48.t1	1656	1490.41	17	0.992531
g50.t1	597	431.744	33	6.651
g52.t1	645	479.562	0	0
g53.t1	777	611.406	116	16.5093
g54.t1	1548	1382.41	61	3.83967
g55.t1	843	677.406	149	19.1398
g56.t1	1257	1091.41	339	27.0279
g62.t1	1047	881.406	1	0.0987242
g69.t1	594	428.744	0	0
g70.t1	438	276.106	1	0.315154
g75.t1	786	620.406	0	0
g79.t1	411	250.299	2	0.695296
g81.t1	294	144.013	19	11.4802
g84.t1	1224	1058.41	22	1.80871
g85.t1	939	773.406	156	17.5516
g89.t1	1050	884.406	212	20.8585
g92.t1	783	617.406	185	26.0736
g95.t1	735	569.406	3	0.458457
g96.t1	1515	1349.41	292	18.8295
g97.t1	2211	2045.41	396	16.8467
g98.t1	327	172.465	867	437.439
g100.t1	726	560.462	11	1.70784
g105.t1	1590	1424.41	129	7.88053
g106.t1	1890	1724.41	8	0.403692
g108.t1	621	455.655	76	14.5137
g111.t1	1800	1634.41	288	15.3332
g112.t1	1146	980.406	1480	131.358
g113.t1	1821	1655.41	0	0
g114.t1	678	512.462	0	0
g115.t1	531	366.359	3	0.712548
g116.t1	1026	860.406	32	3.23628
g117.t1	1530	1364.41	315	20.0894
g119.t1	3897	3731.41	87	2.02883
g123.t1	846	680.406	483.364	61.8167
g124.t1	969	803.406	75	8.12318
g125.t1	681	515.462	85	14.349
g126.t1	1473	1307.41	290	19.3013
g127.t1	612	446.744	91	17.7248
g128.t1	1665	1499.41	49	2.84365
g129.t1	1473	1307.41	778	51.7808
g130.t1	1272	1106.41	639	50.2558
g131.t1	5982	5816.41	670	10.0235
g132.t1	3195	3029.41	715	20.5375
g134.t1	393	233.041	1	0.373395
g136.t1	2820	2654.41	1446	47.4024
g137.t1	684	518.462	23	3.86021
g138.t1	1824	1658.41	17	0.891985
g139.t1	486	322.354	0	0
g141.t1	2490	2324.41	260	9.73332
g144.t1	594	428.744	10	2.02956
g148.t1	2163	1997.41	66	2.87526
g149.t1	1239	1073.41	181	14.6728
g150.t1	513	348.788	0	0
g155.t1	666	500.513	34	5.91103
g156.t1	696	530.462	107	17.5521
g157.t1	813	647.406	1	0.134407
g158.t1	1473	1307.41	44	2.92848
g159.t1	7320	7154.41	3127	38.0324
g162.t1	5631	5465.41	770	12.2594
g164.t1	2895	2729.41	521	16.61
g165.t1	1758	1592.41	161	8.79775
g166.t1	1902	1736.41	745	37.334
g167.t1	513	348.788	49	12.2246
g169.t1	4161	3995.41	681	14.8315
g171.t1	384	224.506	247	95.7345
g172.t1	1854	1688.41	313	16.1312
g174.t1	1656	1490.41	83	4.84588
g175.t1	405	244.676	483	171.773
g176.t1	2262	2096.41	17	0.705624
g177.t1	1011	845.406	3.00914	0.309726
g178.t1	1011	845.406	6	0.617569
g179.t1	2424	2258.41	632	24.3509
g180.t1	1770	1604.41	383	20.7723
g181.t1	1557	1391.41	428.161	26.7764
g183.t1	852	686.406	468	59.3287
g184.t1	1953	1787.41	290	14.118
g185.t1	1257	1091.41	0	0
g186.t1	5715	5549.41	58	0.909454
g187.t1	1644	1478.41	3323	195.585
g188.t1	2079	1913.41	455	20.6921
g189.t1	1467	1301.41	134.851	9.01653
g190.t1	3507	3341.41	18.1494	0.472643
g191.t1	1323	1157.41	2	0.150364
g193.t1	390	230.206	609	230.198
g196.t1	1011	845.406	630	64.8448
g197.t1	336	180.418	742	357.868
g199.t1	567	401.829	53	11.4772
g200.t1	1251	1085.41	109	8.73844
g201.t1	1404	1238.41	0	0
g202.t1	2133	1967.41	464	20.5222
g203.t1	1365	1199.41	94	6.81964
g204.t1	7209	7043.41	2656	32.8129
g205.t1	1290	1124.41	261	20.1984
g206.t1	1467	1301.41	185	12.3697
g208.t1	4614	4448.41	841	16.451
g211.t1	714	548.462	82	13.0097
g213.t1	852	686.406	340	43.102
g216.t1	576	410.829	331	70.1078
g217.t1	222	87.302	347.373	346.235
g222.t1	3093	2927.41	464	13.7922
g223.t1	3201	3035.41	141	4.04205
g225.t1	1677	1511.41	6	0.345438
g226.t1	402	241.75	23	8.27867
g227.t1	2058	1892.41	409	18.8065
g228.t1	3093	2927.41	748	22.234
g229.t1	1812	1646.41	158	8.35064
g230.t1	1497	1331.41	90	5.88209
g231.t1	891	725.406	978	117.316
g232.t1	477	313.736	0	0
g233.t1	3396	3230.41	1049	28.2565
g234.t1	1347	1181.41	107	7.88105
g235.t1	846	680.406	3	0.383666
g237.t1	4554	4388.41	73	1.44749
g241.t1	1632	1466.41	56	3.32302
g243.t1	1305	1139.41	705	53.8406
g244.t1	1056	890.406	1	0.0977263
g245.t1	825	659.406	138	18.2107
g246.t1	2901	2735.41	1867	59.3912
g248.t1	1107	941.406	345	31.8891
g252.t1	3654	3488.41	1300	32.4277
g253.t1	429	267.435	8	2.60298
g254.t1	804	638.406	15	2.04453
g255.t1	2526	2360.41	394	14.5248
g256.t1	1017	851.406	239.623	24.4901
g258.t1	363	204.995	9	3.82031
g259.t1	1971	1805.41	386	18.6042
g260.t1	2268	2102.41	907	37.5397
g261.t1	999	833.406	453	47.2978
g262.t1	6501	6335.41	3321	45.6136
g263.t1	900	734.406	6	0.71091
g264.t1	1239	1073.41	40	3.24262
g265.t1	2889	2723.41	0	0
g266.t1	2829	2663.41	12	0.392052
g267.t1	2067	1901.41	1373	62.8341
g269.t1	657	491.562	31	5.48761
g270.t1	309	156.914	505.004	280.049
g271.t1	1494	1328.41	3974	260.313
g272.t1	588	422.787	329	67.7133
g273.t1	717	551.462	51	8.04737
g274.t1	1206	1040.41	161	13.4655
g275.t1	351	193.917	25	11.2182
g276.t1	1968	1802.41	41	1.97939
g277.t1	354	196.656	10	4.42479
g278.t1	3267	3101.41	165	4.6294
g279.t1	1401	1235.41	391	27.5402
g280.t1	3195	3029.41	329	9.45013
g282.t1	1140	974.406	35	3.12556
g283.t1	1245	1079.41	0	0
g285.t1	915	749.406	22	2.5545
g286.t1	2898	2732.41	79	2.51583
g287.t1	2352	2186.41	100	3.97987
g288.t1	4266	4100.41	574	12.181
g290.t1	1266	1100.41	12	0.948916
g291.t1	696	530.462	5699	934.855
g292.t1	3837	3671.41	1427	33.8214
g294.t1	426	264.596	26	8.55046
g296.t1	2607	2441.41	194	6.91451
g298.t1	1233	1067.41	336.995	27.4722
g300.t1	3099	2933.41	127	3.76731
g301.t1	357	199.513	428	186.669
g302.t1	1308	1142.41	385	29.3251
g303.t1	2235	2069.41	200	8.40976
g304.t1	720	554.462	2	0.313876
g306.t1	6183	6017.41	1177	17.0203
g307.t1	1968	1802.41	324	15.642
g308.t1	1809	1643.41	175	9.26601
g309.t1	2043	1877.41	16	0.741586
g310.t1	825	659.406	2	0.263923
g311.t1	489	325.257	223	59.6593
g312.t1	1884	1718.41	5393	273.089
g313.t1	1455	1289.41	593	40.0188
g314.t1	2760	2594.41	162	5.43346
g316.t1	1128	962.406	413	37.3415
g317.t1	3672	3506.41	733	18.1904
g319.t1	231	93.6925	11	10.2161
g320.t1	1746	1580.41	0	0
g321.t1	4086	3920.41	26	0.577088
g322.t1	300	149.165	2	1.16671
g323.t1	483	319.386	24	6.53874
g324.t1	396	235.993	0	0
g325.t1	10704	10538.4	3185	26.2987
g327.t1	813	647.406	867	116.531
g328.t1	906	740.406	2	0.23505
g329.t1	459	296.413	423	124.177
